"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",7121,1980,7,1,25.4,19.7,3.4,0.300000000000001
"2",7122,1980,7,2,23.1,19.9,1.1,0.100000000000001
"3",7123,1980,7,3,25.4,20.6,3.4,0
"4",7124,1980,7,4,26.1,19.1,4.1,0.899999999999999
"5",7125,1980,7,5,22.2,18.9,0.199999999999999,1.1
"6",7126,1980,7,6,22.5,19.5,0.5,0.5
"7",7127,1980,7,7,24,18.1,2,1.9
"8",7128,1980,7,8,25.2,20.1,3.2,0
"9",7129,1980,7,9,22.4,20.2,0.399999999999999,0
"10",7130,1980,7,10,25,20.9,3,0
"11",7131,1980,7,11,30.1,20.7,8.1,0
"12",7132,1980,7,12,23.6,19.9,1.6,0.100000000000001
"13",7133,1980,7,13,29.3,20.9,7.3,0
"14",7134,1980,7,14,29.5,21.4,7.5,0
"15",7135,1980,7,15,26.1,20.7,4.1,0
"16",7136,1980,7,16,28.1,21.7,6.1,0
"17",7137,1980,7,17,28,21.8,6,0
"18",7138,1980,7,18,28.1,24,6.1,2
"19",7139,1980,7,19,30.1,23.6,8.1,1.6
"20",7140,1980,7,20,30.5,23.6,8.5,1.6
"21",7141,1980,7,21,29.4,23.6,7.4,1.6
"22",7142,1980,7,22,32.6,25.1,10.6,3.1
"23",7143,1980,7,23,30.8,25.2,8.8,3.2
"24",7144,1980,7,24,28.7,21.4,6.7,0
"25",7145,1980,7,25,29.9,21.7,7.9,0
"26",7146,1980,7,26,30.5,23.3,8.5,1.3
"27",7147,1980,7,27,28.5,22.5,6.5,0.5
"28",7148,1980,7,28,27.6,23.8,5.6,1.8
"29",7149,1980,7,29,28.7,22.6,6.7,0.600000000000001
"30",7150,1980,7,30,27.4,21.8,5.4,0
"31",7151,1980,7,31,25.2,20.3,3.2,0
"32",7486,1981,7,1,28.5,22.3,6.5,0.300000000000001
"33",7487,1981,7,2,30.3,25.6,8.3,3.6
"34",7488,1981,7,3,30.6,25.6,8.6,3.6
"35",7489,1981,7,4,33,24.5,11,2.5
"36",7490,1981,7,5,31.9,23.8,9.9,1.8
"37",7491,1981,7,6,29.9,25.7,7.9,3.7
"38",7492,1981,7,7,28,23,6,1
"39",7493,1981,7,8,28.8,22.8,6.8,0.800000000000001
"40",7494,1981,7,9,28.7,24,6.7,2
"41",7495,1981,7,10,25.9,22.3,3.9,0.300000000000001
"42",7496,1981,7,11,26.4,22.3,4.4,0.300000000000001
"43",7497,1981,7,12,30.7,24.9,8.7,2.9
"44",7498,1981,7,13,29.7,24.7,7.7,2.7
"45",7499,1981,7,14,28.9,24.8,6.9,2.8
"46",7500,1981,7,15,29.9,24.3,7.9,2.3
"47",7501,1981,7,16,30.3,25.2,8.3,3.2
"48",7502,1981,7,17,30.9,25.3,8.9,3.3
"49",7503,1981,7,18,31.5,24.6,9.5,2.6
"50",7504,1981,7,19,30.1,24.4,8.1,2.4
"51",7505,1981,7,20,32.8,24.5,10.8,2.5
"52",7506,1981,7,21,30,24.5,8,2.5
"53",7507,1981,7,22,31.6,24.7,9.6,2.7
"54",7508,1981,7,23,30.3,25.4,8.3,3.4
"55",7509,1981,7,24,34.1,24.6,12.1,2.6
"56",7510,1981,7,25,31.7,26.6,9.7,4.6
"57",7511,1981,7,26,32.8,26.6,10.8,4.6
"58",7512,1981,7,27,32,27.4,10,5.4
"59",7513,1981,7,28,31.7,27.2,9.7,5.2
"60",7514,1981,7,29,33,26.8,11,4.8
"61",7515,1981,7,30,32,25.5,10,3.5
"62",7516,1981,7,31,29.8,24.7,7.8,2.7
"63",7851,1982,7,1,25.4,17.3,3.4,2.7
"64",7852,1982,7,2,26.2,19,4.2,1
"65",7853,1982,7,3,25,20.1,3,0
"66",7854,1982,7,4,29.9,20.1,7.9,0
"67",7855,1982,7,5,27,20.1,5,0
"68",7856,1982,7,6,25.4,21.3,3.4,0
"69",7857,1982,7,7,26.4,22.1,4.4,0.100000000000001
"70",7858,1982,7,8,27.3,22.4,5.3,0.399999999999999
"71",7859,1982,7,9,28,21.2,6,0
