"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",4565,1980,7,1,25.9,17.7,3.9,2.3
"2",4566,1980,7,2,24.1,18.6,2.1,1.4
"3",4567,1980,7,3,24.7,17.8,2.7,2.2
"4",4568,1980,7,4,22.5,18.4,0.5,1.6
"5",4569,1980,7,5,23.6,17.5,1.6,2.5
"6",4570,1980,7,6,23.8,18.6,1.8,1.4
"7",4571,1980,7,7,27.4,18.8,5.4,1.2
"8",4572,1980,7,8,27.5,18.8,5.5,1.2
"9",4573,1980,7,9,25.1,19.8,3.1,0.199999999999999
"10",4574,1980,7,10,24.8,20.2,2.8,0
"11",4575,1980,7,11,24.9,18.6,2.9,1.4
"12",4576,1980,7,12,25.3,17.8,3.3,2.2
"13",4577,1980,7,13,25.1,19.5,3.1,0.5
"14",4578,1980,7,14,26.9,20.5,4.9,0
"15",4579,1980,7,15,27.1,19.4,5.1,0.600000000000001
"16",4580,1980,7,16,26.2,19.4,4.2,0.600000000000001
"17",4581,1980,7,17,22,18.5,0,1.5
"18",4582,1980,7,18,22.8,19.8,0.800000000000001,0.199999999999999
"19",4583,1980,7,19,27.6,20.8,5.6,0
"20",4584,1980,7,20,28.7,22.9,6.7,0.899999999999999
"21",4585,1980,7,21,29.2,23.7,7.2,1.7
"22",4586,1980,7,22,27.1,24,5.1,2
"23",4587,1980,7,23,26.6,22.8,4.6,0.800000000000001
"24",4588,1980,7,24,29,20.5,7,0
"25",4589,1980,7,25,27.3,20.8,5.3,0
"26",4590,1980,7,26,27.9,21.1,5.9,0
"27",4591,1980,7,27,28.4,21.2,6.4,0
"28",4592,1980,7,28,26.7,21,4.7,0
"29",4593,1980,7,29,24.5,21.2,2.5,0
"30",4594,1980,7,30,23.6,20.6,1.6,0
"31",4595,1980,7,31,26.6,17.8,4.6,2.2
"32",4930,1981,7,1,25.1,20.6,3.1,0
"33",4931,1981,7,2,25.5,21.8,3.5,0
"34",4932,1981,7,3,23.8,20.6,1.8,0
"35",4933,1981,7,4,22.1,17.9,0.100000000000001,2.1
"36",4934,1981,7,5,25.1,21.7,3.1,0
"37",4935,1981,7,6,23.8,20.9,1.8,0
"38",4936,1981,7,7,27.4,20,5.4,0
"39",4937,1981,7,8,26.5,21.1,4.5,0
"40",4938,1981,7,9,25.1,21.5,3.1,0
"41",4939,1981,7,10,25,20.5,3,0
"42",4940,1981,7,11,22,19.2,0,0.800000000000001
"43",4941,1981,7,12,27.1,21.3,5.1,0
"44",4942,1981,7,13,27.3,24.2,5.3,2.2
"45",4943,1981,7,14,26,24,4,2
"46",4944,1981,7,15,30.1,24,8.1,2
"47",4945,1981,7,16,29.6,24.8,7.6,2.8
"48",4946,1981,7,17,30.9,24.7,8.9,2.7
"49",4947,1981,7,18,31.5,23.8,9.5,1.8
"50",4948,1981,7,19,33.4,23.5,11.4,1.5
"51",4949,1981,7,20,31,23.4,9,1.4
"52",4950,1981,7,21,30.9,23.8,8.9,1.8
"53",4951,1981,7,22,31.3,22.4,9.3,0.399999999999999
"54",4952,1981,7,23,29.4,24.1,7.4,2.1
"55",4953,1981,7,24,30.6,24,8.6,2
"56",4954,1981,7,25,31.8,24.5,9.8,2.5
"57",4955,1981,7,26,32.1,25.5,10.1,3.5
"58",4956,1981,7,27,29.9,24.8,7.9,2.8
"59",4957,1981,7,28,29.3,24.9,7.3,2.9
"60",4958,1981,7,29,31.3,25.5,9.3,3.5
"61",4959,1981,7,30,33.9,24.8,11.9,2.8
