"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3462,1980,7,1,23.5,17.9,1.5,2.1
"2",3463,1980,7,2,24.9,19.7,2.9,0.300000000000001
"3",3464,1980,7,3,22.8,19.2,0.800000000000001,0.800000000000001
"4",3465,1980,7,4,24.6,17.5,2.6,2.5
"5",3466,1980,7,5,25.1,19,3.1,1
"6",3467,1980,7,6,24.4,19.8,2.4,0.199999999999999
"7",3468,1980,7,7,28.6,19.1,6.6,0.899999999999999
"8",3469,1980,7,8,27.6,19.3,5.6,0.699999999999999
"9",3470,1980,7,9,26.4,20.4,4.4,0
"10",3471,1980,7,10,25.4,21.7,3.4,0
"11",3472,1980,7,11,25.1,20.7,3.1,0
"12",3473,1980,7,12,26.2,20.2,4.2,0
"13",3474,1980,7,13,23.5,19.1,1.5,0.899999999999999
"14",3475,1980,7,14,27.1,19.2,5.1,0.800000000000001
"15",3476,1980,7,15,27.8,18.9,5.8,1.1
"16",3477,1980,7,16,25.7,19.6,3.7,0.399999999999999
"17",3478,1980,7,17,21.5,18.2,0,1.8
"18",3479,1980,7,18,24.9,20.9,2.9,0
"19",3480,1980,7,19,26.4,22.7,4.4,0.699999999999999
"20",3481,1980,7,20,29.9,23.9,7.9,1.9
"21",3482,1980,7,21,30,25,8,3
"22",3483,1980,7,22,28.2,25.7,6.2,3.7
"23",3484,1980,7,23,27,22,5,0
"24",3485,1980,7,24,30.4,18.6,8.4,1.4
"25",3486,1980,7,25,26,19.5,4,0.5
"26",3487,1980,7,26,29.8,21.7,7.8,0
"27",3488,1980,7,27,30,19.4,8,0.600000000000001
"28",3489,1980,7,28,29,22.4,7,0.399999999999999
"29",3490,1980,7,29,27.1,22,5.1,0
"30",3491,1980,7,30,24.8,20.9,2.8,0
"31",3492,1980,7,31,27.3,20.4,5.3,0
"32",3827,1981,7,1,26.9,22.4,4.9,0.399999999999999
"33",3828,1981,7,2,26.1,23.3,4.1,1.3
"34",3829,1981,7,3,25,23.4,3,1.4
"35",3830,1981,7,4,26.9,24.3,4.9,2.3
"36",3831,1981,7,5,25.9,24.8,3.9,2.8
"37",3832,1981,7,6,25.3,22.3,3.3,0.300000000000001
"38",3833,1981,7,7,31.6,21.8,9.6,0
"39",3834,1981,7,8,29.4,23.1,7.4,1.1
"40",3835,1981,7,9,26.1,22.1,4.1,0.100000000000001
"41",3836,1981,7,10,24.4,19.4,2.4,0.600000000000001
"42",3837,1981,7,11,24.4,19,2.4,1
"43",3838,1981,7,12,26.1,22.9,4.1,0.899999999999999
"44",3839,1981,7,13,30.4,23.2,8.4,1.2
"45",3840,1981,7,14,31.2,24,9.2,2
"46",3841,1981,7,15,32,23.2,10,1.2
"47",3842,1981,7,16,31.8,24.6,9.8,2.6
"48",3843,1981,7,17,33.4,24.6,11.4,2.6
"49",3844,1981,7,18,33.3,23.4,11.3,1.4
"50",3845,1981,7,19,35.2,23,13.2,1
"51",3846,1981,7,20,33.9,22.1,11.9,0.100000000000001
"52",3847,1981,7,21,33.7,21.1,11.7,0
"53",3848,1981,7,22,34.5,23.2,12.5,1.2
"54",3849,1981,7,23,31.3,23.4,9.3,1.4
"55",3850,1981,7,24,32.8,22.6,10.8,0.600000000000001
"56",3851,1981,7,25,32.4,25.6,10.4,3.6
"57",3852,1981,7,26,33.3,25.6,11.3,3.6
"58",3853,1981,7,27,32.4,26.2,10.4,4.2
"59",3854,1981,7,28,32.2,25.2,10.2,3.2
"60",3855,1981,7,29,32.5,26,10.5,4
"61",3856,1981,7,30,33.8,25,11.8,3
"62",3857,1981,7,31,33.7,22.8,11.7,0.800000000000001
"63",4192,1982,7,1,31,15.2,9,4.8
"64",4193,1982,7,2,30.4,16,8.4,4
"65",4194,1982,7,3,32,16.9,10,3.1
"66",4195,1982,7,4,30.4,16.9,8.4,3.1
"67",4196,1982,7,5,27.3,19.1,5.3,0.899999999999999
"68",4197,1982,7,6,27.8,21.4,5.8,0
"69",4198,1982,7,7,29.8,21.4,7.8,0
"70",4199,1982,7,8,33.2,20.6,11.2,0
"71",4200,1982,7,9,31.8,19.7,9.8,0.300000000000001
"72",4201,1982,7,10,29.5,23.2,7.5,1.2
"73",4202,1982,7,11,26.2,23,4.2,1
"74",4203,1982,7,12,29.8,20.4,7.8,0
"75",4204,1982,7,13,23.8,19.8,1.8,0.199999999999999
"76",4205,1982,7,14,26.2,20.4,4.2,0
"77",4206,1982,7,15,27.6,22,5.6,0
"78",4207,1982,7,16,28.4,22,6.4,0
"79",4208,1982,7,17,30.6,19.6,8.6,0.399999999999999
"80",4209,1982,7,18,26.5,18.3,4.5,1.7
"81",4210,1982,7,19,29.8,16.7,7.8,3.3
"82",4211,1982,7,20,30.3,19.9,8.3,0.100000000000001
"83",4212,1982,7,21,31.7,18.5,9.7,1.5
"84",4213,1982,7,22,27.5,20.4,5.5,0
"85",4214,1982,7,23,24.8,19.3,2.8,0.699999999999999
