"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3345,1980,3,1,6,0,12,18
"2",3346,1980,3,2,8,-4.4,10,22.4
"3",3347,1980,3,3,10.9,-1.7,7.1,19.7
"4",3348,1980,3,4,7.9,0.9,10.1,17.1
"5",3349,1980,3,5,9.5,-1.1,8.5,19.1
"6",3350,1980,3,6,11.7,-3.7,6.3,21.7
"7",3351,1980,3,7,13.9,3,4.1,15
"8",3352,1980,3,8,13.6,-0.8,4.4,18.8
"9",3353,1980,3,9,10,3.7,8,14.3
"10",3354,1980,3,10,7,1.8,11,16.2
"11",3355,1980,3,11,4.9,-0.8,13.1,18.8
"12",3356,1980,3,12,6.4,-4.3,11.6,22.3
"13",3357,1980,3,13,9,-2.7,9,20.7
"14",3358,1980,3,14,6.4,1.2,11.6,16.8
"15",3359,1980,3,15,7.9,-0.8,10.1,18.8
"16",3360,1980,3,16,9.6,-2.3,8.4,20.3
"17",3361,1980,3,17,13.6,-1.9,4.4,19.9
"18",3362,1980,3,18,11.5,-0.3,6.5,18.3
"19",3363,1980,3,19,16.2,-0.9,1.8,18.9
"20",3364,1980,3,20,13.8,3,4.2,15
"21",3365,1980,3,21,9.9,-0.1,8.1,18.1
"22",3366,1980,3,22,6,1.2,12,16.8
"23",3367,1980,3,23,5.4,1,12.6,17
"24",3368,1980,3,24,6.3,-1.1,11.7,19.1
"25",3369,1980,3,25,9.4,-2.3,8.6,20.3
"26",3370,1980,3,26,8.6,-0.2,9.4,18.2
"27",3371,1980,3,27,13,-2.8,5,20.8
"28",3372,1980,3,28,15.6,-1.9,2.4,19.9
"29",3373,1980,3,29,12.9,5,5.1,13
"30",3374,1980,3,30,16.6,1.7,1.4,16.3
"31",3375,1980,3,31,10.1,4.3,7.9,13.7
"32",3710,1981,3,1,4.2,-5.8,13.8,23.8
"33",3711,1981,3,2,7.4,-6.1,10.6,24.1
"34",3712,1981,3,3,5.2,-2,12.8,20
"35",3713,1981,3,4,7.6,-3.5,10.4,21.5
"36",3714,1981,3,5,9.6,-4.7,8.4,22.7
"37",3715,1981,3,6,5.5,-4,12.5,22
"38",3716,1981,3,7,12,-2.5,6,20.5
"39",3717,1981,3,8,14.3,-3,3.7,21
"40",3718,1981,3,9,6,-0.9,12,18.9
"41",3719,1981,3,10,8.1,-3.3,9.9,21.3
"42",3720,1981,3,11,13.4,-5,4.6,23
"43",3721,1981,3,12,18.3,-3.3,0,21.3
"44",3722,1981,3,13,14.4,4,3.6,14
"45",3723,1981,3,14,12.6,2.7,5.4,15.3
"46",3724,1981,3,15,6.1,0.2,11.9,17.8
"47",3725,1981,3,16,8.1,-2.4,9.9,20.4
"48",3726,1981,3,17,13.5,-1,4.5,19
"49",3727,1981,3,18,14.7,-1.9,3.3,19.9
"50",3728,1981,3,19,17.1,0.2,0.899999999999999,17.8
"51",3729,1981,3,20,16.9,-1.1,1.1,19.1
"52",3730,1981,3,21,17.6,0.1,0.399999999999999,17.9
"53",3731,1981,3,22,19.4,2.1,0,15.9
"54",3732,1981,3,23,21.6,0.7,0,17.3
"55",3733,1981,3,24,15.3,7.3,2.7,10.7
"56",3734,1981,3,25,13.8,4.7,4.2,13.3
"57",3735,1981,3,26,5.7,1.2,12.3,16.8
"58",3736,1981,3,27,8.7,0.7,9.3,17.3
"59",3737,1981,3,28,14,1.6,4,16.4
"60",3738,1981,3,29,15.7,-0.5,2.3,18.5
"61",3739,1981,3,30,14.1,0.7,3.9,17.3
"62",3740,1981,3,31,17.2,1.7,0.800000000000001,16.3
"63",4075,1982,3,1,5.6,0.8,12.4,17.2
"64",4076,1982,3,2,7.2,-3.6,10.8,21.6
"65",4077,1982,3,3,10.2,-3.8,7.8,21.8
"66",4078,1982,3,4,7.9,0,10.1,18
"67",4079,1982,3,5,7.4,0.5,10.6,17.5
"68",4080,1982,3,6,3.4,-1.5,14.6,19.5
"69",4081,1982,3,7,2.8,-4.6,15.2,22.6
"70",4082,1982,3,8,8,-3.4,10,21.4
"71",4083,1982,3,9,11.8,0.8,6.2,17.2
"72",4084,1982,3,10,14.8,3.6,3.2,14.4
"73",4085,1982,3,11,15.6,1,2.4,17
"74",4086,1982,3,12,16.2,3.6,1.8,14.4
"75",4087,1982,3,13,14.2,-0.4,3.8,18.4
