"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3347,1980,3,1,9.1,-1.1,8.9,19.1
"2",3348,1980,3,2,8.7,-2.3,9.3,20.3
"3",3349,1980,3,3,10.5,-0.3,7.5,18.3
"4",3350,1980,3,4,7,1.7,11,16.3
"5",3351,1980,3,5,6.1,1.3,11.9,16.7
"6",3352,1980,3,6,10.4,0.1,7.6,17.9
"7",3353,1980,3,7,9,2.9,9,15.1
"8",3354,1980,3,8,10.7,0.3,7.3,17.7
"9",3355,1980,3,9,8.5,4.7,9.5,13.3
"10",3356,1980,3,10,7.3,1.7,10.7,16.3
"11",3357,1980,3,11,5.3,0.3,12.7,17.7
"12",3358,1980,3,12,6.3,-1,11.7,19
"13",3359,1980,3,13,9.6,-0.3,8.4,18.3
"14",3360,1980,3,14,7.8,1.3,10.2,16.7
"15",3361,1980,3,15,7.7,0.2,10.3,17.8
"16",3362,1980,3,16,9.5,1.3,8.5,16.7
"17",3363,1980,3,17,11.3,3.1,6.7,14.9
"18",3364,1980,3,18,6.1,1.3,11.9,16.7
"19",3365,1980,3,19,12,2,6,16
"20",3366,1980,3,20,14.2,4.8,3.8,13.2
"21",3367,1980,3,21,9.2,2.3,8.8,15.7
"22",3368,1980,3,22,6.2,0.4,11.8,17.6
"23",3369,1980,3,23,5.3,0.2,12.7,17.8
"24",3370,1980,3,24,8.5,0.2,9.5,17.8
"25",3371,1980,3,25,12,1.3,6,16.7
"26",3372,1980,3,26,10.7,2.8,7.3,15.2
"27",3373,1980,3,27,12.4,1.7,5.6,16.3
"28",3374,1980,3,28,14.8,3.1,3.2,14.9
"29",3375,1980,3,29,13.2,5.5,4.8,12.5
"30",3376,1980,3,30,18,5,0,13
"31",3377,1980,3,31,11.5,5.8,6.5,12.2
"32",3712,1981,3,1,4,-3.9,14,21.9
"33",3713,1981,3,2,5.5,-4,12.5,22
"34",3714,1981,3,3,8.2,-0.9,9.8,18.9
"35",3715,1981,3,4,11.3,1.6,6.7,16.4
"36",3716,1981,3,5,11,0.3,7,17.7
"37",3717,1981,3,6,4.9,-1.1,13.1,19.1
"38",3718,1981,3,7,15.4,-1.6,2.6,19.6
"39",3719,1981,3,8,5.5,-1.6,12.5,19.6
"40",3720,1981,3,9,4.7,-2.9,13.3,20.9
"41",3721,1981,3,10,5.8,-4.9,12.2,22.9
"42",3722,1981,3,11,9.5,-3.1,8.5,21.1
"43",3723,1981,3,12,12.1,1.5,5.9,16.5
"44",3724,1981,3,13,12.9,2.1,5.1,15.9
"45",3725,1981,3,14,10.1,3.4,7.9,14.6
"46",3726,1981,3,15,9.6,-0.1,8.4,18.1
"47",3727,1981,3,16,8.5,0.1,9.5,17.9
"48",3728,1981,3,17,12.3,1.7,5.7,16.3
"49",3729,1981,3,18,15.2,0.3,2.8,17.7
"50",3730,1981,3,19,18.3,8.3,0,9.7
"51",3731,1981,3,20,11.9,2.5,6.1,15.5
"52",3732,1981,3,21,7.3,0.3,10.7,17.7
"53",3733,1981,3,22,6.7,3,11.3,15
"54",3734,1981,3,23,8.9,0.5,9.1,17.5
