"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3709,1980,3,1,6.8,-2,11.2,20
"2",3710,1980,3,2,8.6,-6.1,9.4,24.1
"3",3711,1980,3,3,10.4,-3.2,7.6,21.2
"4",3712,1980,3,4,9.6,-0.9,8.4,18.9
"5",3713,1980,3,5,11.2,-1.7,6.8,19.7
"6",3714,1980,3,6,13.1,-3.7,4.9,21.7
"7",3715,1980,3,7,14.6,-0.2,3.4,18.2
"8",3716,1980,3,8,14.1,-1.8,3.9,19.8
"9",3717,1980,3,9,9.1,4.1,8.9,13.9
"10",3718,1980,3,10,8.9,-0.7,9.1,18.7
"11",3719,1980,3,11,6.5,-2.8,11.5,20.8
"12",3720,1980,3,12,10.5,-5.8,7.5,23.8
"13",3721,1980,3,13,13.7,-3.5,4.3,21.5
"14",3722,1980,3,14,4.3,-1.7,13.7,19.7
"15",3723,1980,3,15,7.5,-6.6,10.5,24.6
"16",3724,1980,3,16,12,-2.9,6,20.9
"17",3725,1980,3,17,15.1,-2.7,2.9,20.7
"18",3726,1980,3,18,14.1,-1.1,3.9,19.1
"19",3727,1980,3,19,15.6,-0.1,2.4,18.1
"20",3728,1980,3,20,14.7,-1.2,3.3,19.2
"21",3729,1980,3,21,10.7,-0.6,7.3,18.6
"22",3730,1980,3,22,5.8,-0.2,12.2,18.2
"23",3731,1980,3,23,2.4,-2.6,15.6,20.6
"24",3732,1980,3,24,6.2,-5.5,11.8,23.5
"25",3733,1980,3,25,9.5,-4.9,8.5,22.9
"26",3734,1980,3,26,9.2,-3,8.8,21
"27",3735,1980,3,27,14.5,-5.8,3.5,23.8
"28",3736,1980,3,28,17.5,-3.2,0.5,21.2
"29",3737,1980,3,29,9.7,1.3,8.3,16.7
"30",3738,1980,3,30,20.7,-0.4,0,18.4
"31",3739,1980,3,31,11.3,5.3,6.7,12.7
"32",4074,1981,3,1,4.9,-3.8,13.1,21.8
"33",4075,1981,3,2,9,-6.8,9,24.8
"34",4076,1981,3,3,5.6,-3.6,12.4,21.6
"35",4077,1981,3,4,6.6,-4.6,11.4,22.6
"36",4078,1981,3,5,8.2,-5.9,9.8,23.9
"37",4079,1981,3,6,4.3,-6.5,13.7,24.5
"38",4080,1981,3,7,11,-7,7,25
"39",4081,1981,3,8,13,-4.3,5,22.3
"40",4082,1981,3,9,3.5,-2,14.5,20
"41",4083,1981,3,10,8,-4.3,10,22.3
"42",4084,1981,3,11,13.8,-6.9,4.2,24.9
"43",4085,1981,3,12,17,-4.8,1,22.8
"44",4086,1981,3,13,16.5,1.5,1.5,16.5
"45",4087,1981,3,14,11.6,3.9,6.4,14.1
"46",4088,1981,3,15,4.8,-3.4,13.2,21.4
"47",4089,1981,3,16,9.2,-6.8,8.8,24.8
"48",4090,1981,3,17,16.1,-5.4,1.9,23.4
"49",4091,1981,3,18,18.7,-1.4,0,19.4
"50",4092,1981,3,19,20.6,-0.5,0,18.5
"51",4093,1981,3,20,19.6,-2.1,0,20.1
"52",4094,1981,3,21,21.4,-0.1,0,18.1
"53",4095,1981,3,22,20,0.1,0,17.9
"54",4096,1981,3,23,17.6,-0.5,0.399999999999999,18.5
"55",4097,1981,3,24,11.7,5,6.3,13
"56",4098,1981,3,25,10.8,4.3,7.2,13.7
"57",4099,1981,3,26,6.2,-0.1,11.8,18.1
"58",4100,1981,3,27,10.9,-1.7,7.1,19.7
"59",4101,1981,3,28,16.4,1.4,1.6,16.6
"60",4102,1981,3,29,15.9,-1.1,2.1,19.1
