"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3347,1980,3,1,5.8,-0.7,12.2,18.7
"2",3348,1980,3,2,9.1,-4.3,8.9,22.3
"3",3349,1980,3,3,11.1,-3.1,6.9,21.1
"4",3350,1980,3,4,11.8,-0.9,6.2,18.9
"5",3351,1980,3,5,11.4,-1.7,6.6,19.7
"6",3352,1980,3,6,11.4,-4.3,6.6,22.3
"7",3353,1980,3,7,13.4,2.6,4.6,15.4
"8",3354,1980,3,8,15.5,-1.3,2.5,19.3
"9",3355,1980,3,9,9.6,2.2,8.4,15.8
"10",3356,1980,3,10,6.4,0.4,11.6,17.6
"11",3357,1980,3,11,4.4,-2.5,13.6,20.5
"12",3358,1980,3,12,6.3,-4.7,11.7,22.7
"13",3359,1980,3,13,10.3,-4.5,7.7,22.5
"14",3360,1980,3,14,6.8,-0.3,11.2,18.3
"15",3361,1980,3,15,8.4,-3.6,9.6,21.6
"16",3362,1980,3,16,11.1,-2,6.9,20
"17",3363,1980,3,17,12.9,-2.5,5.1,20.5
"18",3364,1980,3,18,11,0.4,7,17.6
"19",3365,1980,3,19,14.7,-1.5,3.3,19.5
"20",3366,1980,3,20,10.9,1.1,7.1,16.9
"21",3367,1980,3,21,12,-1.3,6,19.3
"22",3368,1980,3,22,6.4,0.6,11.6,17.4
"23",3369,1980,3,23,5.4,-1.1,12.6,19.1
"24",3370,1980,3,24,7,-2.5,11,20.5
"25",3371,1980,3,25,10,-2.9,8,20.9
"26",3372,1980,3,26,8.2,0.4,9.8,17.6
"27",3373,1980,3,27,14.7,-2.3,3.3,20.3
"28",3374,1980,3,28,14.6,-2.6,3.4,20.6
"29",3375,1980,3,29,15.3,3,2.7,15
"30",3376,1980,3,30,16.9,-0.5,1.1,18.5
"31",3377,1980,3,31,8.9,4.4,9.1,13.6
"32",3712,1981,3,1,4.4,-4.7,13.6,22.7
"33",3713,1981,3,2,7.9,-4.6,10.1,22.6
"34",3714,1981,3,3,7.8,-2.2,10.2,20.2
"35",3715,1981,3,4,7.4,-2.6,10.6,20.6
"36",3716,1981,3,5,8,-4.1,10,22.1
"37",3717,1981,3,6,4.6,-2.9,13.4,20.9
"38",3718,1981,3,7,11.2,-1.4,6.8,19.4
"39",3719,1981,3,8,11.7,-2.6,6.3,20.6
"40",3720,1981,3,9,5.8,-1.5,12.2,19.5
"41",3721,1981,3,10,7.7,-4.2,10.3,22.2
"42",3722,1981,3,11,12.4,-3.1,5.6,21.1
"43",3723,1981,3,12,17.6,-2.3,0.399999999999999,20.3
"44",3724,1981,3,13,19.6,1.9,0,16.1
"45",3725,1981,3,14,11.3,2.8,6.7,15.2
"46",3726,1981,3,15,5.5,-0.4,12.5,18.4
"47",3727,1981,3,16,9.2,-1.8,8.8,19.8
"48",3728,1981,3,17,15.1,-0.7,2.9,18.7
"49",3729,1981,3,18,17.4,-0.5,0.600000000000001,18.5
"50",3730,1981,3,19,19.3,-1.3,0,19.3
"51",3731,1981,3,20,18.4,-0.7,0,18.7
"52",3732,1981,3,21,20,0.8,0,17.2
"53",3733,1981,3,22,18.5,2.4,0,15.6
"54",3734,1981,3,23,18.4,1.8,0,16.2
"55",3735,1981,3,24,9.2,6.3,8.8,11.7
"56",3736,1981,3,25,8.5,2.2,9.5,15.8
"57",3737,1981,3,26,3.3,-0.2,14.7,18.2
"58",3738,1981,3,27,8.7,-0.2,9.3,18.2
"59",3739,1981,3,28,14,2,4,16
"60",3740,1981,3,29,14.6,0.7,3.4,17.3
"61",3741,1981,3,30,14.8,-0.8,3.2,18.8
"62",3742,1981,3,31,18.9,1.8,0,16.2
"63",4077,1982,3,1,6.6,-0.8,11.4,18.8
"64",4078,1982,3,2,6.3,-4.2,11.7,22.2
"65",4079,1982,3,3,10.5,-4.8,7.5,22.8
"66",4080,1982,3,4,5,-1.9,13,19.9
"67",4081,1982,3,5,7.6,-1.1,10.4,19.1
"68",4082,1982,3,6,2.1,-2.9,15.9,20.9
"69",4083,1982,3,7,2.2,-6.7,15.8,24.7
"70",4084,1982,3,8,8.4,-6.1,9.6,24.1
"71",4085,1982,3,9,12.2,-0.8,5.8,18.8
