"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3166,1980,3,1,9.3,-4,8.7,22
"2",3167,1980,3,2,10.7,-9.1,7.3,27.1
"3",3168,1980,3,3,12.1,-6.5,5.9,24.5
"4",3169,1980,3,4,12.7,-3.8,5.3,21.8
"5",3170,1980,3,5,13.4,-4.8,4.6,22.8
"6",3171,1980,3,6,13.6,-6.7,4.4,24.7
"7",3172,1980,3,7,12.5,-1.3,5.5,19.3
"8",3173,1980,3,8,17.2,-4.7,0.800000000000001,22.7
"9",3174,1980,3,9,7.5,0,10.5,18
"10",3175,1980,3,10,11.4,-3,6.6,21
"11",3176,1980,3,11,9.5,-6.2,8.5,24.2
"12",3177,1980,3,12,9.8,-7.4,8.2,25.4
"13",3178,1980,3,13,12.5,-6.8,5.5,24.8
"14",3179,1980,3,14,10,-0.9,8,18.9
"15",3180,1980,3,15,9.8,-7.3,8.2,25.3
"16",3181,1980,3,16,11.7,-5.6,6.3,23.6
"17",3182,1980,3,17,12.1,-2.7,5.9,20.7
"18",3183,1980,3,18,11.4,-2.8,6.6,20.8
"19",3184,1980,3,19,13.2,-1.8,4.8,19.8
"20",3185,1980,3,20,12.7,-2.2,5.3,20.2
"21",3186,1980,3,21,14,-4.9,4,22.9
"22",3187,1980,3,22,6.9,0.7,11.1,17.3
"23",3188,1980,3,23,4.7,-1,13.3,19
"24",3189,1980,3,24,8.9,-6.9,9.1,24.9
"25",3190,1980,3,25,10.8,-4.7,7.2,22.7
"26",3191,1980,3,26,11.7,-1.7,6.3,19.7
"27",3192,1980,3,27,16.7,-6.4,1.3,24.4
"28",3193,1980,3,28,17.9,-4.1,0.100000000000001,22.1
"29",3194,1980,3,29,18.4,1,0,17
"30",3195,1980,3,30,21.2,-2.6,0,20.6
"31",3196,1980,3,31,11.3,2.4,6.7,15.6
"32",3531,1981,3,1,8,-8.7,10,26.7
"33",3532,1981,3,2,9.5,-8.5,8.5,26.5
"34",3533,1981,3,3,11.2,-4.6,6.8,22.6
"35",3534,1981,3,4,9.2,-4.4,8.8,22.4
"36",3535,1981,3,5,8.4,-6.6,9.6,24.6
"37",3536,1981,3,6,5,-5.5,13,23.5
"38",3537,1981,3,7,11.9,-1.2,6.1,19.2
"39",3538,1981,3,8,7,-4.7,11,22.7
"40",3539,1981,3,9,2.1,-4.9,15.9,22.9
"41",3540,1981,3,10,8.8,-7.8,9.2,25.8
"42",3541,1981,3,11,12.6,-6.7,5.4,24.7
"43",3542,1981,3,12,18,-5.1,0,23.1
"44",3543,1981,3,13,22.7,-3.9,0,21.9
"45",3544,1981,3,14,11.9,2,6.1,16
"46",3545,1981,3,15,8.4,-1.3,9.6,19.3
"47",3546,1981,3,16,12,-6.2,6,24.2
"48",3547,1981,3,17,16,-2.9,2,20.9
"49",3548,1981,3,18,19.1,-2.5,0,20.5
"50",3549,1981,3,19,22.4,-2.3,0,20.3
"51",3550,1981,3,20,20.8,-2.5,0,20.5
"52",3551,1981,3,21,21.9,-1.3,0,19.3
"53",3552,1981,3,22,18,3.6,0,14.4
"54",3553,1981,3,23,19.1,0.9,0,17.1
"55",3554,1981,3,24,9.2,1.4,8.8,16.6
"56",3555,1981,3,25,6.8,2.4,11.2,15.6
"57",3556,1981,3,26,2.6,-0.6,15.4,18.6
"58",3557,1981,3,27,9.6,-1.9,8.4,19.9
"59",3558,1981,3,28,16,-1.8,2,19.8
"60",3559,1981,3,29,16,-1.2,2,19.2
"61",3560,1981,3,30,17.2,-2.3,0.800000000000001,20.3
"62",3561,1981,3,31,19.6,0.8,0,17.2
"63",3896,1982,3,1,6.3,-2,11.7,20
"64",3897,1982,3,2,9.2,-4.1,8.8,22.1
"65",3898,1982,3,3,9.4,-7.4,8.6,25.4
"66",3899,1982,3,4,4.2,-3.2,13.8,21.2
"67",3900,1982,3,5,11.9,-0.3,6.1,18.3
"68",3901,1982,3,6,4,-6.4,14,24.4
"69",3902,1982,3,7,4.1,-10.4,13.9,28.4
"70",3903,1982,3,8,7.2,-8.4,10.8,26.4
"71",3904,1982,3,9,11.5,-4.7,6.5,22.7
"72",3905,1982,3,10,14.8,-4.2,3.2,22.2
"73",3906,1982,3,11,17.2,2.6,0.800000000000001,15.4
"74",3907,1982,3,12,17.6,0.2,0.399999999999999,17.8
"75",3908,1982,3,13,18.2,-3.3,0,21.3
"76",3909,1982,3,14,17,-1.8,1,19.8
"77",3910,1982,3,15,14,4.3,4,13.7
"78",3911,1982,3,16,9.7,-1.1,8.3,19.1
"79",3912,1982,3,17,4,-1.8,14,19.8
"80",3913,1982,3,18,13.6,-0.9,4.4,18.9
"81",3914,1982,3,19,14.6,-0.5,3.4,18.5
"82",3915,1982,3,20,18.4,-1.4,0,19.4
"83",3916,1982,3,21,17.2,1,0.800000000000001,17
"84",3917,1982,3,22,20.4,-1.8,0,19.8
"85",3918,1982,3,23,18.2,2.1,0,15.9
"86",3919,1982,3,24,12.7,-1.1,5.3,19.1
"87",3920,1982,3,25,10.6,-6.5,7.4,24.5
"88",3921,1982,3,26,12.7,-7.1,5.3,25.1
"89",3922,1982,3,27,14.5,-6,3.5,24
"90",3923,1982,3,28,16,-0.4,2,18.4
"91",3924,1982,3,29,18.4,-3.2,0,21.2
"92",3925,1982,3,30,6,1.3,12,16.7
"93",3926,1982,3,31,18.2,1.2,0,16.8
"94",4261,1983,3,1,7.8,-4.6,10.2,22.6
"95",4262,1983,3,2,3.7,0.2,14.3,17.8
"96",4263,1983,3,3,6.8,-0.8,11.2,18.8
"97",4264,1983,3,4,6.5,-4,11.5,22
"98",4265,1983,3,5,8,-5.7,10,23.7
"99",4266,1983,3,6,8.9,-4.4,9.1,22.4
"100",4267,1983,3,7,6.4,-5.8,11.6,23.8
"101",4268,1983,3,8,8,-9.3,10,27.3
"102",4269,1983,3,9,11,-3.9,7,21.9
"103",4270,1983,3,10,12.4,-0.2,5.6,18.2
"104",4271,1983,3,11,14,-2.2,4,20.2
"105",4272,1983,3,12,13.1,-2.8,4.9,20.8
"106",4273,1983,3,13,2.3,-4.7,15.7,22.7
"107",4274,1983,3,14,6.8,-10.3,11.2,28.3
"108",4275,1983,3,15,11.4,-6.6,6.6,24.6
"109",4276,1983,3,16,14.5,-5.7,3.5,23.7
"110",4277,1983,3,17,3.4,-2.3,14.6,20.3
"111",4278,1983,3,18,11.6,-6.2,6.4,24.2
"112",4279,1983,3,19,15,-4.4,3,22.4
"113",4280,1983,3,20,15,-2.8,3,20.8
"114",4281,1983,3,21,21.2,0.8,0,17.2
"115",4282,1983,3,22,21.6,-0.6,0,18.6
"116",4283,1983,3,23,10.9,2.4,7.1,15.6
"117",4284,1983,3,24,12.6,2.4,5.4,15.6
"118",4285,1983,3,25,15.8,-3.2,2.2,21.2
"119",4286,1983,3,26,15.8,-1,2.2,19
"120",4287,1983,3,27,15,1.2,3,16.8
"121",4288,1983,3,28,18.8,-2.8,0,20.8
"122",4289,1983,3,29,19.4,-2.4,0,20.4
"123",4290,1983,3,30,20,-4.2,0,22.2
"124",4291,1983,3,31,18.1,-3.6,0,21.6
"125",4627,1984,3,1,3.6,-10,14.4,28
"126",4628,1984,3,2,3.6,-5.8,14.4,23.8
"127",4629,1984,3,3,2,-11,16,29
"128",4630,1984,3,4,3.8,-12.8,14.2,30.8
"129",4631,1984,3,5,5,-11.6,13,29.6
"130",4632,1984,3,6,6,-4.8,12,22.8
"131",4633,1984,3,7,6.4,-9.7,11.6,27.7
"132",4634,1984,3,8,8.6,-8.4,9.4,26.4
"133",4635,1984,3,9,9.2,-7.3,8.8,25.3
"134",4636,1984,3,10,4.8,-4.4,13.2,22.4
"135",4637,1984,3,11,7.6,-9.8,10.4,27.8
"136",4638,1984,3,12,8.2,-3.6,9.8,21.6
"137",4639,1984,3,13,7.6,-5.6,10.4,23.6
"138",4640,1984,3,14,13.4,-4.7,4.6,22.7
"139",4641,1984,3,15,9.8,-3.2,8.2,21.2
"140",4642,1984,3,16,9.2,-0.8,8.8,18.8
"141",4643,1984,3,17,8.8,-2.9,9.2,20.9
"142",4644,1984,3,18,10.8,-7,7.2,25
"143",4645,1984,3,19,13,-1.3,5,19.3
"144",4646,1984,3,20,8.2,-6,9.8,24
"145",4647,1984,3,21,7,-6.4,11,24.4
"146",4648,1984,3,22,9.4,-6.2,8.6,24.2
"147",4649,1984,3,23,10,-7,8,25
"148",4650,1984,3,24,9.8,-2.8,8.2,20.8
"149",4651,1984,3,25,9.6,-6.9,8.4,24.9
"150",4652,1984,3,26,10,-9.6,8,27.6
"151",4653,1984,3,27,11.4,-1.8,6.6,19.8
"152",4654,1984,3,28,11.8,-6.6,6.2,24.6
"153",4655,1984,3,29,17.6,1.8,0.399999999999999,16.2
"154",4656,1984,3,30,15.1,0.4,2.9,17.6
"155",4657,1984,3,31,7.6,3.1,10.4,14.9
"156",4992,1985,3,1,7,-1.6,11,19.6
"157",4993,1985,3,2,8.8,-1.8,9.2,19.8
"158",4994,1985,3,3,11,-3.9,7,21.9
"159",4995,1985,3,4,9,-5.4,9,23.4
"160",4996,1985,3,5,4.9,-6.4,13.1,24.4
"161",4997,1985,3,6,5.4,-9,12.6,27
"162",4998,1985,3,7,8.2,-2.4,9.8,20.4
"163",4999,1985,3,8,4,-0.6,14,18.6
"164",5000,1985,3,9,5.4,-4.3,12.6,22.3
"165",5001,1985,3,10,6.4,-10.7,11.6,28.7
"166",5002,1985,3,11,8.8,-4.4,9.2,22.4
"167",5003,1985,3,12,9.2,-8.9,8.8,26.9
"168",5004,1985,3,13,9.8,-5.4,8.2,23.4
"169",5005,1985,3,14,12.2,-6.2,5.8,24.2
"170",5006,1985,3,15,14,-5.8,4,23.8
"171",5007,1985,3,16,12,-3.5,6,21.5
"172",5008,1985,3,17,17.4,-1.6,0.600000000000001,19.6
"173",5009,1985,3,18,15.6,-3.9,2.4,21.9
"174",5010,1985,3,19,18.4,1.2,0,16.8
"175",5011,1985,3,20,17.4,-1,0.600000000000001,19
"176",5012,1985,3,21,16.4,-2.6,1.6,20.6
"177",5013,1985,3,22,15.6,-5.4,2.4,23.4
"178",5014,1985,3,23,17.1,-3,0.899999999999999,21
"179",5015,1985,3,24,20.8,-2.8,0,20.8
"180",5016,1985,3,25,11,2,7,16
"181",5017,1985,3,26,17,-1.6,1,19.6
"182",5018,1985,3,27,9,2.8,9,15.2
"183",5019,1985,3,28,11.1,0,6.9,18
"184",5020,1985,3,29,8.6,-3,9.4,21
"185",5021,1985,3,30,9.8,-6,8.2,24
"186",5022,1985,3,31,13.2,-6.2,4.8,24.2
"187",5357,1986,3,1,1.8,-8.8,16.2,26.8
"188",5358,1986,3,2,5.4,-12,12.6,30
"189",5359,1986,3,3,9.5,-9.4,8.5,27.4
"190",5360,1986,3,4,10.5,-8,7.5,26
"191",5361,1986,3,5,13.3,-4.6,4.7,22.6
"192",5362,1986,3,6,14.1,-6,3.9,24
"193",5363,1986,3,7,16.9,-4.8,1.1,22.8
"194",5364,1986,3,8,16.5,-3.7,1.5,21.7
"195",5365,1986,3,9,8.2,-2.4,9.8,20.4
"196",5366,1986,3,10,6.7,-2.5,11.3,20.5
"197",5367,1986,3,11,10.2,-3.8,7.8,21.8
"198",5368,1986,3,12,8.2,-6.1,9.8,24.1
"199",5369,1986,3,13,10.7,-1.9,7.3,19.9
"200",5370,1986,3,14,11.8,-0.4,6.2,18.4
"201",5371,1986,3,15,6.6,-2.8,11.4,20.8
"202",5372,1986,3,16,10.2,-6,7.8,24
"203",5373,1986,3,17,13.8,-6.4,4.2,24.4
"204",5374,1986,3,18,4.9,-1.7,13.1,19.7
"205",5375,1986,3,19,4.7,0.5,13.3,17.5
"206",5376,1986,3,20,9.6,0.4,8.4,17.6
"207",5377,1986,3,21,13.4,-1.9,4.6,19.9
"208",5378,1986,3,22,10.8,-2.1,7.2,20.1
"209",5379,1986,3,23,13.6,-0.2,4.4,18.2
"210",5380,1986,3,24,13.7,-3.8,4.3,21.8
"211",5381,1986,3,25,15.3,-5,2.7,23
"212",5382,1986,3,26,16.5,-4.4,1.5,22.4
"213",5383,1986,3,27,19.2,-3.2,0,21.2
"214",5384,1986,3,28,19.4,-0.1,0,18.1
"215",5385,1986,3,29,19.6,-1.1,0,19.1
"216",5386,1986,3,30,13.3,2.2,4.7,15.8
"217",5387,1986,3,31,15.1,-4,2.9,22
"218",5722,1987,3,1,3,-7.5,15,25.5
"219",5723,1987,3,2,4.6,-11.8,13.4,29.8
"220",5724,1987,3,3,5.2,-9.3,12.8,27.3
"221",5725,1987,3,4,11.2,-1.6,6.8,19.6
"222",5726,1987,3,5,10.6,1.2,7.4,16.8
"223",5727,1987,3,6,8.5,-4.4,9.5,22.4
"224",5728,1987,3,7,10.6,-2.2,7.4,20.2
"225",5729,1987,3,8,10.2,-4.2,7.8,22.2
"226",5730,1987,3,9,11.8,-4,6.2,22
"227",5731,1987,3,10,7.5,-3.2,10.5,21.2
"228",5732,1987,3,11,10.2,-2.7,7.8,20.7
"229",5733,1987,3,12,17,-3.2,1,21.2
"230",5734,1987,3,13,17.6,1.1,0.399999999999999,16.9
"231",5735,1987,3,14,11.8,-2,6.2,20
"232",5736,1987,3,15,9,-6.8,9,24.8
"233",5737,1987,3,16,10.9,-3.1,7.1,21.1
"234",5738,1987,3,17,16.7,-5.5,1.3,23.5
"235",5739,1987,3,18,15.5,1.2,2.5,16.8
"236",5740,1987,3,19,5.4,1,12.6,17
"237",5741,1987,3,20,14.9,-1.2,3.1,19.2
"238",5742,1987,3,21,16.4,2.8,1.6,15.2
"239",5743,1987,3,22,11.5,1.4,6.5,16.6
"240",5744,1987,3,23,18,4,0,14
"241",5745,1987,3,24,8.2,-2.5,9.8,20.5
"242",5746,1987,3,25,2.2,-6.7,15.8,24.7
"243",5747,1987,3,26,7.7,-9.2,10.3,27.2
"244",5748,1987,3,27,9.4,-2.9,8.6,20.9
"245",5749,1987,3,28,10.7,-1.2,7.3,19.2
"246",5750,1987,3,29,17.2,-4.6,0.800000000000001,22.6
"247",5751,1987,3,30,7.5,0.6,10.5,17.4
"248",5752,1987,3,31,11.2,-0.9,6.8,18.9
"249",6088,1988,3,1,9.9,-4,8.1,22
"250",6089,1988,3,2,4.2,-6.2,13.8,24.2
"251",6090,1988,3,3,2,-11.4,16,29.4
"252",6091,1988,3,4,2.5,-12.9,15.5,30.9
"253",6092,1988,3,5,4.9,-9.4,13.1,27.4
"254",6093,1988,3,6,3.6,-9,14.4,27
"255",6094,1988,3,7,2,-8.8,16,26.8
"256",6095,1988,3,8,3,-6.9,15,24.9
"257",6096,1988,3,9,6.9,-9.3,11.1,27.3
"258",6097,1988,3,10,12.6,-6,5.4,24
"259",6098,1988,3,11,2,-6.4,16,24.4
"260",6099,1988,3,12,13.2,0.1,4.8,17.9
"261",6100,1988,3,13,16.6,-3.8,1.4,21.8
"262",6101,1988,3,14,11,1.3,7,16.7
"263",6102,1988,3,15,7,-4,11,22
"264",6103,1988,3,16,8,-7.3,10,25.3
"265",6104,1988,3,17,14.2,-3.2,3.8,21.2
"266",6105,1988,3,18,9.8,-4,8.2,22
"267",6106,1988,3,19,11.8,-4.6,6.2,22.6
"268",6107,1988,3,20,11.8,-5.5,6.2,23.5
"269",6108,1988,3,21,13.9,-3,4.1,21
"270",6109,1988,3,22,11,1.8,7,16.2
"271",6110,1988,3,23,10,-2.2,8,20.2
"272",6111,1988,3,24,11.4,-6.7,6.6,24.7
"273",6112,1988,3,25,15.7,1.7,2.3,16.3
"274",6113,1988,3,26,12.2,-1.2,5.8,19.2
"275",6114,1988,3,27,15.2,-3.8,2.8,21.8
"276",6115,1988,3,28,12.8,-2,5.2,20
"277",6116,1988,3,29,15,-3.6,3,21.6
"278",6117,1988,3,30,15.8,-2.2,2.2,20.2
"279",6118,1988,3,31,17.3,-2.1,0.699999999999999,20.1
"280",6453,1989,3,1,9.8,-4.6,8.2,22.6
"281",6454,1989,3,2,5.6,-4.6,12.4,22.6
"282",6455,1989,3,3,5,1.7,13,16.3
"283",6456,1989,3,4,7.4,1.5,10.6,16.5
"284",6457,1989,3,5,3.4,-0.2,14.6,18.2
"285",6458,1989,3,6,2.5,-4.6,15.5,22.6
"286",6459,1989,3,7,1.7,-6.7,16.3,24.7
"287",6460,1989,3,8,5,-10.3,13,28.3
"288",6461,1989,3,9,6.8,-4.7,11.2,22.7
"289",6462,1989,3,10,11,-5.3,7,23.3
"290",6463,1989,3,11,12.2,-1.2,5.8,19.2
"291",6464,1989,3,12,11.8,-3,6.2,21
"292",6465,1989,3,13,14.3,-2.8,3.7,20.8
"293",6466,1989,3,14,13.5,-0.4,4.5,18.4
"294",6467,1989,3,15,12.4,-3.8,5.6,21.8
"295",6468,1989,3,16,6.6,-4.6,11.4,22.6
"296",6469,1989,3,17,13.2,-6.8,4.8,24.8
"297",6470,1989,3,18,13.1,-5.9,4.9,23.9
"298",6471,1989,3,19,16,-4,2,22
"299",6472,1989,3,20,14.2,-0.8,3.8,18.8
"300",6473,1989,3,21,11.2,-0.2,6.8,18.2
"301",6474,1989,3,22,15.1,-4,2.9,22
"302",6475,1989,3,23,12.4,-2.3,5.6,20.3
"303",6476,1989,3,24,7.4,3.2,10.6,14.8
"304",6477,1989,3,25,13.4,-0.1,4.6,18.1
"305",6478,1989,3,26,14.4,-2,3.6,20
"306",6479,1989,3,27,9.8,-0.5,8.2,18.5
"307",6480,1989,3,28,12.6,1.7,5.4,16.3
"308",6481,1989,3,29,15.8,-0.4,2.2,18.4
"309",6482,1989,3,30,16,-3.6,2,21.6
"310",6483,1989,3,31,16.2,5.6,1.8,12.4
"311",6818,1990,3,1,11.6,-3.6,6.4,21.6
"312",6819,1990,3,2,8,-0.4,10,18.4
"313",6820,1990,3,3,11.8,-1.5,6.2,19.5
"314",6821,1990,3,4,9.6,-3.6,8.4,21.6
"315",6822,1990,3,5,10,-5,8,23
"316",6823,1990,3,6,10,-4.4,8,22.4
"317",6824,1990,3,7,8.7,-3.8,9.3,21.8
"318",6825,1990,3,8,10.8,-7.5,7.2,25.5
"319",6826,1990,3,9,12.4,-7.4,5.6,25.4
"320",6827,1990,3,10,15.4,-3,2.6,21
"321",6828,1990,3,11,7.8,-1,10.2,19
"322",6829,1990,3,12,10.2,0.6,7.8,17.4
"323",6830,1990,3,13,13.1,-2.8,4.9,20.8
"324",6831,1990,3,14,6.2,-0.3,11.8,18.3
"325",6832,1990,3,15,9.8,1.1,8.2,16.9
"326",6833,1990,3,16,11.6,-1.4,6.4,19.4
"327",6834,1990,3,17,6,-4.4,12,22.4
"328",6835,1990,3,18,10.4,-3.7,7.6,21.7
"329",6836,1990,3,19,13.6,-4.4,4.4,22.4
"330",6837,1990,3,20,15.8,1.8,2.2,16.2
"331",6838,1990,3,21,18.6,-0.5,0,18.5
"332",6839,1990,3,22,19.4,2.6,0,15.4
"333",6840,1990,3,23,18.2,7,0,11
"334",6841,1990,3,24,10.4,2.6,7.6,15.4
"335",6842,1990,3,25,10.2,-2,7.8,20
"336",6843,1990,3,26,16.6,-5.4,1.4,23.4
"337",6844,1990,3,27,14.3,-2.6,3.7,20.6
"338",6845,1990,3,28,8.2,5.8,9.8,12.2
"339",6846,1990,3,29,10.4,5.4,7.6,12.6
"340",6847,1990,3,30,11.4,5.6,6.6,12.4
"341",6848,1990,3,31,15.2,4,2.8,14
"342",7183,1991,3,1,5.7,-8.7,12.3,26.7
"343",7184,1991,3,2,7.2,-8.7,10.8,26.7
"344",7185,1991,3,3,8.7,-4.2,9.3,22.2
"345",7186,1991,3,4,10,-7.2,8,25.2
"346",7187,1991,3,5,14.6,-5.1,3.4,23.1
"347",7188,1991,3,6,14.8,-3.7,3.2,21.7
"348",7189,1991,3,7,7.4,-2.1,10.6,20.1
"349",7190,1991,3,8,2.6,-0.8,15.4,18.8
"350",7191,1991,3,9,3.4,-1.3,14.6,19.3
"351",7192,1991,3,10,4.6,-0.8,13.4,18.8
"352",7193,1991,3,11,6,0,12,18
"353",7194,1991,3,12,8.8,-3.1,9.2,21.1
"354",7195,1991,3,13,8.2,-5.9,9.8,23.9
"355",7196,1991,3,14,5.4,-7.5,12.6,25.5
"356",7197,1991,3,15,7.1,-7.7,10.9,25.7
"357",7198,1991,3,16,3.9,-0.5,14.1,18.5
"358",7199,1991,3,17,9.2,-6.1,8.8,24.1
"359",7200,1991,3,18,12,-6.2,6,24.2
"360",7201,1991,3,19,17,-2.6,1,20.6
"361",7202,1991,3,20,11.6,3.8,6.4,14.2
"362",7203,1991,3,21,8.3,1,9.7,17
"363",7204,1991,3,22,10.6,-1.9,7.4,19.9
"364",7205,1991,3,23,18.3,-2,0,20
"365",7206,1991,3,24,19.2,-1.5,0,19.5
"366",7207,1991,3,25,21,4,0,14
"367",7208,1991,3,26,11.8,-0.8,6.2,18.8
"368",7209,1991,3,27,4.4,0.7,13.6,17.3
"369",7210,1991,3,28,12,1.9,6,16.1
"370",7211,1991,3,29,10.8,0.5,7.2,17.5
"371",7212,1991,3,30,11,-1.2,7,19.2
"372",7213,1991,3,31,7.6,-6.4,10.4,24.4
"373",7549,1992,3,1,9.6,3.8,8.4,14.2
"374",7550,1992,3,2,7.8,2.5,10.2,15.5
"375",7551,1992,3,3,9.4,-3.1,8.6,21.1
"376",7552,1992,3,4,8.4,-3.9,9.6,21.9
"377",7553,1992,3,5,4,-1,14,19
