"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",2982,1980,3,1,9.5,-0.8,8.5,18.8
"2",2983,1980,3,2,11.5,-5.1,6.5,23.1
"3",2984,1980,3,3,12.5,-2.1,5.5,20.1
"4",2985,1980,3,4,7.6,-0.1,10.4,18.1
"5",2986,1980,3,5,10.6,-0.2,7.4,18.2
"6",2987,1980,3,6,13,-2.2,5,20.2
"7",2988,1980,3,7,14.7,2.9,3.3,15.1
"8",2989,1980,3,8,12.4,-1.5,5.6,19.5
"9",2990,1980,3,9,7.1,4.4,10.9,13.6
"10",2991,1980,3,10,11.4,-0.1,6.6,18.1
"11",2992,1980,3,11,9.7,-1,8.3,19
"12",2993,1980,3,12,11.3,-4.4,6.7,22.4
"13",2994,1980,3,13,14,-2.1,4,20.1
"14",2995,1980,3,14,7.7,-0.3,10.3,18.3
"15",2996,1980,3,15,8.9,-4.3,9.1,22.3
"16",2997,1980,3,16,13.2,-1.8,4.8,19.8
"17",2998,1980,3,17,16.1,-1.5,1.9,19.5
"18",2999,1980,3,18,11.5,-1,6.5,19
"19",3000,1980,3,19,16,-0.5,2,18.5
"20",3001,1980,3,20,16.4,-0.9,1.6,18.9
"21",3002,1980,3,21,11.5,0.4,6.5,17.6
"22",3003,1980,3,22,5.7,0.3,12.3,17.7
"23",3004,1980,3,23,5,-1.2,13,19.2
"24",3005,1980,3,24,7.2,-4,10.8,22
"25",3006,1980,3,25,10.5,-3.9,7.5,21.9
"26",3007,1980,3,26,11.4,-0.2,6.6,18.2
"27",3008,1980,3,27,14.8,-3.6,3.2,21.6
"28",3009,1980,3,28,17.1,-2.4,0.899999999999999,20.4
"29",3010,1980,3,29,9.1,3.1,8.9,14.9
"30",3011,1980,3,30,21,0.6,0,17.4
"31",3012,1980,3,31,13.5,6.9,4.5,11.1
"32",3347,1981,3,1,4.9,-4.2,13.1,22.2
"33",3348,1981,3,2,8.9,-5.9,9.1,23.9
"34",3349,1981,3,3,8,-1.8,10,19.8
"35",3350,1981,3,4,11.1,-2.4,6.9,20.4
"36",3351,1981,3,5,9.1,-1.9,8.9,19.9
"37",3352,1981,3,6,6.1,-3,11.9,21
"38",3353,1981,3,7,13.5,-4.8,4.5,22.8
"39",3354,1981,3,8,12,-2.4,6,20.4
"40",3355,1981,3,9,5.2,-2.2,12.8,20.2
"41",3356,1981,3,10,9,-5,9,23
"42",3357,1981,3,11,13.2,-4.8,4.8,22.8
"43",3358,1981,3,12,17.1,-3.5,0.899999999999999,21.5
"44",3359,1981,3,13,13.8,7.8,4.2,10.2
"45",3360,1981,3,14,13.2,4.6,4.8,13.4
"46",3361,1981,3,15,8.3,-0.8,9.7,18.8
"47",3362,1981,3,16,12.8,-3.9,5.2,21.9
"48",3363,1981,3,17,18.3,-0.1,0,18.1
"49",3364,1981,3,18,21.4,-1.6,0,19.6
"50",3365,1981,3,19,20,0,0,18
"51",3366,1981,3,20,21.9,-0.4,0,18.4
"52",3367,1981,3,21,21.1,2,0,16
"53",3368,1981,3,22,22,1.9,0,16.1
"54",3369,1981,3,23,13.9,1.5,4.1,16.5
"55",3370,1981,3,24,7.1,1.7,10.9,16.3
"56",3371,1981,3,25,11.8,6.5,6.2,11.5
"57",3372,1981,3,26,8.6,0.6,9.4,17.4
"58",3373,1981,3,27,15.1,-3,2.9,21
"59",3374,1981,3,28,16.1,3.7,1.9,14.3
"60",3375,1981,3,29,17,0,1,18
"61",3376,1981,3,30,14.6,3,3.4,15
"62",3377,1981,3,31,16.1,3,1.9,15
"63",3712,1982,3,1,7.9,-1.4,10.1,19.4
"64",3713,1982,3,2,8.2,-6.5,9.8,24.5
"65",3714,1982,3,3,13,-7,5,25
"66",3715,1982,3,4,4.4,-1,13.6,19
"67",3716,1982,3,5,11.3,2.2,6.7,15.8
"68",3717,1982,3,6,5.6,-1.9,12.4,19.9
"69",3718,1982,3,7,3.3,-5.9,14.7,23.9
"70",3719,1982,3,8,9.5,-5,8.5,23
"71",3720,1982,3,9,11.9,-1.2,6.1,19.2
"72",3721,1982,3,10,15.5,-4.7,2.5,22.7
"73",3722,1982,3,11,17.2,-3.9,0.800000000000001,21.9
"74",3723,1982,3,12,14.7,1.3,3.3,16.7
"75",3724,1982,3,13,17,-2.1,1,20.1
"76",3725,1982,3,14,14.1,2.4,3.9,15.6
"77",3726,1982,3,15,15.6,5.9,2.4,12.1
"78",3727,1982,3,16,12.5,1.2,5.5,16.8
"79",3728,1982,3,17,5.9,-0.2,12.1,18.2
"80",3729,1982,3,18,13,-0.2,5,18.2
"81",3730,1982,3,19,10.2,0.8,7.8,17.2
"82",3731,1982,3,20,14.4,5.1,3.6,12.9
"83",3732,1982,3,21,18.8,5.1,0,12.9
"84",3733,1982,3,22,20,-0.2,0,18.2
"85",3734,1982,3,23,21.5,3.5,0,14.5
"86",3735,1982,3,24,13.1,2.3,4.9,15.7
"87",3736,1982,3,25,12.1,-2.7,5.9,20.7
"88",3737,1982,3,26,14.2,-4.2,3.8,22.2
"89",3738,1982,3,27,16.2,-3,1.8,21
"90",3739,1982,3,28,14.9,3.1,3.1,14.9
"91",3740,1982,3,29,20.1,-1.9,0,19.9
"92",3741,1982,3,30,11.8,6.4,6.2,11.6
"93",3742,1982,3,31,17.9,4,0.100000000000001,14
"94",4077,1983,3,1,4.2,-1.3,13.8,19.3
"95",4078,1983,3,2,14.2,3.2,3.8,14.8
"96",4079,1983,3,3,10.6,2.9,7.4,15.1
"97",4080,1983,3,4,8.4,-1.3,9.6,19.3
"98",4081,1983,3,5,9.8,-5.5,8.2,23.5
"99",4082,1983,3,6,10,-3.3,8,21.3
"100",4083,1983,3,7,6.6,-1.8,11.4,19.8
"101",4084,1983,3,8,7.4,-6.6,10.6,24.6
"102",4085,1983,3,9,8.4,-2.1,9.6,20.1
"103",4086,1983,3,10,12.7,1.3,5.3,16.7
"104",4087,1983,3,11,14.6,-3,3.4,21
"105",4088,1983,3,12,15.9,-0.7,2.1,18.7
"106",4089,1983,3,13,10.2,0.9,7.8,17.1
