"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3712,1980,3,1,10.2,-1.5,7.8,19.5
"2",3713,1980,3,2,13.1,-5,4.9,23
"3",3714,1980,3,3,13.4,-2.2,4.6,20.2
"4",3715,1980,3,4,9.8,0.2,8.2,17.8
"5",3716,1980,3,5,12.9,1.4,5.1,16.6
"6",3717,1980,3,6,14.9,-1.9,3.1,19.9
"7",3718,1980,3,7,17.8,2.2,0.199999999999999,15.8
"8",3719,1980,3,8,15.4,-0.7,2.6,18.7
"9",3720,1980,3,9,8.6,4.8,9.4,13.2
"10",3721,1980,3,10,12.2,1.4,5.8,16.6
"11",3722,1980,3,11,9.8,-1.2,8.2,19.2
"12",3723,1980,3,12,13.4,-5,4.6,23
"13",3724,1980,3,13,15.3,-2.9,2.7,20.9
"14",3725,1980,3,14,7.4,-2.1,10.6,20.1
"15",3726,1980,3,15,10.3,-6,7.7,24
"16",3727,1980,3,16,14.6,-2.3,3.4,20.3
"17",3728,1980,3,17,18.1,-1.1,0,19.1
"18",3729,1980,3,18,15.6,-1.4,2.4,19.4
"19",3730,1980,3,19,16.8,0.1,1.2,17.9
"20",3731,1980,3,20,16.5,-0.8,1.5,18.8
"21",3732,1980,3,21,11.2,-0.4,6.8,18.4
"22",3733,1980,3,22,7.5,-0.3,10.5,18.3
"23",3734,1980,3,23,5.2,-1.5,12.8,19.5
"24",3735,1980,3,24,8.4,-4.5,9.6,22.5
"25",3736,1980,3,25,11.6,-3.8,6.4,21.8
"26",3737,1980,3,26,12.1,-2.2,5.9,20.2
"27",3738,1980,3,27,17.1,-5.2,0.899999999999999,23.2
"28",3739,1980,3,28,19.1,-2.6,0,20.6
"29",3740,1980,3,29,11.2,2.5,6.8,15.5
"30",3741,1980,3,30,22.2,0.5,0,17.5
"31",3742,1980,3,31,13.4,6,4.6,12
"32",4077,1981,3,1,7.2,-3,10.8,21
"33",4078,1981,3,2,10.6,-5,7.4,23
"34",4079,1981,3,3,8.3,-1.4,9.7,19.4
"35",4080,1981,3,4,10.2,-4.8,7.8,22.8
"36",4081,1981,3,5,10.8,-2.2,7.2,20.2
"37",4082,1981,3,6,7,-4.7,11,22.7
"38",4083,1981,3,7,13.2,-6,4.8,24
"39",4084,1981,3,8,14.6,-2,3.4,20
"40",4085,1981,3,9,6.8,-1,11.2,19
"41",4086,1981,3,10,11.2,-4,6.8,22
"42",4087,1981,3,11,16.4,-4.8,1.6,22.8
"43",4088,1981,3,12,17.6,-3,0.399999999999999,21
"44",4089,1981,3,13,15.4,7.5,2.6,10.5
"45",4090,1981,3,14,13.4,4.6,4.6,13.4
"46",4091,1981,3,15,7.1,-2.5,10.9,20.5
"47",4092,1981,3,16,12.4,-5,5.6,23
"48",4093,1981,3,17,18,-4.7,0,22.7
"49",4094,1981,3,18,21.4,-2,0,20
"50",4095,1981,3,19,20.8,1.6,0,16.4
"51",4096,1981,3,20,22.8,0.8,0,17.2
"52",4097,1981,3,21,23.8,1.8,0,16.2
"53",4098,1981,3,22,23,2.6,0,15.4
"54",4099,1981,3,23,17.8,1.8,0.199999999999999,16.2
"55",4100,1981,3,24,11,7.6,7,10.4
"56",4101,1981,3,25,11.4,6.7,6.6,11.3
"57",4102,1981,3,26,7.8,1.9,10.2,16.1
"58",4103,1981,3,27,13.6,-0.5,4.4,18.5
"59",4104,1981,3,28,18.4,4,0,14
"60",4105,1981,3,29,18,1.4,0,16.6
"61",4106,1981,3,30,18.1,3.2,0,14.8
"62",4107,1981,3,31,20.2,5,0,13
"63",4442,1982,3,1,8,-3,10,21
"64",4443,1982,3,2,9.6,-6,8.4,24
"65",4444,1982,3,3,12.8,-6.6,5.2,24.6
"66",4445,1982,3,4,12.1,-1,5.9,19
"67",4446,1982,3,5,10.8,0,7.2,18
"68",4447,1982,3,6,6.8,-2.5,11.2,20.5
"69",4448,1982,3,7,4.8,-6,13.2,24
"70",4449,1982,3,8,9.6,-6.1,8.4,24.1
"71",4450,1982,3,9,13.8,-2.6,4.2,20.6
"72",4451,1982,3,10,15.3,-4.2,2.7,22.2
"73",4452,1982,3,11,19.2,-3,0,21
"74",4453,1982,3,12,15.6,3,2.4,15
"75",4454,1982,3,13,19.8,-2.2,0,20.2
"76",4455,1982,3,14,18.4,0.8,0,17.2
"77",4456,1982,3,15,14.4,5.2,3.6,12.8
"78",4457,1982,3,16,9,0,9,18
"79",4458,1982,3,17,6.6,-1.2,11.4,19.2
"80",4459,1982,3,18,16,-2.2,2,20.2
"81",4460,1982,3,19,12.1,1.8,5.9,16.2
"82",4461,1982,3,20,18.4,4.8,0,13.2
"83",4462,1982,3,21,18.6,2.8,0,15.2
"84",4463,1982,3,22,22,-1,0,19
"85",4464,1982,3,23,20,5.4,0,12.6
"86",4465,1982,3,24,12.4,1.2,5.6,16.8
"87",4466,1982,3,25,12,-3.2,6,21.2
"88",4467,1982,3,26,15.6,-5,2.4,23
"89",4468,1982,3,27,17,-3.5,1,21.5
"90",4469,1982,3,28,17.8,-2,0.199999999999999,20
"91",4470,1982,3,29,19.4,-1.5,0,19.5
"92",4471,1982,3,30,13.6,5.4,4.4,12.6
"93",4472,1982,3,31,19,4.8,0,13.2
"94",4807,1983,3,1,8.2,-0.8,9.8,18.8
"95",4808,1983,3,2,9.6,3,8.4,15
"96",4809,1983,3,3,8.6,2.8,9.4,15.2
"97",4810,1983,3,4,8.6,-2.5,9.4,20.5
"98",4811,1983,3,5,8.8,-5.6,9.2,23.6
"99",4812,1983,3,6,10.9,-3.4,7.1,21.4
"100",4813,1983,3,7,7.4,-4.6,10.6,22.6
"101",4814,1983,3,8,9.6,-4.4,8.4,22.4
"102",4815,1983,3,9,10.4,-0.2,7.6,18.2
"103",4816,1983,3,10,12.2,0.6,5.8,17.4
"104",4817,1983,3,11,15.2,-3.6,2.8,21.6
"105",4818,1983,3,12,17,-0.8,1,18.8
"106",4819,1983,3,13,6.6,0.3,11.4,17.7
"107",4820,1983,3,14,9,-4.4,9,22.4
"108",4821,1983,3,15,13.4,-5.2,4.6,23.2
"109",4822,1983,3,16,16,-2,2,20
"110",4823,1983,3,17,5.4,-1.2,12.6,19.2
"111",4824,1983,3,18,11,-4.8,7,22.8
"112",4825,1983,3,19,15.8,-4,2.2,22
"113",4826,1983,3,20,16,0.8,2,17.2
"114",4827,1983,3,21,22.8,8,0,10
"115",4828,1983,3,22,22.4,5.2,0,12.8
"116",4829,1983,3,23,13.9,9.4,4.1,8.6
"117",4830,1983,3,24,10,5.4,8,12.6
"118",4831,1983,3,25,15.3,4.8,2.7,13.2
"119",4832,1983,3,26,16.2,5,1.8,13
"120",4833,1983,3,27,16.2,4,1.8,14
"121",4834,1983,3,28,19,0.8,0,17.2
"122",4835,1983,3,29,18.2,6,0,12
"123",4836,1983,3,30,18.3,6.6,0,11.4
"124",4837,1983,3,31,15.8,5,2.2,13
"125",5173,1984,3,1,5.7,-9.8,12.3,27.8
"126",5174,1984,3,2,5.4,-3.4,12.6,21.4
"127",5175,1984,3,3,3.2,-5.2,14.8,23.2
"128",5176,1984,3,4,4,-7.2,14,25.2
"129",5177,1984,3,5,7,-8.5,11,26.5
"130",5178,1984,3,6,6.5,-3.8,11.5,21.8
"131",5179,1984,3,7,5.9,-6.8,12.1,24.8
"132",5180,1984,3,8,9,-7.2,9,25.2
"133",5181,1984,3,9,11.7,-2.8,6.3,20.8
"134",5182,1984,3,10,4.7,-4.4,13.3,22.4
"135",5183,1984,3,11,9.8,-8,8.2,26
"136",5184,1984,3,12,13.2,-0.2,4.8,18.2
"137",5185,1984,3,13,10.8,-1.2,7.2,19.2
"138",5186,1984,3,14,13.6,1.5,4.4,16.5
"139",5187,1984,3,15,6.7,1,11.3,17
"140",5188,1984,3,16,10.2,0.5,7.8,17.5
"141",5189,1984,3,17,10.4,-3,7.6,21
"142",5190,1984,3,18,15.2,-5.5,2.8,23.5
"143",5191,1984,3,19,11.6,0.4,6.4,17.6
"144",5192,1984,3,20,11.1,-4,6.9,22
"145",5193,1984,3,21,7.3,-3,10.7,21
"146",5194,1984,3,22,11.1,-5,6.9,23
"147",5195,1984,3,23,14.7,-5,3.3,23
"148",5196,1984,3,24,10.8,-2,7.2,20
"149",5197,1984,3,25,13.2,-6,4.8,24
"150",5198,1984,3,26,16,-4.6,2,22.6
"151",5199,1984,3,27,15.2,-3.8,2.8,21.8
"152",5200,1984,3,28,16.2,-2.2,1.8,20.2
"153",5201,1984,3,29,19.9,0,0,18
"154",5202,1984,3,30,21.8,6,0,12
"155",5203,1984,3,31,12,7,6,11
"156",5538,1985,3,1,11,1.6,7,16.4
"157",5539,1985,3,2,7.4,3.4,10.6,14.6
"158",5540,1985,3,3,12,0.5,6,17.5
"159",5541,1985,3,4,10.8,-1.8,7.2,19.8
