"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",5904,1980,3,1,7.6,-1.4,10.4,19.4
"2",5905,1980,3,2,9,-5.2,9,23.2
"3",5906,1980,3,3,10.7,-3.2,7.3,21.2
"4",5907,1980,3,4,11.1,-1.8,6.9,19.8
"5",5908,1980,3,5,10.9,-2.4,7.1,20.4
"6",5909,1980,3,6,11.7,-5.2,6.3,23.2
"7",5910,1980,3,7,12.6,2.1,5.4,15.9
"8",5911,1980,3,8,16.4,-1.9,1.6,19.9
"9",5912,1980,3,9,11,2.6,7,15.4
"10",5913,1980,3,10,7.6,0.5,10.4,17.5
"11",5914,1980,3,11,5.9,-2.9,12.1,20.9
"12",5915,1980,3,12,7.3,-4,10.7,22
"13",5916,1980,3,13,10.9,-4.8,7.1,22.8
"14",5917,1980,3,14,6.8,-0.2,11.2,18.2
"15",5918,1980,3,15,7.4,-4.9,10.6,22.9
"16",5919,1980,3,16,10.1,-1.8,7.9,19.8
"17",5920,1980,3,17,11.3,-2,6.7,20
"18",5921,1980,3,18,11,-0.8,7,18.8
"19",5922,1980,3,19,12.4,-0.6,5.6,18.6
"20",5923,1980,3,20,9.7,1.2,8.3,16.8
"21",5924,1980,3,21,12.6,-2.4,5.4,20.4
"22",5925,1980,3,22,8,1.2,10,16.8
"23",5926,1980,3,23,4.6,-1.6,13.4,19.6
"24",5927,1980,3,24,6.6,-4.7,11.4,22.7
"25",5928,1980,3,25,8.7,-1.6,9.3,19.6
"26",5929,1980,3,26,8.1,1.1,9.9,16.9
"27",5930,1980,3,27,13.7,-3.1,4.3,21.1
"28",5931,1980,3,28,14.7,-2.6,3.3,20.6
"29",5932,1980,3,29,15.2,2.6,2.8,15.4
"30",5933,1980,3,30,17.6,-0.6,0.399999999999999,18.6
"31",5934,1980,3,31,9.6,3,8.4,15
"32",6269,1981,3,1,4.9,-6,13.1,24
"33",6270,1981,3,2,7.8,-6.2,10.2,24.2
"34",6271,1981,3,3,7.7,-3.1,10.3,21.1
"35",6272,1981,3,4,7,-2.5,11,20.5
"36",6273,1981,3,5,7.7,-5.2,10.3,23.2
"37",6274,1981,3,6,3.6,-4.9,14.4,22.9
"38",6275,1981,3,7,9.5,-1.8,8.5,19.8
"39",6276,1981,3,8,10,-3.2,8,21.2
"40",6277,1981,3,9,4.7,-2.6,13.3,20.6
"41",6278,1981,3,10,7.3,-5.6,10.7,23.6
"42",6279,1981,3,11,12.9,-3.9,5.1,21.9
"43",6280,1981,3,12,17.6,-3.1,0.399999999999999,21.1
"44",6281,1981,3,13,20.7,0,0,18
"45",6282,1981,3,14,11.9,2.8,6.1,15.2
"46",6283,1981,3,15,6,-0.2,12,18.2
"47",6284,1981,3,16,7.9,-2.3,10.1,20.3
"48",6285,1981,3,17,14.1,-0.7,3.9,18.7
"49",6286,1981,3,18,14.9,-0.9,3.1,18.9
"50",6287,1981,3,19,18.6,-1.6,0,19.6
"51",6288,1981,3,20,18.5,-1.2,0,19.2
"52",6289,1981,3,21,19.3,0.3,0,17.7
"53",6290,1981,3,22,15.8,2.4,2.2,15.6
"54",6291,1981,3,23,18.8,0.1,0,17.9
"55",6292,1981,3,24,9.1,6.3,8.9,11.7
"56",6293,1981,3,25,8.4,2.5,9.6,15.5
"57",6294,1981,3,26,3.3,0,14.7,18
"58",6295,1981,3,27,8.2,-2.7,9.8,20.7
