"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3104,1980,3,1,7.4,-0.9,10.6,18.9
"2",3105,1980,3,2,8.6,-6.3,9.4,24.3
"3",3106,1980,3,3,10.4,-4.3,7.6,22.3
"4",3107,1980,3,4,12.2,-2.4,5.8,20.4
"5",3108,1980,3,5,11.3,-0.3,6.7,18.3
"6",3109,1980,3,6,12.1,-4.8,5.9,22.8
"7",3110,1980,3,7,11.8,-0.1,6.2,18.1
"8",3111,1980,3,8,17.2,-2.9,0.800000000000001,20.9
"9",3112,1980,3,9,8.6,1.9,9.4,16.1
"10",3113,1980,3,10,9.4,-1.3,8.6,19.3
"11",3114,1980,3,11,7.7,-4.7,10.3,22.7
"12",3115,1980,3,12,8.6,-5.1,9.4,23.1
"13",3116,1980,3,13,11.4,-5.2,6.6,23.2
"14",3117,1980,3,14,7,-1,11,19
"15",3118,1980,3,15,8.1,-5.4,9.9,23.4
"16",3119,1980,3,16,10.4,-2.9,7.6,20.9
"17",3120,1980,3,17,11.9,-3.1,6.1,21.1
"18",3121,1980,3,18,11.4,-1.8,6.6,19.8
"19",3122,1980,3,19,13.4,-2.6,4.6,20.6
"20",3123,1980,3,20,10.6,0.3,7.4,17.7
"21",3124,1980,3,21,12.1,-3.2,5.9,21.2
"22",3125,1980,3,22,6.6,0.8,11.4,17.2
"23",3126,1980,3,23,5.2,-0.9,12.8,18.9
"24",3127,1980,3,24,7.3,-5.8,10.7,23.8
"25",3128,1980,3,25,9.3,-3.1,8.7,21.1
"26",3129,1980,3,26,9.9,-1.1,8.1,19.1
"27",3130,1980,3,27,14.3,-5.4,3.7,23.4
"28",3131,1980,3,28,16.1,-3.6,1.9,21.6
"29",3132,1980,3,29,16.7,2.8,1.3,15.2
"30",3133,1980,3,30,18.8,-1.8,0,19.8
"31",3134,1980,3,31,10.7,4.6,7.3,13.4
"32",3469,1981,3,1,5.4,-8.1,12.6,26.1
"33",3470,1981,3,2,7.5,-7.2,10.5,25.2
"34",3471,1981,3,3,8.4,-3.5,9.6,21.5
"35",3472,1981,3,4,6.9,-3.6,11.1,21.6
"36",3473,1981,3,5,6.4,-5.1,11.6,23.1
"37",3474,1981,3,6,3.5,-4.5,14.5,22.5
"38",3475,1981,3,7,9.4,-1.6,8.6,19.6
"39",3476,1981,3,8,9.4,-4.3,8.6,22.3
"40",3477,1981,3,9,2.1,-4.9,15.9,22.9
"41",3478,1981,3,10,7.1,-8.4,10.9,26.4
"42",3479,1981,3,11,10.7,-5.2,7.3,23.2
"43",3480,1981,3,12,16.7,-4,1.3,22
"44",3481,1981,3,13,20.5,-2.6,0,20.6
"45",3482,1981,3,14,10.3,2.5,7.7,15.5
"46",3483,1981,3,15,5.7,-2.2,12.3,20.2
"47",3484,1981,3,16,9.9,-4.4,8.1,22.4
"48",3485,1981,3,17,14.3,-1.1,3.7,19.1
"49",3486,1981,3,18,17,-2.2,1,20.2
"50",3487,1981,3,19,20.9,-1.8,0,19.8
"51",3488,1981,3,20,18.8,-0.6,0,18.6
"52",3489,1981,3,21,21.1,-0.8,0,18.8
"53",3490,1981,3,22,18,3.6,0,14.4
"54",3491,1981,3,23,18.3,0.9,0,17.1
"55",3492,1981,3,24,9.9,5.2,8.1,12.8
"56",3493,1981,3,25,8.4,3.2,9.6,14.8
"57",3494,1981,3,26,3.1,-1,14.9,19
"58",3495,1981,3,27,8.4,-1.7,9.6,19.7
"59",3496,1981,3,28,14.5,-0.4,3.5,18.4
"60",3497,1981,3,29,15,-0.1,3,18.1
"61",3498,1981,3,30,16,-1.2,2,19.2
"62",3499,1981,3,31,18.4,1.8,0,16.2
"63",3834,1982,3,1,5.8,-0.1,12.2,18.1
"64",3835,1982,3,2,7.2,-5,10.8,23
"65",3836,1982,3,3,8.8,-6.1,9.2,24.1
"66",3837,1982,3,4,4.9,-2.5,13.1,20.5
"67",3838,1982,3,5,10.8,-1,7.2,19
"68",3839,1982,3,6,3.6,-4.5,14.4,22.5
"69",3840,1982,3,7,2.2,-8.6,15.8,26.6
"70",3841,1982,3,8,6.5,-7.2,11.5,25.2
"71",3842,1982,3,9,10.5,-2.2,7.5,20.2
"72",3843,1982,3,10,12.8,-3.2,5.2,21.2
"73",3844,1982,3,11,15.6,2.8,2.4,15.2
"74",3845,1982,3,12,16.5,1.3,1.5,16.7
"75",3846,1982,3,13,17,-2.7,1,20.7
"76",3847,1982,3,14,14.9,-0.3,3.1,18.3
"77",3848,1982,3,15,11.9,3.7,6.1,14.3
"78",3849,1982,3,16,7.6,-0.4,10.4,18.4
"79",3850,1982,3,17,5,-1.1,13,19.1
"80",3851,1982,3,18,12.1,-2,5.9,20
"81",3852,1982,3,19,12.5,-1.2,5.5,19.2
"82",3853,1982,3,20,17.7,0.6,0.300000000000001,17.4
"83",3854,1982,3,21,15.3,1.2,2.7,16.8
"84",3855,1982,3,22,19.8,-1.1,0,19.1
"85",3856,1982,3,23,16.6,2.8,1.4,15.2
"86",3857,1982,3,24,10.5,-1.4,7.5,19.4
"87",3858,1982,3,25,8.9,-5.8,9.1,23.8
"88",3859,1982,3,26,10.6,-6.2,7.4,24.2
"89",3860,1982,3,27,13.8,-5.5,4.2,23.5
"90",3861,1982,3,28,14.5,-2.4,3.5,20.4
"91",3862,1982,3,29,17.1,-2.8,0.899999999999999,20.8
"92",3863,1982,3,30,6.3,2.3,11.7,15.7
"93",3864,1982,3,31,15.7,2.1,2.3,15.9
"94",4199,1983,3,1,7.1,-3.3,10.9,21.3
"95",4200,1983,3,2,5.8,2,12.2,16
"96",4201,1983,3,3,4.6,0.1,13.4,17.9
"97",4202,1983,3,4,5.1,-3,12.9,21
"98",4203,1983,3,5,5.7,-6.3,12.3,24.3
"99",4204,1983,3,6,7.7,-2.2,10.3,20.2
"100",4205,1983,3,7,5.2,-4.8,12.8,22.8
"101",4206,1983,3,8,6.4,-8.4,11.6,26.4
"102",4207,1983,3,9,8.9,-2.2,9.1,20.2
"103",4208,1983,3,10,10.6,1.8,7.4,16.2
"104",4209,1983,3,11,12.7,-1.7,5.3,19.7
"105",4210,1983,3,12,13.1,-2.6,4.9,20.6
"106",4211,1983,3,13,1,-4.6,17,22.6
"107",4212,1983,3,14,5.6,-10,12.4,28
"108",4213,1983,3,15,10,-5.7,8,23.7
"109",4214,1983,3,16,13.4,-4.6,4.6,22.6
"110",4215,1983,3,17,4,-2.4,14,20.4
"111",4216,1983,3,18,9.5,-6,8.5,24
"112",4217,1983,3,19,13.3,-3.9,4.7,21.9
"113",4218,1983,3,20,15.4,-2.2,2.6,20.2
"114",4219,1983,3,21,20.2,1.7,0,16.3
"115",4220,1983,3,22,21,0.9,0,17.1
"116",4221,1983,3,23,10.3,4.4,7.7,13.6
"117",4222,1983,3,24,12.6,2.7,5.4,15.3
"118",4223,1983,3,25,15,-2.6,3,20.6
"119",4224,1983,3,26,15.7,-0.2,2.3,18.2
"120",4225,1983,3,27,13.4,3.2,4.6,14.8
"121",4226,1983,3,28,17.9,-2,0.100000000000001,20
"122",4227,1983,3,29,17.8,-1.4,0.199999999999999,19.4
"123",4228,1983,3,30,18.7,-2.9,0,20.9
"124",4229,1983,3,31,16.2,-3.1,1.8,21.1
"125",4565,1984,3,1,2.7,-7.9,15.3,25.9
"126",4566,1984,3,2,1.5,-3.7,16.5,21.7
"127",4567,1984,3,3,-0.5,-10,18.5,28
"128",4568,1984,3,4,0.3,-12.3,17.7,30.3
"129",4569,1984,3,5,2.4,-10.6,15.6,28.6
"130",4570,1984,3,6,3.9,-7.2,14.1,25.2
"131",4571,1984,3,7,4.3,-7.3,13.7,25.3
"132",4572,1984,3,8,7,-6.2,11,24.2
"133",4573,1984,3,9,7.9,-5.6,10.1,23.6
"134",4574,1984,3,10,1.7,-4.2,16.3,22.2
"135",4575,1984,3,11,6.9,-7.1,11.1,25.1
"136",4576,1984,3,12,6.6,-3.2,11.4,21.2
"137",4577,1984,3,13,6.5,-4.2,11.5,22.2
"138",4578,1984,3,14,11.2,-3.1,6.8,21.1
"139",4579,1984,3,15,10.1,-1.9,7.9,19.9
"140",4580,1984,3,16,8.1,0,9.9,18
