"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3339,1980,3,1,9.6,-0.2,8.4,18.2
"2",3340,1980,3,2,12.9,-2,5.1,20
"3",3341,1980,3,3,12.4,1,5.6,17
"4",3342,1980,3,4,12,2.2,6,15.8
"5",3343,1980,3,5,8.6,2.8,9.4,15.2
"6",3344,1980,3,6,14.3,0.4,3.7,17.6
"7",3345,1980,3,7,17.1,4.3,0.899999999999999,13.7
"8",3346,1980,3,8,13.2,2.1,4.8,15.9
"9",3347,1980,3,9,11,5.3,7,12.7
"10",3348,1980,3,10,11.7,2.4,6.3,15.6
"11",3349,1980,3,11,10.2,-0.4,7.8,18.4
"12",3350,1980,3,12,14.3,-2.4,3.7,20.4
"13",3351,1980,3,13,14.9,1.2,3.1,16.8
"14",3352,1980,3,14,8.2,0.4,9.8,17.6
"15",3353,1980,3,15,11.4,-1.2,6.6,19.2
"16",3354,1980,3,16,14.5,-1.6,3.5,19.6
"17",3355,1980,3,17,18.5,0.2,0,17.8
"18",3356,1980,3,18,12.7,0.8,5.3,17.2
"19",3357,1980,3,19,15.5,-0.9,2.5,18.9
"20",3358,1980,3,20,16.1,-1.3,1.9,19.3
"21",3359,1980,3,21,11,3.4,7,14.6
"22",3360,1980,3,22,7.2,1.8,10.8,16.2
"23",3361,1980,3,23,5.4,0.2,12.6,17.8
"24",3362,1980,3,24,9.6,-1,8.4,19
"25",3363,1980,3,25,11,-2.6,7,20.6
"26",3364,1980,3,26,12.6,-0.8,5.4,18.8
"27",3365,1980,3,27,15.2,-3,2.8,21
"28",3366,1980,3,28,16.8,-2.7,1.2,20.7
"29",3367,1980,3,29,11.8,6.5,6.2,11.5
"30",3368,1980,3,30,20.3,1.6,0,16.4
"31",3369,1980,3,31,10.7,5.8,7.3,12.2
"32",3704,1981,3,1,6.9,-2.2,11.1,20.2
"33",3705,1981,3,2,11.2,-5,6.8,23
"34",3706,1981,3,3,7.5,-0.8,10.5,18.8
"35",3707,1981,3,4,10.4,0.4,7.6,17.6
"36",3708,1981,3,5,12.4,-2.6,5.6,20.6
"37",3709,1981,3,6,8.4,-4.1,9.6,22.1
"38",3710,1981,3,7,13.6,-6.6,4.4,24.6
"39",3711,1981,3,8,14.1,-2.6,3.9,20.6
"40",3712,1981,3,9,8.4,1,9.6,17
"41",3713,1981,3,10,12.4,-1.4,5.6,19.4
"42",3714,1981,3,11,12.1,-4,5.9,22
"43",3715,1981,3,12,13.3,-3,4.7,21
"44",3716,1981,3,13,14.9,9.8,3.1,8.2
"45",3717,1981,3,14,11.7,4.4,6.3,13.6
"46",3718,1981,3,15,8,0.4,10,17.6
"47",3719,1981,3,16,12.9,-2.2,5.1,20.2
"48",3720,1981,3,17,15.9,-3.9,2.1,21.9
"49",3721,1981,3,18,21.7,-1.9,0,19.9
"50",3722,1981,3,19,20.7,3.7,0,14.3
"51",3723,1981,3,20,22.5,-0.9,0,18.9
"52",3724,1981,3,21,22.4,2.8,0,15.2
"53",3725,1981,3,22,23.7,1.1,0,16.9
"54",3726,1981,3,23,14.9,0.2,3.1,17.8
"55",3727,1981,3,24,13,7.1,5,10.9
"56",3728,1981,3,25,11,5.9,7,12.1
"57",3729,1981,3,26,8.2,2.1,9.8,15.9
"58",3730,1981,3,27,14.1,0.3,3.9,17.7
"59",3731,1981,3,28,15.3,4.4,2.7,13.6
"60",3732,1981,3,29,17.9,2.7,0.100000000000001,15.3
"61",3733,1981,3,30,15.7,4.3,2.3,13.7
"62",3734,1981,3,31,16.7,4,1.3,14
"63",4069,1982,3,1,8.4,0,9.6,18
"64",4070,1982,3,2,11.6,-4,6.4,22
"65",4071,1982,3,3,12,-6.2,6,24.2
"66",4072,1982,3,4,13.3,0.8,4.7,17.2
"67",4073,1982,3,5,12,2.8,6,15.2
"68",4074,1982,3,6,8,-0.8,10,18.8
"69",4075,1982,3,7,6.4,-2.6,11.6,20.6
"70",4076,1982,3,8,10,-5.7,8,23.7
"71",4077,1982,3,9,14,-3,4,21
"72",4078,1982,3,10,16.1,-4,1.9,22
"73",4079,1982,3,11,17.5,-2.8,0.5,20.8
"74",4080,1982,3,12,14.1,3.5,3.9,14.5
"75",4081,1982,3,13,20.1,-0.5,0,18.5
"76",4082,1982,3,14,13.6,6.1,4.4,11.9
"77",4083,1982,3,15,14.9,5.4,3.1,12.6
"78",4084,1982,3,16,12.5,1.3,5.5,16.7
"79",4085,1982,3,17,10.6,0,7.4,18
"80",4086,1982,3,18,15.5,1,2.5,17
"81",4087,1982,3,19,11.6,3.7,6.4,14.3
"82",4088,1982,3,20,18.1,6,0,12
"83",4089,1982,3,21,17.3,3.4,0.699999999999999,14.6
