"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3135,1980,8,1,24.8,15.8,4.8,2.2
"2",3136,1980,8,2,26.3,15.4,6.3,2.6
"3",3137,1980,8,3,26,18.1,6,0
"4",3138,1980,8,4,23.1,21.2,3.1,1.2
"5",3139,1980,8,5,22.2,19.9,2.2,0
"6",3140,1980,8,6,25.5,20,5.5,0
"7",3141,1980,8,7,22.2,18.9,2.2,0
"8",3142,1980,8,8,21.4,18.6,1.4,0
"9",3143,1980,8,9,24.3,18.4,4.3,0
"10",3144,1980,8,10,26.7,19.3,6.7,0
"11",3145,1980,8,11,26,19.2,6,0
"12",3146,1980,8,12,25,20.7,5,0.699999999999999
"13",3147,1980,8,13,27,22.1,7,2.1
"14",3148,1980,8,14,26.7,22.7,6.7,2.7
"15",3149,1980,8,15,22.7,20.4,2.7,0.399999999999999
"16",3150,1980,8,16,24,20.6,4,0.600000000000001
"17",3151,1980,8,17,24.4,20.1,4.4,0.100000000000001
"18",3152,1980,8,18,23.3,19.9,3.3,0
"19",3153,1980,8,19,28.3,19.6,8.3,0
"20",3154,1980,8,20,28.6,21.5,8.6,1.5
"21",3155,1980,8,21,26.2,22.1,6.2,2.1
"22",3156,1980,8,22,25.6,21.5,5.6,1.5
"23",3157,1980,8,23,30.2,19.8,10.2,0
"24",3158,1980,8,24,28.2,19,8.2,0
"25",3159,1980,8,25,27,18.8,7,0
"26",3160,1980,8,26,28.5,23.1,8.5,3.1
"27",3161,1980,8,27,26.2,21.9,6.2,1.9
"28",3162,1980,8,28,23.1,19,3.1,0
"29",3163,1980,8,29,21.5,19.7,1.5,0
"30",3164,1980,8,30,21.9,20.5,1.9,0.5
"31",3165,1980,8,31,26.4,20.5,6.4,0.5
"32",3500,1981,8,1,31.1,25,11.1,5
"33",3501,1981,8,2,31,23.7,11,3.7
"34",3502,1981,8,3,30.3,25.5,10.3,5.5
"35",3503,1981,8,4,28.2,19.8,8.2,0
"36",3504,1981,8,5,25.6,18.1,5.6,0
"37",3505,1981,8,6,27.4,17.2,7.4,0.800000000000001
"38",3506,1981,8,7,27.9,21.6,7.9,1.6
"39",3507,1981,8,8,31.2,22.3,11.2,2.3
"40",3508,1981,8,9,31.2,25.5,11.2,5.5
"41",3509,1981,8,10,29,22.6,9,2.6
"42",3510,1981,8,11,26.5,20.9,6.5,0.899999999999999
"43",3511,1981,8,12,30.8,20.2,10.8,0.199999999999999
"44",3512,1981,8,13,27.4,21.7,7.4,1.7
"45",3513,1981,8,14,28.3,17.9,8.3,0.100000000000001
"46",3514,1981,8,15,27.5,19.6,7.5,0
"47",3515,1981,8,16,29.9,19.5,9.9,0
"48",3516,1981,8,17,29.5,20.2,9.5,0.199999999999999
"49",3517,1981,8,18,28.2,23.6,8.2,3.6
"50",3518,1981,8,19,25.3,23.4,5.3,3.4
"51",3519,1981,8,20,29.7,22.8,9.7,2.8
"52",3520,1981,8,21,30.5,22.6,10.5,2.6
"53",3521,1981,8,22,30.5,20.4,10.5,0.399999999999999
"54",3522,1981,8,23,30.4,18.1,10.4,0
"55",3523,1981,8,24,29.5,19.4,9.5,0
"56",3524,1981,8,25,28.8,22.4,8.8,2.4
"57",3525,1981,8,26,28.8,23,8.8,3
"58",3526,1981,8,27,29.6,19.5,9.6,0
"59",3527,1981,8,28,27.5,17.5,7.5,0.5
"60",3528,1981,8,29,28,22.2,8,2.2
"61",3529,1981,8,30,30.2,24.1,10.2,4.1
"62",3530,1981,8,31,29.3,22.7,9.3,2.7
"63",3865,1982,8,1,28.5,19.9,8.5,0
"64",3866,1982,8,2,28.7,18.2,8.7,0
"65",3867,1982,8,3,30.5,18.4,10.5,0
"66",3868,1982,8,4,31.8,20.9,11.8,0.899999999999999
"67",3869,1982,8,5,29.2,24,9.2,4
"68",3870,1982,8,6,31.1,26.6,11.1,6.6
"69",3871,1982,8,7,32.2,25.4,12.2,5.4
"70",3872,1982,8,8,32.5,23.9,12.5,3.9
"71",3873,1982,8,9,32,23.9,12,3.9
"72",3874,1982,8,10,32,22.8,12,2.8
"73",3875,1982,8,11,32.3,22,12.3,2
"74",3876,1982,8,12,28.4,24.4,8.4,4.4
"75",3877,1982,8,13,26.9,25.5,6.9,5.5
"76",3878,1982,8,14,28.3,25.8,8.3,5.8
"77",3879,1982,8,15,27.7,25.6,7.7,5.6
"78",3880,1982,8,16,30,25.2,10,5.2
"79",3881,1982,8,17,31,23.8,11,3.8
"80",3882,1982,8,18,31.7,24.3,11.7,4.3
"81",3883,1982,8,19,31.1,23.2,11.1,3.2
"82",3884,1982,8,20,30.5,23.4,10.5,3.4
"83",3885,1982,8,21,26.8,22.2,6.8,2.2
"84",3886,1982,8,22,24.4,21.6,4.4,1.6
"85",3887,1982,8,23,24,21.1,4,1.1
"86",3888,1982,8,24,23.5,20.3,3.5,0.300000000000001
"87",3889,1982,8,25,26.9,22.6,6.9,2.6
"88",3890,1982,8,26,27.7,22.9,7.7,2.9
"89",3891,1982,8,27,26.9,23.3,6.9,3.3
"90",3892,1982,8,28,27.2,23.6,7.2,3.6
"91",3893,1982,8,29,29,19.8,9,0
"92",3894,1982,8,30,30.8,16.6,10.8,1.4
"93",3895,1982,8,31,30.4,16.7,10.4,1.3
"94",4230,1983,8,1,33.4,26.1,13.4,6.1
"95",4231,1983,8,2,33.8,25.1,13.8,5.1
"96",4232,1983,8,3,35.4,24.9,15.4,4.9
"97",4233,1983,8,4,37.4,24.4,17.4,4.4
"98",4234,1983,8,5,36.1,23.6,16.1,3.6
"99",4235,1983,8,6,33.9,21.7,13.9,1.7
"100",4236,1983,8,7,32.9,21.6,12.9,1.6
"101",4237,1983,8,8,31.9,24.7,11.9,4.7
"102",4238,1983,8,9,29.3,23.2,9.3,3.2
"103",4239,1983,8,10,32.7,23.2,12.7,3.2
"104",4240,1983,8,11,28.4,24.6,8.4,4.6
"105",4241,1983,8,12,30.3,24,10.3,4
"106",4242,1983,8,13,30.8,24.2,10.8,4.2
"107",4243,1983,8,14,31.2,24.7,11.2,4.7
"108",4244,1983,8,15,32.9,23.6,12.9,3.6
"109",4245,1983,8,16,28.7,22.8,8.7,2.8
"110",4246,1983,8,17,31.9,24.7,11.9,4.7
"111",4247,1983,8,18,29.5,23.7,9.5,3.7
"112",4248,1983,8,19,30.1,20,10.1,0
"113",4249,1983,8,20,28.4,18.3,8.4,0
"114",4250,1983,8,21,29.3,19.5,9.3,0
"115",4251,1983,8,22,28,19.5,8,0
"116",4252,1983,8,23,27.1,21.7,7.1,1.7
"117",4253,1983,8,24,26.5,22.4,6.5,2.4
"118",4254,1983,8,25,26.4,23.2,6.4,3.2
"119",4255,1983,8,26,26.3,23.2,6.3,3.2
"120",4256,1983,8,27,27.1,25.5,7.1,5.5
"121",4257,1983,8,28,28,24,8,4
"122",4258,1983,8,29,30.7,23.2,10.7,3.2
"123",4259,1983,8,30,29.6,25.6,9.6,5.6
"124",4260,1983,8,31,30,22.1,10,2.1
"125",4596,1984,8,1,32.7,24.6,12.7,4.6
"126",4597,1984,8,2,29.7,24.9,9.7,4.9
"127",4598,1984,8,3,32.2,25.2,12.2,5.2
"128",4599,1984,8,4,31.2,23.5,11.2,3.5
"129",4600,1984,8,5,32,24.5,12,4.5
"130",4601,1984,8,6,32.5,24.1,12.5,4.1
"131",4602,1984,8,7,30.6,23,10.6,3
"132",4603,1984,8,8,33.5,24,13.5,4
"133",4604,1984,8,9,35.1,24.3,15.1,4.3
"134",4605,1984,8,10,34.6,22.5,14.6,2.5
"135",4606,1984,8,11,35.9,22.6,15.9,2.6
"136",4607,1984,8,12,35.9,24.4,15.9,4.4
"137",4608,1984,8,13,32.7,24.4,12.7,4.4
"138",4609,1984,8,14,31.4,23.6,11.4,3.6
"139",4610,1984,8,15,30.5,22.2,10.5,2.2
"140",4611,1984,8,16,28.2,23.8,8.2,3.8
"141",4612,1984,8,17,31.4,26.3,11.4,6.3
"142",4613,1984,8,18,31.9,25.5,11.9,5.5
"143",4614,1984,8,19,31.5,26.8,11.5,6.8
"144",4615,1984,8,20,29.9,26.7,9.9,6.7
"145",4616,1984,8,21,28,25.1,8,5.1
"146",4617,1984,8,22,32.1,24.4,12.1,4.4
"147",4618,1984,8,23,31.5,20.7,11.5,0.699999999999999
"148",4619,1984,8,24,29.7,25,9.7,5
"149",4620,1984,8,25,30.9,25,10.9,5
"150",4621,1984,8,26,26.3,23.8,6.3,3.8
"151",4622,1984,8,27,28,23.7,8,3.7
"152",4623,1984,8,28,30.7,25.1,10.7,5.1
"153",4624,1984,8,29,31.6,23.3,11.6,3.3
"154",4625,1984,8,30,31,22.9,11,2.9
"155",4626,1984,8,31,29.8,25.3,9.8,5.3
"156",4961,1985,8,1,32.2,24.2,12.2,4.2
"157",4962,1985,8,2,29.5,26,9.5,6
"158",4963,1985,8,3,31.1,25,11.1,5
"159",4964,1985,8,4,34.1,23.8,14.1,3.8
"160",4965,1985,8,5,34.7,23.6,14.7,3.6
"161",4966,1985,8,6,33.4,22.8,13.4,2.8
"162",4967,1985,8,7,34.6,23.3,14.6,3.3
"163",4968,1985,8,8,32.1,24.9,12.1,4.9
"164",4969,1985,8,9,30.8,25.4,10.8,5.4
"165",4970,1985,8,10,27.8,24.3,7.8,4.3
"166",4971,1985,8,11,32,22.4,12,2.4
"167",4972,1985,8,12,27.7,23.4,7.7,3.4
"168",4973,1985,8,13,31,25.8,11,5.8
"169",4974,1985,8,14,28,25.8,8,5.8
"170",4975,1985,8,15,29.6,23.8,9.6,3.8
"171",4976,1985,8,16,27,23.8,7,3.8
"172",4977,1985,8,17,30.2,24.8,10.2,4.8
"173",4978,1985,8,18,32.7,25.3,12.7,5.3
"174",4979,1985,8,19,31.6,24.1,11.6,4.1
"175",4980,1985,8,20,31.2,25.4,11.2,5.4
"176",4981,1985,8,21,31,26,11,6
"177",4982,1985,8,22,31.8,27,11.8,7
"178",4983,1985,8,23,31.2,25.1,11.2,5.1
"179",4984,1985,8,24,31.9,22.8,11.9,2.8
"180",4985,1985,8,25,32.2,22.4,12.2,2.4
"181",4986,1985,8,26,32.7,23,12.7,3
"182",4987,1985,8,27,32.7,22.7,12.7,2.7
"183",4988,1985,8,28,33.7,23.2,13.7,3.2
"184",4989,1985,8,29,31.1,23.6,11.1,3.6
"185",4990,1985,8,30,29.7,24,9.7,4
"186",4991,1985,8,31,28,25.5,8,5.5
"187",5326,1986,8,1,33.5,23.1,13.5,3.1
"188",5327,1986,8,2,33.5,24,13.5,4
"189",5328,1986,8,3,32.3,22.4,12.3,2.4
"190",5329,1986,8,4,32.3,22.9,12.3,2.9
"191",5330,1986,8,5,30.7,22.9,10.7,2.9
"192",5331,1986,8,6,30.6,21.2,10.6,1.2
"193",5332,1986,8,7,30.7,20.2,10.7,0.199999999999999
"194",5333,1986,8,8,31,20.5,11,0.5
"195",5334,1986,8,9,31.7,21.7,11.7,1.7
