"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3135,1980,8,1,27.6,15.4,7.6,2.6
"2",3136,1980,8,2,26.9,14.9,6.9,3.1
"3",3137,1980,8,3,25.1,16,5.1,2
"4",3138,1980,8,4,25,14.9,5,3.1
"5",3139,1980,8,5,24.6,17.3,4.6,0.699999999999999
"6",3140,1980,8,6,26,17.7,6,0.300000000000001
"7",3141,1980,8,7,22.8,16.9,2.8,1.1
"8",3142,1980,8,8,22,17.8,2,0.199999999999999
"9",3143,1980,8,9,25.8,18.1,5.8,0
"10",3144,1980,8,10,27.3,18.3,7.3,0
"11",3145,1980,8,11,29.2,18.9,9.2,0
"12",3146,1980,8,12,27.4,20.6,7.4,0.600000000000001
"13",3147,1980,8,13,25.4,20.4,5.4,0.399999999999999
"14",3148,1980,8,14,23.8,20.9,3.8,0.899999999999999
"15",3149,1980,8,15,24.8,19.8,4.8,0
"16",3150,1980,8,16,26.6,19.5,6.6,0
"17",3151,1980,8,17,26.2,19.6,6.2,0
"18",3152,1980,8,18,27.2,20,7.2,0
"19",3153,1980,8,19,27.6,18.8,7.6,0
"20",3154,1980,8,20,26.1,20.8,6.1,0.800000000000001
"21",3155,1980,8,21,25.2,20.1,5.2,0.100000000000001
"22",3156,1980,8,22,28,18.7,8,0
"23",3157,1980,8,23,28.4,19.7,8.4,0
"24",3158,1980,8,24,28.2,18.3,8.2,0
"25",3159,1980,8,25,22.4,18.4,2.4,0
"26",3160,1980,8,26,27.3,19.8,7.3,0
"27",3161,1980,8,27,27.2,20,7.2,0
"28",3162,1980,8,28,26.2,19,6.2,0
"29",3163,1980,8,29,23.1,18.6,3.1,0
"30",3164,1980,8,30,22.4,18.6,2.4,0
"31",3165,1980,8,31,28.2,17,8.2,1
"32",3500,1981,8,1,30.4,24.4,10.4,4.4
"33",3501,1981,8,2,31.9,23.2,11.9,3.2
"34",3502,1981,8,3,29,23.9,9,3.9
"35",3503,1981,8,4,28.4,21.6,8.4,1.6
"36",3504,1981,8,5,28.2,15.5,8.2,2.5
"37",3505,1981,8,6,27.6,16.8,7.6,1.2
"38",3506,1981,8,7,25.4,19.8,5.4,0
"39",3507,1981,8,8,30,20.3,10,0.300000000000001
"40",3508,1981,8,9,32,21.8,12,1.8
"41",3509,1981,8,10,29.8,21.5,9.8,1.5
"42",3510,1981,8,11,29.6,20.4,9.6,0.399999999999999
"43",3511,1981,8,12,29.6,17.1,9.6,0.899999999999999
"44",3512,1981,8,13,31.2,19.6,11.2,0
"45",3513,1981,8,14,30.7,19.4,10.7,0
"46",3514,1981,8,15,30.3,14.2,10.3,3.8
"47",3515,1981,8,16,31,17.7,11,0.300000000000001
"48",3516,1981,8,17,29.6,20.8,9.6,0.800000000000001
"49",3517,1981,8,18,28.8,21.9,8.8,1.9
"50",3518,1981,8,19,29.2,20.8,9.2,0.800000000000001
"51",3519,1981,8,20,28.8,22.5,8.8,2.5
"52",3520,1981,8,21,29.2,22.3,9.2,2.3
"53",3521,1981,8,22,28.6,18.7,8.6,0
"54",3522,1981,8,23,29.2,15.7,9.2,2.3
"55",3523,1981,8,24,28.4,15.2,8.4,2.8
"56",3524,1981,8,25,26.4,18.8,6.4,0
"57",3525,1981,8,26,25.7,18.7,5.7,0
"58",3526,1981,8,27,27.2,16.8,7.2,1.2
"59",3527,1981,8,28,29.1,15.8,9.1,2.2
"60",3528,1981,8,29,25.4,16.9,5.4,1.1
"61",3529,1981,8,30,24.4,19.9,4.4,0
"62",3530,1981,8,31,28.2,19.2,8.2,0
"63",3865,1982,8,1,29.2,19.1,9.2,0
"64",3866,1982,8,2,29,17,9,1
"65",3867,1982,8,3,31.7,18.4,11.7,0
"66",3868,1982,8,4,32.9,20.9,12.9,0.899999999999999
"67",3869,1982,8,5,32.6,21.9,12.6,1.9
"68",3870,1982,8,6,32,24,12,4
"69",3871,1982,8,7,33.6,22.1,13.6,2.1
"70",3872,1982,8,8,34.8,22.7,14.8,2.7
"71",3873,1982,8,9,34.1,21.8,14.1,1.8
"72",3874,1982,8,10,34.3,20.4,14.3,0.399999999999999
"73",3875,1982,8,11,35.1,20.6,15.1,0.600000000000001
"74",3876,1982,8,12,31.7,20.4,11.7,0.399999999999999
"75",3877,1982,8,13,25.8,22.7,5.8,2.7
"76",3878,1982,8,14,31,23,11,3
"77",3879,1982,8,15,30.2,24.7,10.2,4.7
"78",3880,1982,8,16,29.8,23.5,9.8,3.5
"79",3881,1982,8,17,29.8,22.5,9.8,2.5
"80",3882,1982,8,18,31.5,21.7,11.5,1.7
"81",3883,1982,8,19,32.5,23.3,12.5,3.3
"82",3884,1982,8,20,27.9,22.8,7.9,2.8
"83",3885,1982,8,21,26,22.4,6,2.4
"84",3886,1982,8,22,25.9,20.1,5.9,0.100000000000001
"85",3887,1982,8,23,25,19.4,5,0
"86",3888,1982,8,24,25.4,18,5.4,0
"87",3889,1982,8,25,25.9,19.8,5.9,0
"88",3890,1982,8,26,27.1,21.9,7.1,1.9
"89",3891,1982,8,27,23.5,21.2,3.5,1.2
"90",3892,1982,8,28,25.7,20.1,5.7,0.100000000000001
"91",3893,1982,8,29,28.4,18.3,8.4,0
"92",3894,1982,8,30,29.4,15.7,9.4,2.3
"93",3895,1982,8,31,29.8,16.7,9.8,1.3
"94",4230,1983,8,1,32.2,26.4,12.2,6.4
"95",4231,1983,8,2,34,23.6,14,3.6
"96",4232,1983,8,3,35.2,24.7,15.2,4.7
"97",4233,1983,8,4,34.9,23.9,14.9,3.9
"98",4234,1983,8,5,34.7,22.4,14.7,2.4
"99",4235,1983,8,6,34.9,21.5,14.9,1.5
"100",4236,1983,8,7,34.2,22.7,14.2,2.7
"101",4237,1983,8,8,32.7,21.2,12.7,1.2
"102",4238,1983,8,9,29.2,21,9.2,1
"103",4239,1983,8,10,30.2,22.7,10.2,2.7
"104",4240,1983,8,11,33.1,21.6,13.1,1.6
"105",4241,1983,8,12,33.6,20.9,13.6,0.899999999999999
"106",4242,1983,8,13,32.1,19.8,12.1,0
"107",4243,1983,8,14,31.8,22.4,11.8,2.4
"108",4244,1983,8,15,31.9,21,11.9,1
"109",4245,1983,8,16,31.9,19.2,11.9,0
"110",4246,1983,8,17,32.8,22.3,12.8,2.3
"111",4247,1983,8,18,32.7,21.9,12.7,1.9
"112",4248,1983,8,19,31.2,21.3,11.2,1.3
"113",4249,1983,8,20,28.3,18.2,8.3,0
"114",4250,1983,8,21,27.6,18.7,7.6,0
"115",4251,1983,8,22,26.2,18.9,6.2,0
"116",4252,1983,8,23,23.6,18.4,3.6,0
"117",4253,1983,8,24,23.7,18.2,3.7,0
"118",4254,1983,8,25,29.2,20.4,9.2,0.399999999999999
"119",4255,1983,8,26,27.8,20.5,7.8,0.5
"120",4256,1983,8,27,27.3,23.2,7.3,3.2
"121",4257,1983,8,28,29.1,22.8,9.1,2.8
"122",4258,1983,8,29,30.7,20,10.7,0
"123",4259,1983,8,30,30.9,21.5,10.9,1.5
"124",4260,1983,8,31,30.2,19.9,10.2,0
"125",4596,1984,8,1,32.6,22,12.6,2
"126",4597,1984,8,2,32.5,23.8,12.5,3.8
"127",4598,1984,8,3,33.4,22.9,13.4,2.9
"128",4599,1984,8,4,32.6,22.3,12.6,2.3
"129",4600,1984,8,5,32.4,23.2,12.4,3.2
"130",4601,1984,8,6,32.8,23.1,12.8,3.1
"131",4602,1984,8,7,32.7,22.5,12.7,2.5
"132",4603,1984,8,8,32.8,23.5,12.8,3.5
"133",4604,1984,8,9,34.9,23.4,14.9,3.4
"134",4605,1984,8,10,35.4,23.1,15.4,3.1
"135",4606,1984,8,11,33.9,22.9,13.9,2.9
"136",4607,1984,8,12,35.3,20.5,15.3,0.5
"137",4608,1984,8,13,33.1,22.7,13.1,2.7
"138",4609,1984,8,14,30.4,23.7,10.4,3.7
"139",4610,1984,8,15,27.9,21.8,7.9,1.8
"140",4611,1984,8,16,29.9,20.9,9.9,0.899999999999999
"141",4612,1984,8,17,31.8,19.5,11.8,0
"142",4613,1984,8,18,33.2,20.7,13.2,0.699999999999999
"143",4614,1984,8,19,32.6,22.1,12.6,2.1
"144",4615,1984,8,20,29.2,24.4,9.2,4.4
"145",4616,1984,8,21,27.7,23.8,7.7,3.8
"146",4617,1984,8,22,29.7,21.6,9.7,1.6
"147",4618,1984,8,23,32,18.7,12,0
"148",4619,1984,8,24,28,22.4,8,2.4
"149",4620,1984,8,25,32.1,21.1,12.1,1.1
"150",4621,1984,8,26,24.7,22.1,4.7,2.1
"151",4622,1984,8,27,29.4,22,9.4,2
"152",4623,1984,8,28,32.2,23.5,12.2,3.5
"153",4624,1984,8,29,32.2,22,12.2,2
"154",4625,1984,8,30,31.8,21.2,11.8,1.2
"155",4626,1984,8,31,27.6,21.4,7.6,1.4
"156",4961,1985,8,1,33.2,23.8,13.2,3.8
"157",4962,1985,8,2,27.6,22.3,7.6,2.3
"158",4963,1985,8,3,31.3,22.7,11.3,2.7
"159",4964,1985,8,4,32.2,21.8,12.2,1.8
"160",4965,1985,8,5,32.8,22.6,12.8,2.6
"161",4966,1985,8,6,32.8,21.2,12.8,1.2
"162",4967,1985,8,7,33.4,21.8,13.4,1.8
"163",4968,1985,8,8,34.6,22.7,14.6,2.7
"164",4969,1985,8,9,32.6,24.1,12.6,4.1
"165",4970,1985,8,10,24.1,20.6,4.1,0.600000000000001
"166",4971,1985,8,11,30.1,19,10.1,0
"167",4972,1985,8,12,30.8,20.1,10.8,0.100000000000001
"168",4973,1985,8,13,31.7,23.4,11.7,3.4
"169",4974,1985,8,14,29.4,23.8,9.4,3.8
"170",4975,1985,8,15,25.4,21.4,5.4,1.4
"171",4976,1985,8,16,29.9,20.7,9.9,0.699999999999999
"172",4977,1985,8,17,27.1,20.1,7.1,0.100000000000001
"173",4978,1985,8,18,31.7,21.6,11.7,1.6
"174",4979,1985,8,19,33.8,20.3,13.8,0.300000000000001
