"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",7152,1980,8,1,26.8,16.1,6.8,1.9
"2",7153,1980,8,2,26.6,16.4,6.6,1.6
"3",7154,1980,8,3,26.3,20,6.3,0
"4",7155,1980,8,4,22.9,19.5,2.9,0
"5",7156,1980,8,5,22.4,18.6,2.4,0
"6",7157,1980,8,6,24.4,18.8,4.4,0
"7",7158,1980,8,7,20.8,17.6,0.800000000000001,0.399999999999999
"8",7159,1980,8,8,19.8,16.6,0,1.4
"9",7160,1980,8,9,22.3,17.7,2.3,0.300000000000001
"10",7161,1980,8,10,27,19.3,7,0
"11",7162,1980,8,11,28.6,20.5,8.6,0.5
"12",7163,1980,8,12,26.8,20.1,6.8,0.100000000000001
"13",7164,1980,8,13,25.1,20.6,5.1,0.600000000000001
"14",7165,1980,8,14,28.4,20.8,8.4,0.800000000000001
"15",7166,1980,8,15,23,21.5,3,1.5
"16",7167,1980,8,16,25,20.6,5,0.600000000000001
"17",7168,1980,8,17,25.2,19.8,5.2,0
"18",7169,1980,8,18,25.2,19.1,5.2,0
"19",7170,1980,8,19,29.8,20.8,9.8,0.800000000000001
"20",7171,1980,8,20,29.4,21.9,9.4,1.9
"21",7172,1980,8,21,24.8,20.8,4.8,0.800000000000001
"22",7173,1980,8,22,25.7,20.8,5.7,0.800000000000001
"23",7174,1980,8,23,30.5,20.4,10.5,0.399999999999999
"24",7175,1980,8,24,30.3,21.8,10.3,1.8
"25",7176,1980,8,25,24.1,20.1,4.1,0.100000000000001
"26",7177,1980,8,26,26.5,20.1,6.5,0.100000000000001
"27",7178,1980,8,27,26.8,20.9,6.8,0.899999999999999
"28",7179,1980,8,28,23.5,18.7,3.5,0
"29",7180,1980,8,29,22.6,18.7,2.6,0
"30",7181,1980,8,30,22.2,20,2.2,0
"31",7182,1980,8,31,26.2,19.9,6.2,0
"32",7517,1981,8,1,33.8,26.3,13.8,6.3
"33",7518,1981,8,2,35.4,26.2,15.4,6.2
"34",7519,1981,8,3,32.5,26.1,12.5,6.1
"35",7520,1981,8,4,27.5,21.3,7.5,1.3
"36",7521,1981,8,5,26.9,16.6,6.9,1.4
"37",7522,1981,8,6,29.4,17,9.4,1
"38",7523,1981,8,7,25.9,22.4,5.9,2.4
"39",7524,1981,8,8,31.9,21.1,11.9,1.1
"40",7525,1981,8,9,35.5,23.1,15.5,3.1
"41",7526,1981,8,10,32,21.2,12,1.2
"42",7527,1981,8,11,28.4,20.7,8.4,0.699999999999999
"43",7528,1981,8,12,33,20.2,13,0.199999999999999
"44",7529,1981,8,13,30.7,21.6,10.7,1.6
