"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3135,1980,8,1,27.8,16.2,7.8,1.8
"2",3136,1980,8,2,27.6,16.7,7.6,1.3
"3",3137,1980,8,3,27,17.7,7,0.300000000000001
"4",3138,1980,8,4,28.2,19.3,8.2,0
"5",3139,1980,8,5,26.7,18.7,6.7,0
"6",3140,1980,8,6,23.9,18.9,3.9,0
"7",3141,1980,8,7,21.3,16.8,1.3,1.2
"8",3142,1980,8,8,20.5,16,0.5,2
"9",3143,1980,8,9,22.1,18,2.1,0
"10",3144,1980,8,10,27.9,19.1,7.9,0
"11",3145,1980,8,11,28.7,20.4,8.7,0.399999999999999
"12",3146,1980,8,12,28,20.4,8,0.399999999999999
"13",3147,1980,8,13,23.6,19.9,3.6,0
"14",3148,1980,8,14,27.1,20.8,7.1,0.800000000000001
"15",3149,1980,8,15,25,20.2,5,0.199999999999999
"16",3150,1980,8,16,27.1,20.6,7.1,0.600000000000001
"17",3151,1980,8,17,24.3,19.2,4.3,0
"18",3152,1980,8,18,25.5,19.3,5.5,0
"19",3153,1980,8,19,29,20.2,9,0.199999999999999
"20",3154,1980,8,20,26.4,21.4,6.4,1.4
"21",3155,1980,8,21,23.8,20,3.8,0
"22",3156,1980,8,22,28,20.6,8,0.600000000000001
"23",3157,1980,8,23,30.3,20.2,10.3,0.199999999999999
"24",3158,1980,8,24,29.1,18.8,9.1,0
"25",3159,1980,8,25,22,19,2,0
"26",3160,1980,8,26,24.8,19,4.8,0
"27",3161,1980,8,27,24.3,19.8,4.3,0
"28",3162,1980,8,28,23.4,18.9,3.4,0
"29",3163,1980,8,29,22.1,18.4,2.1,0
"30",3164,1980,8,30,21.4,19.6,1.4,0
"31",3165,1980,8,31,28.1,18.4,8.1,0
"32",3500,1981,8,1,30.1,24.1,10.1,4.1
"33",3501,1981,8,2,31.7,22.9,11.7,2.9
"34",3502,1981,8,3,30.9,24.2,10.9,4.2
"35",3503,1981,8,4,29.1,21.1,9.1,1.1
"36",3504,1981,8,5,27.5,15.4,7.5,2.6
"37",3505,1981,8,6,27.9,16.8,7.9,1.2
"38",3506,1981,8,7,25.1,18.3,5.1,0
"39",3507,1981,8,8,31.1,18.8,11.1,0
"40",3508,1981,8,9,33.5,21.4,13.5,1.4
"41",3509,1981,8,10,30.3,20.2,10.3,0.199999999999999
"42",3510,1981,8,11,29.9,19.2,9.9,0
"43",3511,1981,8,12,31.4,18.4,11.4,0
"44",3512,1981,8,13,31.3,19.6,11.3,0
"45",3513,1981,8,14,31.1,18.7,11.1,0
"46",3514,1981,8,15,30.9,15.5,10.9,2.5
"47",3515,1981,8,16,29.4,16.7,9.4,1.3
"48",3516,1981,8,17,27.6,19.8,7.6,0
"49",3517,1981,8,18,29.4,23,9.4,3
"50",3518,1981,8,19,27.9,22,7.9,2
"51",3519,1981,8,20,25.6,20.9,5.6,0.899999999999999
"52",3520,1981,8,21,29.8,21.8,9.8,1.8
"53",3521,1981,8,22,30.3,20,10.3,0
"54",3522,1981,8,23,30.6,18.7,10.6,0
"55",3523,1981,8,24,29.8,16.7,9.8,1.3
"56",3524,1981,8,25,23.7,19.5,3.7,0
"57",3525,1981,8,26,25.7,18.9,5.7,0
"58",3526,1981,8,27,28.9,16.8,8.9,1.2
"59",3527,1981,8,28,28.8,15.9,8.8,2.1
"60",3528,1981,8,29,22.8,17.3,2.8,0.699999999999999
"61",3529,1981,8,30,23.3,19.4,3.3,0
"62",3530,1981,8,31,27.5,18.9,7.5,0
"63",3865,1982,8,1,30,20.1,10,0.100000000000001
"64",3866,1982,8,2,27.6,17.5,7.6,0.5
"65",3867,1982,8,3,34.4,19.5,14.4,0
"66",3868,1982,8,4,34,21.8,14,1.8
"67",3869,1982,8,5,33.7,22.9,13.7,2.9
"68",3870,1982,8,6,33.1,25.1,13.1,5.1
"69",3871,1982,8,7,34.1,24.3,14.1,4.3
"70",3872,1982,8,8,36,23.9,16,3.9
"71",3873,1982,8,9,36.2,23.1,16.2,3.1
"72",3874,1982,8,10,34.1,21.3,14.1,1.3
"73",3875,1982,8,11,35.9,22.4,15.9,2.4
"74",3876,1982,8,12,33,22.1,13,2.1
"75",3877,1982,8,13,26.2,22.4,6.2,2.4
"76",3878,1982,8,14,27.4,23.1,7.4,3.1
"77",3879,1982,8,15,27.9,23.7,7.9,3.7
"78",3880,1982,8,16,30.7,23.5,10.7,3.5
"79",3881,1982,8,17,31.4,22.8,11.4,2.8
"80",3882,1982,8,18,33.9,21,13.9,1
"81",3883,1982,8,19,33.2,22.4,13.2,2.4
"82",3884,1982,8,20,31.9,23.2,11.9,3.2
"83",3885,1982,8,21,27.8,22.7,7.8,2.7
"84",3886,1982,8,22,25.7,20.8,5.7,0.800000000000001
"85",3887,1982,8,23,24.6,19.1,4.6,0
"86",3888,1982,8,24,27,18.2,7,0
"87",3889,1982,8,25,24.7,18.8,4.7,0
"88",3890,1982,8,26,27.9,20.7,7.9,0.699999999999999
"89",3891,1982,8,27,23.6,21.4,3.6,1.4
"90",3892,1982,8,28,27.5,19.1,7.5,0
"91",3893,1982,8,29,28.9,19.3,8.9,0
"92",3894,1982,8,30,30.5,15.8,10.5,2.2
"93",3895,1982,8,31,30.2,17,10.2,1
"94",4230,1983,8,1,34.6,26.8,14.6,6.8
"95",4231,1983,8,2,35.5,25.3,15.5,5.3
"96",4232,1983,8,3,35.6,25.4,15.6,5.4
"97",4233,1983,8,4,36.3,24.2,16.3,4.2
"98",4234,1983,8,5,37.1,23.6,17.1,3.6
"99",4235,1983,8,6,35.5,22.5,15.5,2.5
"100",4236,1983,8,7,34.6,25,14.6,5
"101",4237,1983,8,8,34,22.2,14,2.2
"102",4238,1983,8,9,30.8,22.9,10.8,2.9
"103",4239,1983,8,10,29.9,22.9,9.9,2.9
"104",4240,1983,8,11,31.9,23.2,11.9,3.2
"105",4241,1983,8,12,31.9,21.4,11.9,1.4
"106",4242,1983,8,13,32.2,20.9,12.2,0.899999999999999
"107",4243,1983,8,14,32.2,22.2,12.2,2.2
"108",4244,1983,8,15,33.4,19.9,13.4,0
"109",4245,1983,8,16,34.3,19.8,14.3,0
"110",4246,1983,8,17,33.2,24.3,13.2,4.3
"111",4247,1983,8,18,31.9,22.3,11.9,2.3
"112",4248,1983,8,19,30.9,18.3,10.9,0
"113",4249,1983,8,20,28.4,16.8,8.4,1.2
"114",4250,1983,8,21,21.9,18.3,1.9,0
"115",4251,1983,8,22,25,18.5,5,0
"116",4252,1983,8,23,21.3,17.2,1.3,0.800000000000001
"117",4253,1983,8,24,23.4,17,3.4,1
"118",4254,1983,8,25,27.4,20.6,7.4,0.600000000000001
"119",4255,1983,8,26,27.1,20.4,7.1,0.399999999999999
"120",4256,1983,8,27,27.6,22.9,7.6,2.9
"121",4257,1983,8,28,30,23.2,10,3.2
"122",4258,1983,8,29,30.9,22.4,10.9,2.4
"123",4259,1983,8,30,30.6,20.9,10.6,0.899999999999999
"124",4260,1983,8,31,30.4,20.1,10.4,0.100000000000001
"125",4596,1984,8,1,33.2,23.4,13.2,3.4
"126",4597,1984,8,2,31.3,24.1,11.3,4.1
"127",4598,1984,8,3,33.3,23.2,13.3,3.2
"128",4599,1984,8,4,34.3,22.8,14.3,2.8
"129",4600,1984,8,5,34.3,23.2,14.3,3.2
"130",4601,1984,8,6,34.4,23.6,14.4,3.6
"131",4602,1984,8,7,33.5,23.8,13.5,3.8
"132",4603,1984,8,8,34.7,23.5,14.7,3.5
"133",4604,1984,8,9,36.4,24,16.4,4
"134",4605,1984,8,10,36.8,24.2,16.8,4.2
"135",4606,1984,8,11,36,25.2,16,5.2
"136",4607,1984,8,12,36.3,23.9,16.3,3.9
"137",4608,1984,8,13,34.5,24.7,14.5,4.7
"138",4609,1984,8,14,31.9,22.7,11.9,2.7
"139",4610,1984,8,15,29.2,22.1,9.2,2.1
"140",4611,1984,8,16,30.7,21.8,10.7,1.8
"141",4612,1984,8,17,31.2,20.4,11.2,0.399999999999999
"142",4613,1984,8,18,33.3,21.7,13.3,1.7
"143",4614,1984,8,19,32.4,21.9,12.4,1.9
"144",4615,1984,8,20,30,24.1,10,4.1
"145",4616,1984,8,21,29.1,23.8,9.1,3.8
"146",4617,1984,8,22,31.3,22.5,11.3,2.5
"147",4618,1984,8,23,31,19.7,11,0
"148",4619,1984,8,24,24.2,22.6,4.2,2.6
"149",4620,1984,8,25,33,22.2,13,2.2
"150",4621,1984,8,26,24.6,22.2,4.6,2.2
"151",4622,1984,8,27,25.8,22,5.8,2
"152",4623,1984,8,28,30.4,23.8,10.4,3.8
"153",4624,1984,8,29,31.7,23,11.7,3
"154",4625,1984,8,30,31.9,21,11.9,1
"155",4626,1984,8,31,26.6,21.8,6.6,1.8
"156",4961,1985,8,1,33.3,23,13.3,3
"157",4962,1985,8,2,28.4,24.6,8.4,4.6
"158",4963,1985,8,3,31.1,23.7,11.1,3.7
"159",4964,1985,8,4,31.8,23.2,11.8,3.2
"160",4965,1985,8,5,33.6,24.2,13.6,4.2
"161",4966,1985,8,6,34.3,22.2,14.3,2.2
"162",4967,1985,8,7,34.1,21.9,14.1,1.9
"163",4968,1985,8,8,35.1,22.6,15.1,2.6
"164",4969,1985,8,9,32.3,24.7,12.3,4.7
"165",4970,1985,8,10,24.7,21.1,4.7,1.1
"166",4971,1985,8,11,30.8,20.8,10.8,0.800000000000001
"167",4972,1985,8,12,30.7,22.6,10.7,2.6
