"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3135,1980,8,1,28.2,17.5,8.2,0.5
"2",3136,1980,8,2,29.5,17.9,9.5,0.100000000000001
"3",3137,1980,8,3,27.1,17.5,7.1,0.5
"4",3138,1980,8,4,28,18.5,8,0
"5",3139,1980,8,5,28.2,19.5,8.2,0
"6",3140,1980,8,6,26.2,19.2,6.2,0
"7",3141,1980,8,7,25.8,17.7,5.8,0.300000000000001
"8",3142,1980,8,8,25.8,18.5,5.8,0
"9",3143,1980,8,9,26.2,19.4,6.2,0
"10",3144,1980,8,10,27,18.6,7,0
"11",3145,1980,8,11,27.9,17.4,7.9,0.600000000000001
"12",3146,1980,8,12,26.7,18,6.7,0
"13",3147,1980,8,13,25.9,20.6,5.9,0.600000000000001
"14",3148,1980,8,14,26.1,20.8,6.1,0.800000000000001
"15",3149,1980,8,15,25.6,19.3,5.6,0
"16",3150,1980,8,16,28.1,19,8.1,0
"17",3151,1980,8,17,27.5,20.5,7.5,0.5
"18",3152,1980,8,18,26,19.6,6,0
"19",3153,1980,8,19,27.5,19.6,7.5,0
"20",3154,1980,8,20,25.6,19.4,5.6,0
"21",3155,1980,8,21,27.7,19.6,7.7,0
"22",3156,1980,8,22,26.6,18.6,6.6,0
"23",3157,1980,8,23,27.8,18,7.8,0
"24",3158,1980,8,24,27.1,18.2,7.1,0
"25",3159,1980,8,25,24.3,20,4.3,0
"26",3160,1980,8,26,26.2,20.6,6.2,0.600000000000001
"27",3161,1980,8,27,27.9,20.3,7.9,0.300000000000001
"28",3162,1980,8,28,28.1,20.2,8.1,0.199999999999999
"29",3163,1980,8,29,25.9,19.3,5.9,0
"30",3164,1980,8,30,24.2,18.4,4.2,0
"31",3165,1980,8,31,27.4,17.6,7.4,0.399999999999999
"32",3500,1981,8,1,29.3,23.9,9.3,3.9
"33",3501,1981,8,2,29,24.4,9,4.4
"34",3502,1981,8,3,28.2,24.3,8.2,4.3
"35",3503,1981,8,4,28,22.3,8,2.3
"36",3504,1981,8,5,28.5,17.5,8.5,0.5
"37",3505,1981,8,6,26.4,17.5,6.4,0.5
"38",3506,1981,8,7,27.1,19.6,7.1,0
"39",3507,1981,8,8,29.2,20.9,9.2,0.899999999999999
"40",3508,1981,8,9,30.4,19.4,10.4,0
"41",3509,1981,8,10,28.5,18.4,8.5,0
"42",3510,1981,8,11,30.2,20.5,10.2,0.5
"43",3511,1981,8,12,28.6,18,8.6,0
"44",3512,1981,8,13,30.2,17.4,10.2,0.600000000000001
"45",3513,1981,8,14,30.4,20,10.4,0
"46",3514,1981,8,15,30.2,18.4,10.2,0
"47",3515,1981,8,16,31,19,11,0
"48",3516,1981,8,17,27.6,23.1,7.6,3.1
"49",3517,1981,8,18,27.4,22.6,7.4,2.6
"50",3518,1981,8,19,30.2,22.4,10.2,2.4
"51",3519,1981,8,20,29.3,23,9.3,3
"52",3520,1981,8,21,28.3,19.4,8.3,0
"53",3521,1981,8,22,28.8,18.8,8.8,0
"54",3522,1981,8,23,28.1,17.3,8.1,0.699999999999999
"55",3523,1981,8,24,27.4,16.4,7.4,1.6
"56",3524,1981,8,25,25.8,18.7,5.8,0
"57",3525,1981,8,26,25.4,18.3,5.4,0
"58",3526,1981,8,27,29.7,15.5,9.7,2.5
"59",3527,1981,8,28,30.1,16.2,10.1,1.8
"60",3528,1981,8,29,29.9,19.4,9.9,0
"61",3529,1981,8,30,29.3,22.2,9.3,2.2
"62",3530,1981,8,31,24,19.4,4,0
"63",3865,1982,8,1,30.7,20.2,10.7,0.199999999999999
"64",3866,1982,8,2,29.3,19,9.3,0
"65",3867,1982,8,3,30.2,18,10.2,0
"66",3868,1982,8,4,30.8,18.8,10.8,0
"67",3869,1982,8,5,30.7,21.3,10.7,1.3
"68",3870,1982,8,6,29.4,23.9,9.4,3.9
"69",3871,1982,8,7,32.1,22.2,12.1,2.2
"70",3872,1982,8,8,34,21.9,14,1.9
