"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",7152,1980,8,1,26.8,20.7,6.8,0.699999999999999
"2",7153,1980,8,2,26.2,20.4,6.2,0.399999999999999
"3",7154,1980,8,3,26.6,21,6.6,1
"4",7155,1980,8,4,26.2,21.6,6.2,1.6
"5",7156,1980,8,5,24,20.7,4,0.699999999999999
"6",7157,1980,8,6,24.7,20.6,4.7,0.600000000000001
"7",7158,1980,8,7,22.8,20.6,2.8,0.600000000000001
"8",7159,1980,8,8,25.6,20.6,5.6,0.600000000000001
"9",7160,1980,8,9,26.7,18.8,6.7,0
"10",7161,1980,8,10,27.9,20.1,7.9,0.100000000000001
"11",7162,1980,8,11,28,20.2,8,0.199999999999999
"12",7163,1980,8,12,26.4,22,6.4,2
"13",7164,1980,8,13,26.4,22.9,6.4,2.9
"14",7165,1980,8,14,25.9,21.9,5.9,1.9
"15",7166,1980,8,15,25.2,22.4,5.2,2.4
"16",7167,1980,8,16,24,21.2,4,1.2
"17",7168,1980,8,17,24.4,21.2,4.4,1.2
"18",7169,1980,8,18,27,22.7,7,2.7
"19",7170,1980,8,19,26.4,22,6.4,2
"20",7171,1980,8,20,28.1,21.4,8.1,1.4
"21",7172,1980,8,21,28,22.6,8,2.6
"22",7173,1980,8,22,24.8,22,4.8,2
"23",7174,1980,8,23,28.4,21.2,8.4,1.2
"24",7175,1980,8,24,27.4,21,7.4,1
"25",7176,1980,8,25,27.8,23.1,7.8,3.1
"26",7177,1980,8,26,29.2,22.5,9.2,2.5
"27",7178,1980,8,27,27.5,20.6,7.5,0.600000000000001
"28",7179,1980,8,28,26.8,23.4,6.8,3.4
"29",7180,1980,8,29,30,25.6,10,5.6
"30",7181,1980,8,30,28,23.9,8,3.9
"31",7182,1980,8,31,26.8,22.3,6.8,2.3
"32",7517,1981,8,1,31.4,25.2,11.4,5.2
"33",7518,1981,8,2,31.2,25.1,11.2,5.1
"34",7519,1981,8,3,31.6,25.9,11.6,5.9
"35",7520,1981,8,4,30,23.6,10,3.6
"36",7521,1981,8,5,27.1,22.2,7.1,2.2
"37",7522,1981,8,6,28.2,21.6,8.2,1.6
"38",7523,1981,8,7,30.8,23.1,10.8,3.1
"39",7524,1981,8,8,28.8,23,8.8,3
"40",7525,1981,8,9,31.6,26.7,11.6,6.7
"41",7526,1981,8,10,30.1,23,10.1,3
"42",7527,1981,8,11,32.8,23.2,12.8,3.2
"43",7528,1981,8,12,31,24.3,11,4.3
"44",7529,1981,8,13,29.7,22.3,9.7,2.3
"45",7530,1981,8,14,30.1,23.8,10.1,3.8
"46",7531,1981,8,15,30,23.5,10,3.5
"47",7532,1981,8,16,30.2,25.5,10.2,5.5
"48",7533,1981,8,17,32,25.2,12,5.2
"49",7534,1981,8,18,29.4,25.5,9.4,5.5
"50",7535,1981,8,19,30.1,24.8,10.1,4.8
"51",7536,1981,8,20,31.4,24.8,11.4,4.8
"52",7537,1981,8,21,30.1,22.2,10.1,2.2
"53",7538,1981,8,22,31.3,23.3,11.3,3.3
"54",7539,1981,8,23,32.3,21.9,12.3,1.9
"55",7540,1981,8,24,30.1,21.9,10.1,1.9
"56",7541,1981,8,25,30.4,24,10.4,4
"57",7542,1981,8,26,29.9,23.9,9.9,3.9
"58",7543,1981,8,27,30.2,23,10.2,3
"59",7544,1981,8,28,26.6,23.5,6.6,3.5
