"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3404,1980,8,1,29.4,13.2,9.4,4.8
"2",3405,1980,8,2,29.2,13.8,9.2,4.2
"3",3406,1980,8,3,27.2,13.4,7.2,4.6
"4",3407,1980,8,4,27.8,18.2,7.8,0
"5",3408,1980,8,5,26.8,19,6.8,0
"6",3409,1980,8,6,28.3,17.8,8.3,0.199999999999999
"7",3410,1980,8,7,24,16.4,4,1.6
"8",3411,1980,8,8,22.8,16.8,2.8,1.2
"9",3412,1980,8,9,26.4,18,6.4,0
"10",3413,1980,8,10,27.6,19.2,7.6,0
"11",3414,1980,8,11,28.8,19.2,8.8,0
"12",3415,1980,8,12,27.8,18,7.8,0
"13",3416,1980,8,13,24,20,4,0
"14",3417,1980,8,14,26,20.8,6,0.800000000000001
"15",3418,1980,8,15,28.8,19.2,8.8,0
"16",3419,1980,8,16,28,19.8,8,0
"17",3420,1980,8,17,23.5,18.8,3.5,0
"18",3421,1980,8,18,26.8,20,6.8,0
"19",3422,1980,8,19,30.2,20.1,10.2,0.100000000000001
"20",3423,1980,8,20,26,20,6,0
"21",3424,1980,8,21,28.9,19.6,8.9,0
"22",3425,1980,8,22,30.8,19.8,10.8,0
"23",3426,1980,8,23,29.6,19,9.6,0
"24",3427,1980,8,24,28.4,17.6,8.4,0.399999999999999
"25",3428,1980,8,25,24.7,19,4.7,0
"26",3429,1980,8,26,23.8,19.2,3.8,0
"27",3430,1980,8,27,24.8,19.6,4.8,0
"28",3431,1980,8,28,27,19.2,7,0
"29",3432,1980,8,29,23.3,18.6,3.3,0
"30",3433,1980,8,30,26,19.2,6,0
"31",3434,1980,8,31,28.4,18.2,8.4,0
"32",3769,1981,8,1,29.2,22.6,9.2,2.6
"33",3770,1981,8,2,32,22,12,2
"34",3771,1981,8,3,30.4,22.8,10.4,2.8
"35",3772,1981,8,4,31.8,18,11.8,0
"36",3773,1981,8,5,29,14.7,9,3.3
"37",3774,1981,8,6,28.5,15.6,8.5,2.4
"38",3775,1981,8,7,24.5,17.9,4.5,0.100000000000001
"39",3776,1981,8,8,27.4,18.7,7.4,0
"40",3777,1981,8,9,31.8,19,11.8,0
"41",3778,1981,8,10,27,18.6,7,0
"42",3779,1981,8,11,32.1,19.7,12.1,0
"43",3780,1981,8,12,30.5,18.3,10.5,0
"44",3781,1981,8,13,32.2,17.6,12.2,0.399999999999999
"45",3782,1981,8,14,33.5,17.9,13.5,0.100000000000001
"46",3783,1981,8,15,32.5,15.8,12.5,2.2
"47",3784,1981,8,16,33.2,15.6,13.2,2.4
"48",3785,1981,8,17,24.6,20.6,4.6,0.600000000000001
"49",3786,1981,8,18,28.2,22,8.2,2
"50",3787,1981,8,19,31.6,21.5,11.6,1.5
"51",3788,1981,8,20,27.6,20.4,7.6,0.399999999999999
"52",3789,1981,8,21,28.2,21,8.2,1
"53",3790,1981,8,22,29.6,20,9.6,0
"54",3791,1981,8,23,29.2,18,9.2,0
"55",3792,1981,8,24,29.9,16.9,9.9,1.1
"56",3793,1981,8,25,23.2,19,3.2,0
"57",3794,1981,8,26,27,19.6,7,0
"58",3795,1981,8,27,29.8,18,9.8,0
"59",3796,1981,8,28,30.7,14.9,10.7,3.1
"60",3797,1981,8,29,30.3,15,10.3,3
"61",3798,1981,8,30,25,20.9,5,0.899999999999999
"62",3799,1981,8,31,24.5,17.9,4.5,0.100000000000001
"63",4134,1982,8,1,31.1,19.4,11.1,0
"64",4135,1982,8,2,28.5,17,8.5,1
"65",4136,1982,8,3,30.8,20,10.8,0
"66",4137,1982,8,4,34.1,21,14.1,1
"67",4138,1982,8,5,32,22.4,12,2.4
"68",4139,1982,8,6,30,25,10,5
"69",4140,1982,8,7,30.4,23.8,10.4,3.8
"70",4141,1982,8,8,34.9,22.9,14.9,2.9
"71",4142,1982,8,9,34,23.2,14,3.2
"72",4143,1982,8,10,33.7,21.8,13.7,1.8
"73",4144,1982,8,11,36,22.3,16,2.3
"74",4145,1982,8,12,32,21.3,12,1.3
"75",4146,1982,8,13,27.3,21.2,7.3,1.2
"76",4147,1982,8,14,25.8,23.1,5.8,3.1
"77",4148,1982,8,15,27.6,23.2,7.6,3.2
"78",4149,1982,8,16,27.6,23.4,7.6,3.4
"79",4150,1982,8,17,30.6,23,10.6,3
"80",4151,1982,8,18,32.6,21.9,12.6,1.9
"81",4152,1982,8,19,30,22.1,10,2.1
"82",4153,1982,8,20,27.7,23,7.7,3
"83",4154,1982,8,21,25.6,21,5.6,1
"84",4155,1982,8,22,29,19.2,9,0
"85",4156,1982,8,23,28.4,19.6,8.4,0
"86",4157,1982,8,24,29.6,17.2,9.6,0.800000000000001
"87",4158,1982,8,25,23.6,18.8,3.6,0
"88",4159,1982,8,26,29.8,20,9.8,0
"89",4160,1982,8,27,26.4,18,6.4,0
