"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3500,1980,8,1,22.8,15.7,2.8,2.3
"2",3501,1980,8,2,22.9,18,2.9,0
"3",3502,1980,8,3,21.9,19.5,1.9,0
"4",3503,1980,8,4,21.1,18.4,1.1,0
"5",3504,1980,8,5,22,18.4,2,0
"6",3505,1980,8,6,21.7,16.9,1.7,1.1
"7",3506,1980,8,7,20.2,16.9,0.199999999999999,1.1
"8",3507,1980,8,8,18.4,15.6,0,2.4
"9",3508,1980,8,9,19.6,17.3,0,0.699999999999999
"10",3509,1980,8,10,22.7,17.6,2.7,0.399999999999999
"11",3510,1980,8,11,23,17.5,3,0.5
"12",3511,1980,8,12,22.5,17.5,2.5,0.5
"13",3512,1980,8,13,22.8,19.5,2.8,0
"14",3513,1980,8,14,28.6,21,8.6,1
"15",3514,1980,8,15,24.4,21.5,4.4,1.5
"16",3515,1980,8,16,22.8,18.9,2.8,0
"17",3516,1980,8,17,22.8,18.6,2.8,0
"18",3517,1980,8,18,23.4,17.8,3.4,0.199999999999999
"19",3518,1980,8,19,24.6,19,4.6,0
"20",3519,1980,8,20,23.9,19.6,3.9,0
"21",3520,1980,8,21,23.1,19.9,3.1,0
"22",3521,1980,8,22,23.2,19.7,3.2,0
"23",3522,1980,8,23,23.9,18.6,3.9,0
"24",3523,1980,8,24,28.3,19,8.3,0
"25",3524,1980,8,25,23.9,18.2,3.9,0
"26",3525,1980,8,26,23.5,19,3.5,0
"27",3526,1980,8,27,21.6,18.6,1.6,0
"28",3527,1980,8,28,22,18.5,2,0
"29",3528,1980,8,29,21.6,17.8,1.6,0.199999999999999
"30",3529,1980,8,30,21.5,18.6,1.5,0
"31",3530,1980,8,31,23.3,19,3.3,0
"32",3865,1981,8,1,25.6,22,5.6,2
"33",3866,1981,8,2,33.2,20,13.2,0
"34",3867,1981,8,3,34.7,26.7,14.7,6.7
"35",3868,1981,8,4,27.6,20,7.6,0
"36",3869,1981,8,5,23.6,17.3,3.6,0.699999999999999
"37",3870,1981,8,6,24.4,16.5,4.4,1.5
"38",3871,1981,8,7,28.5,19.3,8.5,0
"39",3872,1981,8,8,26.2,20.3,6.2,0.300000000000001
"40",3873,1981,8,9,31.7,23,11.7,3
"41",3874,1981,8,10,28.2,19.8,8.2,0
"42",3875,1981,8,11,25.7,18.3,5.7,0
"43",3876,1981,8,12,24.9,18.5,4.9,0
"44",3877,1981,8,13,25.6,18.5,5.6,0
"45",3878,1981,8,14,25.5,17,5.5,1
"46",3879,1981,8,15,25.4,16.1,5.4,1.9
"47",3880,1981,8,16,25.3,15.9,5.3,2.1
"48",3881,1981,8,17,30.1,18.6,10.1,0
"49",3882,1981,8,18,26.4,21,6.4,1
"50",3883,1981,8,19,25.3,18.9,5.3,0
"51",3884,1981,8,20,24,18.7,4,0
"52",3885,1981,8,21,24.5,20.4,4.5,0.399999999999999
"53",3886,1981,8,22,24.5,19.5,4.5,0
"54",3887,1981,8,23,25.6,17.3,5.6,0.699999999999999
"55",3888,1981,8,24,26.9,18,6.9,0
"56",3889,1981,8,25,25.5,21.4,5.5,1.4
"57",3890,1981,8,26,25,19.9,5,0
"58",3891,1981,8,27,25.7,16.6,5.7,1.4
"59",3892,1981,8,28,24.9,16.2,4.9,1.8
"60",3893,1981,8,29,23.5,16.6,3.5,1.4
"61",3894,1981,8,30,23.1,19.3,3.1,0
"62",3895,1981,8,31,22.6,19,2.6,0
"63",4230,1982,8,1,25.1,19.9,5.1,0
"64",4231,1982,8,2,24.3,20.8,4.3,0.800000000000001
"65",4232,1982,8,3,29.3,20.7,9.3,0.699999999999999
"66",4233,1982,8,4,28.4,21.6,8.4,1.6
"67",4234,1982,8,5,29.1,22.3,9.1,2.3
"68",4235,1982,8,6,33.3,26.8,13.3,6.8
"69",4236,1982,8,7,31.8,25.5,11.8,5.5
"70",4237,1982,8,8,30.4,23.8,10.4,3.8
"71",4238,1982,8,9,30.9,24,10.9,4
"72",4239,1982,8,10,31.7,24,11.7,4
"73",4240,1982,8,11,29.4,22.9,9.4,2.9
"74",4241,1982,8,12,28.2,23.9,8.2,3.9
"75",4242,1982,8,13,27,22.6,7,2.6
"76",4243,1982,8,14,25.5,23.1,5.5,3.1
"77",4244,1982,8,15,29.2,21.7,9.2,1.7
"78",4245,1982,8,16,27.4,22.5,7.4,2.5
"79",4246,1982,8,17,26.4,22.1,6.4,2.1
"80",4247,1982,8,18,26.8,22.1,6.8,2.1
"81",4248,1982,8,19,27.9,21.5,7.9,1.5
"82",4249,1982,8,20,29.5,22.7,9.5,2.7
