"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",7152,1980,8,1,28.4,19.9,8.4,0
"2",7153,1980,8,2,29.1,18.2,9.1,0
"3",7154,1980,8,3,27.9,17.2,7.9,0.800000000000001
"4",7155,1980,8,4,28.2,16.1,8.2,1.9
"5",7156,1980,8,5,29,19.3,9,0
"6",7157,1980,8,6,26.6,21.4,6.6,1.4
"7",7158,1980,8,7,23.9,19.9,3.9,0
"8",7159,1980,8,8,25.3,19.9,5.3,0
"9",7160,1980,8,9,27.5,20.8,7.5,0.800000000000001
"10",7161,1980,8,10,27.4,21.7,7.4,1.7
"11",7162,1980,8,11,28.9,19.5,8.9,0
"12",7163,1980,8,12,27.5,21.3,7.5,1.3
"13",7164,1980,8,13,24.5,21.3,4.5,1.3
"14",7165,1980,8,14,24.5,21.2,4.5,1.2
"15",7166,1980,8,15,24.5,20.9,4.5,0.899999999999999
"16",7167,1980,8,16,27,21.1,7,1.1
"17",7168,1980,8,17,27.4,21.1,7.4,1.1
"18",7169,1980,8,18,27.2,21.2,7.2,1.2
"19",7170,1980,8,19,28.2,21.3,8.2,1.3
"20",7171,1980,8,20,26.8,21.4,6.8,1.4
"21",7172,1980,8,21,26.5,21.6,6.5,1.6
"22",7173,1980,8,22,28.4,21.5,8.4,1.5
"23",7174,1980,8,23,28.5,20,8.5,0
"24",7175,1980,8,24,28.2,19.9,8.2,0
"25",7176,1980,8,25,25.1,18.6,5.1,0
"26",7177,1980,8,26,26.9,21.6,6.9,1.6
"27",7178,1980,8,27,27.8,20.8,7.8,0.800000000000001
"28",7179,1980,8,28,28.4,19.8,8.4,0
"29",7180,1980,8,29,23.1,20,3.1,0
"30",7181,1980,8,30,22.6,20.4,2.6,0.399999999999999
"31",7182,1980,8,31,28,18.2,8,0
"32",7517,1981,8,1,31,24.4,11,4.4
"33",7518,1981,8,2,32.7,24.3,12.7,4.3
"34",7519,1981,8,3,30.1,24.5,10.1,4.5
"35",7520,1981,8,4,28.4,21.8,8.4,1.8
"36",7521,1981,8,5,28.8,18.4,8.8,0
"37",7522,1981,8,6,27.7,20.5,7.7,0.5
"38",7523,1981,8,7,26.5,21.2,6.5,1.2
"39",7524,1981,8,8,30.8,21.9,10.8,1.9
"40",7525,1981,8,9,32.6,24.3,12.6,4.3
"41",7526,1981,8,10,30.5,22.2,10.5,2.2
"42",7527,1981,8,11,30.6,21.4,10.6,1.4
"43",7528,1981,8,12,30,19,10,0
"44",7529,1981,8,13,31.2,20.6,11.2,0.600000000000001
"45",7530,1981,8,14,32,20.6,12,0.600000000000001
"46",7531,1981,8,15,32,17.4,12,0.600000000000001
"47",7532,1981,8,16,32.4,20.3,12.4,0.300000000000001
"48",7533,1981,8,17,30.3,25.1,10.3,5.1
"49",7534,1981,8,18,28.9,23.4,8.9,3.4
"50",7535,1981,8,19,30.5,22,10.5,2
"51",7536,1981,8,20,31.4,24.9,11.4,4.9
"52",7537,1981,8,21,29.5,21.4,9.5,1.4
"53",7538,1981,8,22,29.1,19.5,9.1,0
"54",7539,1981,8,23,29.7,18.7,9.7,0
"55",7540,1981,8,24,28.5,17.7,8.5,0.300000000000001
"56",7541,1981,8,25,26.2,21.9,6.2,1.9
"57",7542,1981,8,26,26.9,20.7,6.9,0.699999999999999
"58",7543,1981,8,27,27.8,18.8,7.8,0
"59",7544,1981,8,28,30.8,17.9,10.8,0.100000000000001
"60",7545,1981,8,29,27,20.5,7,0.5
"61",7546,1981,8,30,26.3,23.3,6.3,3.3
"62",7547,1981,8,31,31,22.3,11,2.3
"63",7882,1982,8,1,31.3,20.7,11.3,0.699999999999999
"64",7883,1982,8,2,30,19.4,10,0
"65",7884,1982,8,3,30,20.3,10,0.300000000000001
"66",7885,1982,8,4,33.4,21.6,13.4,1.6
"67",7886,1982,8,5,32,25.3,12,5.3
"68",7887,1982,8,6,32.1,25.4,12.1,5.4
"69",7888,1982,8,7,33.5,23.6,13.5,3.6
"70",7889,1982,8,8,34,24.2,14,4.2
"71",7890,1982,8,9,32.9,23.5,12.9,3.5
"72",7891,1982,8,10,32.7,22.8,12.7,2.8
"73",7892,1982,8,11,33,23.3,13,3.3
"74",7893,1982,8,12,32.8,21.9,12.8,1.9
"75",7894,1982,8,13,27.3,24,7.3,4
"76",7895,1982,8,14,31.4,24.6,11.4,4.6
"77",7896,1982,8,15,29.3,25.4,9.3,5.4
"78",7897,1982,8,16,30,24.7,10,4.7
"79",7898,1982,8,17,31,23.1,11,3.1
"80",7899,1982,8,18,31.9,24.2,11.9,4.2
"81",7900,1982,8,19,32.9,24,12.9,4
"82",7901,1982,8,20,28,24.3,8,4.3
"83",7902,1982,8,21,27,22.7,7,2.7
"84",7903,1982,8,22,27.3,21.8,7.3,1.8
"85",7904,1982,8,23,25.9,20,5.9,0
"86",7905,1982,8,24,26.4,19.8,6.4,0
"87",7906,1982,8,25,28,20.9,8,0.899999999999999
"88",7907,1982,8,26,29,22.3,9,2.3
"89",7908,1982,8,27,25,20.8,5,0.800000000000001
"90",7909,1982,8,28,25.7,20.7,5.7,0.699999999999999
"91",7910,1982,8,29,28.4,20.1,8.4,0.100000000000001
"92",7911,1982,8,30,29.7,18,9.7,0
"93",7912,1982,8,31,30.1,20.1,10.1,0.100000000000001
"94",8247,1983,8,1,33.7,27,13.7,7
"95",8248,1983,8,2,34.4,25.4,14.4,5.4
"96",8249,1983,8,3,35,25.4,15,5.4
"97",8250,1983,8,4,35.3,25.9,15.3,5.9
"98",8251,1983,8,5,35.7,24,15.7,4
"99",8252,1983,8,6,34.2,24.1,14.2,4.1
"100",8253,1983,8,7,34,23.8,14,3.8
"101",8254,1983,8,8,33.7,24.5,13.7,4.5
"102",8255,1983,8,9,29.3,23.6,9.3,3.6
"103",8256,1983,8,10,30.5,23,10.5,3
"104",8257,1983,8,11,32.2,22.3,12.2,2.3
"105",8258,1983,8,12,33.1,22,13.1,2
"106",8259,1983,8,13,32.4,20.6,12.4,0.600000000000001
"107",8260,1983,8,14,33.1,23.4,13.1,3.4
"108",8261,1983,8,15,34,20.8,14,0.800000000000001
"109",8262,1983,8,16,33.7,20.8,13.7,0.800000000000001
"110",8263,1983,8,17,31.8,24,11.8,4
"111",8264,1983,8,18,31.4,24.2,11.4,4.2
"112",8265,1983,8,19,28.2,22.2,8.2,2.2
"113",8266,1983,8,20,27.1,21.9,7.1,1.9
"114",8267,1983,8,21,28.6,20.6,8.6,0.600000000000001
"115",8268,1983,8,22,27.1,22,7.1,2
"116",8269,1983,8,23,23,19.3,3,0
"117",8270,1983,8,24,24,19.3,4,0
"118",8271,1983,8,25,30.4,21,10.4,1
"119",8272,1983,8,26,31.4,21.7,11.4,1.7
"120",8273,1983,8,27,31.2,26.3,11.2,6.3
"121",8274,1983,8,28,29.6,24.2,9.6,4.2
"122",8275,1983,8,29,30.8,22.6,10.8,2.6
"123",8276,1983,8,30,30.7,23.8,10.7,3.8
"124",8277,1983,8,31,29.8,21.4,9.8,1.4
"125",8613,1984,8,1,34.1,24.6,14.1,4.6
"126",8614,1984,8,2,33,25.9,13,5.9
"127",8615,1984,8,3,35.8,25.2,15.8,5.2
"128",8616,1984,8,4,34.3,24.1,14.3,4.1
"129",8617,1984,8,5,34,24.6,14,4.6
"130",8618,1984,8,6,33.3,24.6,13.3,4.6
"131",8619,1984,8,7,35.4,23.9,15.4,3.9
"132",8620,1984,8,8,33.3,23.8,13.3,3.8
"133",8621,1984,8,9,35.2,24.4,15.2,4.4
"134",8622,1984,8,10,36,24.3,16,4.3
"135",8623,1984,8,11,34.3,24,14.3,4
"136",8624,1984,8,12,35.5,23.5,15.5,3.5
"137",8625,1984,8,13,35.7,25.6,15.7,5.6
"138",8626,1984,8,14,30,24.2,10,4.2
"139",8627,1984,8,15,28.2,21.2,8.2,1.2
"140",8628,1984,8,16,30.2,20.9,10.2,0.899999999999999
"141",8629,1984,8,17,34.8,22.2,14.8,2.2
"142",8630,1984,8,18,34.9,23,14.9,3
"143",8631,1984,8,19,35.3,23,15.3,3
"144",8632,1984,8,20,31.5,25.8,11.5,5.8
"145",8633,1984,8,21,26.7,23.2,6.7,3.2
"146",8634,1984,8,22,30.6,22.2,10.6,2.2
"147",8635,1984,8,23,32,19.9,12,0
"148",8636,1984,8,24,30.5,22,10.5,2
"149",8637,1984,8,25,31.3,22.7,11.3,2.7
"150",8638,1984,8,26,26.2,22.6,6.2,2.6
"151",8639,1984,8,27,31.1,22.9,11.1,2.9
"152",8640,1984,8,28,32.5,25.1,12.5,5.1
"153",8641,1984,8,29,31.9,24.2,11.9,4.2
"154",8642,1984,8,30,31.4,22.8,11.4,2.8
"155",8643,1984,8,31,30,21.3,10,1.3
"156",8978,1985,8,1,34.7,25.1,14.7,5.1
"157",8979,1985,8,2,28.4,25.3,8.4,5.3
"158",8980,1985,8,3,30.5,24.2,10.5,4.2
"159",8981,1985,8,4,33.3,24.6,13.3,4.6
"160",8982,1985,8,5,32.7,25.2,12.7,5.2
"161",8983,1985,8,6,33.1,22.8,13.1,2.8
"162",8984,1985,8,7,33.8,23.3,13.8,3.3
"163",8985,1985,8,8,33.6,23.7,13.6,3.7
"164",8986,1985,8,9,31.4,24.8,11.4,4.8
"165",8987,1985,8,10,25,21.8,5,1.8
"166",8988,1985,8,11,29.9,20.3,9.9,0.300000000000001
"167",8989,1985,8,12,31.2,22.9,11.2,2.9
"168",8990,1985,8,13,32.7,23.8,12.7,3.8
"169",8991,1985,8,14,29,24.4,9,4.4
"170",8992,1985,8,15,27,23,7,3
"171",8993,1985,8,16,31.8,22,11.8,2
"172",8994,1985,8,17,28.3,22.1,8.3,2.1
"173",8995,1985,8,18,32.8,22.8,12.8,2.8
"174",8996,1985,8,19,34.2,22.7,14.2,2.7
"175",8997,1985,8,20,33.2,23.2,13.2,3.2
"176",8998,1985,8,21,33.1,23.2,13.1,3.2
"177",8999,1985,8,22,34.8,23.1,14.8,3.1
"178",9000,1985,8,23,34,23,14,3
"179",9001,1985,8,24,33.7,23.8,13.7,3.8
"180",9002,1985,8,25,32.9,23.4,12.9,3.4
"181",9003,1985,8,26,31.8,23.9,11.8,3.9
"182",9004,1985,8,27,30.9,21.9,10.9,1.9
"183",9005,1985,8,28,30.8,22.8,10.8,2.8
"184",9006,1985,8,29,33.2,21.7,13.2,1.7
"185",9007,1985,8,30,33.3,22.8,13.3,2.8
"186",9008,1985,8,31,28,23.3,8,3.3
"187",9343,1986,8,1,35.5,25.4,15.5,5.4
"188",9344,1986,8,2,33.5,23.7,13.5,3.7
"189",9345,1986,8,3,32.5,20.2,12.5,0.199999999999999
"190",9346,1986,8,4,29.1,19.3,9.1,0
"191",9347,1986,8,5,30.2,18.9,10.2,0
"192",9348,1986,8,6,29.8,21.1,9.8,1.1
"193",9349,1986,8,7,30.3,21.2,10.3,1.2
"194",9350,1986,8,8,30.4,20.7,10.4,0.699999999999999
"195",9351,1986,8,9,32.1,22.8,12.1,2.8
"196",9352,1986,8,10,33.3,24,13.3,4
"197",9353,1986,8,11,28,20.8,8,0.800000000000001
"198",9354,1986,8,12,29,21.2,9,1.2
"199",9355,1986,8,13,28.2,24.1,8.2,4.1
"200",9356,1986,8,14,31.2,22,11.2,2
"201",9357,1986,8,15,31.9,24.7,11.9,4.7
"202",9358,1986,8,16,31.4,22.7,11.4,2.7
"203",9359,1986,8,17,32.3,24.6,12.3,4.6
