"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",7152,1980,8,1,25.4,19.3,5.4,0
"2",7153,1980,8,2,24.4,19.3,4.4,0
"3",7154,1980,8,3,25.1,20.3,5.1,0.300000000000001
"4",7155,1980,8,4,23.8,20.8,3.8,0.800000000000001
"5",7156,1980,8,5,22.2,20,2.2,0
"6",7157,1980,8,6,22.3,20.3,2.3,0.300000000000001
"7",7158,1980,8,7,21.8,20.3,1.8,0.300000000000001
"8",7159,1980,8,8,23.2,20.1,3.2,0.100000000000001
"9",7160,1980,8,9,26.6,18.9,6.6,0
"10",7161,1980,8,10,26.4,19.2,6.4,0
"11",7162,1980,8,11,26,19.1,6,0
"12",7163,1980,8,12,27.4,20.5,7.4,0.5
"13",7164,1980,8,13,28.9,23.2,8.9,3.2
"14",7165,1980,8,14,26.4,22.3,6.4,2.3
"15",7166,1980,8,15,24.8,21.3,4.8,1.3
"16",7167,1980,8,16,26.2,21.6,6.2,1.6
"17",7168,1980,8,17,23.8,21.9,3.8,1.9
"18",7169,1980,8,18,25.3,22.1,5.3,2.1
"19",7170,1980,8,19,25.2,21.3,5.2,1.3
"20",7171,1980,8,20,27.2,21.8,7.2,1.8
"21",7172,1980,8,21,25.8,22.4,5.8,2.4
"22",7173,1980,8,22,24.3,21.7,4.3,1.7
"23",7174,1980,8,23,26.7,19.9,6.7,0
"24",7175,1980,8,24,25.6,20,5.6,0
"25",7176,1980,8,25,31.9,22.3,11.9,2.3
"26",7177,1980,8,26,27.9,22.8,7.9,2.8
"27",7178,1980,8,27,26.3,22,6.3,2
"28",7179,1980,8,28,25.1,22.3,5.1,2.3
"29",7180,1980,8,29,30.5,22.4,10.5,2.4
"30",7181,1980,8,30,30.8,23.7,10.8,3.7
"31",7182,1980,8,31,25.2,21.4,5.2,1.4
"32",7517,1981,8,1,33.2,25.2,13.2,5.2
"33",7518,1981,8,2,32,25.6,12,5.6
"34",7519,1981,8,3,31.3,24.4,11.3,4.4
"35",7520,1981,8,4,28.6,24,8.6,4
"36",7521,1981,8,5,27.6,21.7,7.6,1.7
"37",7522,1981,8,6,31.1,20.4,11.1,0.399999999999999
"38",7523,1981,8,7,31.3,22.5,11.3,2.5
"39",7524,1981,8,8,32.2,25.8,12.2,5.8
"40",7525,1981,8,9,33.5,24.6,13.5,4.6
"41",7526,1981,8,10,28.9,23.6,8.9,3.6
"42",7527,1981,8,11,28.4,23.6,8.4,3.6
"43",7528,1981,8,12,28.7,22.2,8.7,2.2
"44",7529,1981,8,13,29.6,19.9,9.6,0
