"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3013,1980,4,1,12.4,1.7,7.6,18.3
"2",3014,1980,4,2,14,-0.2,6,20.2
"3",3015,1980,4,3,22.4,-1.7,0.399999999999999,21.7
"4",3016,1980,4,4,24.2,2.2,2.2,17.8
"5",3017,1980,4,5,20.4,14.2,0,5.8
"6",3018,1980,4,6,20.2,3.3,0,16.7
"7",3019,1980,4,7,17.6,3,2.4,17
"8",3020,1980,4,8,17.2,5.2,2.8,14.8
"9",3021,1980,4,9,18.4,5.5,1.6,14.5
"10",3022,1980,4,10,18.8,1.2,1.2,18.8
"11",3023,1980,4,11,21.5,2.9,0,17.1
"12",3024,1980,4,12,14.9,11.7,5.1,8.3
"13",3025,1980,4,13,14,6.4,6,13.6
"14",3026,1980,4,14,9.4,2.2,10.6,17.8
"15",3027,1980,4,15,10,1.6,10,18.4
"16",3028,1980,4,16,9.4,1.9,10.6,18.1
"17",3029,1980,4,17,12.5,3.6,7.5,16.4
"18",3030,1980,4,18,19.6,1.5,0.399999999999999,18.5
"19",3031,1980,4,19,21.4,7.7,0,12.3
"20",3032,1980,4,20,15.2,5.3,4.8,14.7
"21",3033,1980,4,21,15.7,1.9,4.3,18.1
"22",3034,1980,4,22,17.7,-0.4,2.3,20.4
"23",3035,1980,4,23,14.3,1.9,5.7,18.1
"24",3036,1980,4,24,13.9,-0.5,6.1,20.5
"25",3037,1980,4,25,16.8,-0.9,3.2,20.9
"26",3038,1980,4,26,22.2,0.1,0.199999999999999,19.9
"27",3039,1980,4,27,15.4,6.4,4.6,13.6
"28",3040,1980,4,28,17.2,4.5,2.8,15.5
"29",3041,1980,4,29,20.7,5.1,0,14.9
"30",3042,1980,4,30,21.2,8.7,0,11.3
"31",3378,1981,4,1,13,5.8,7,14.2
"32",3379,1981,4,2,13.2,0.6,6.8,19.4
"33",3380,1981,4,3,11.8,-3.9,8.2,23.9
"34",3381,1981,4,4,17.6,4.6,2.4,15.4
"35",3382,1981,4,5,10.6,4.2,9.4,15.8
"36",3383,1981,4,6,18.5,1.6,1.5,18.4
"37",3384,1981,4,7,23.9,1.5,1.9,18.5
"38",3385,1981,4,8,21.8,5.2,0,14.8
"39",3386,1981,4,9,15,10.2,5,9.8
"40",3387,1981,4,10,17.7,8.9,2.3,11.1
"41",3388,1981,4,11,21.8,5.4,0,14.6
"42",3389,1981,4,12,20.9,6.8,0,13.2
"43",3390,1981,4,13,16.1,5.6,3.9,14.4
"44",3391,1981,4,14,19.4,0.5,0.600000000000001,19.5
"45",3392,1981,4,15,19.8,5.5,0.199999999999999,14.5
"46",3393,1981,4,16,12.5,6.1,7.5,13.9
"47",3394,1981,4,17,18.7,2.8,1.3,17.2
"48",3395,1981,4,18,19.6,5.6,0.399999999999999,14.4
"49",3396,1981,4,19,14.1,8.3,5.9,11.7
"50",3397,1981,4,20,16.8,3.3,3.2,16.7
"51",3398,1981,4,21,21.5,1.1,0,18.9
"52",3399,1981,4,22,22.6,3,0.600000000000001,17
"53",3400,1981,4,23,24,4.1,2,15.9
"54",3401,1981,4,24,21.9,5.9,0,14.1
"55",3402,1981,4,25,20.2,1.6,0,18.4
"56",3403,1981,4,26,25.5,1.9,3.5,18.1
"57",3404,1981,4,27,23.9,4,1.9,16
"58",3405,1981,4,28,25.2,2.3,3.2,17.7
"59",3406,1981,4,29,21.6,10.2,0,9.8
"60",3407,1981,4,30,20.4,7.8,0,12.2
"61",3743,1982,4,1,21.1,1.6,0,18.4
"62",3744,1982,4,2,10.5,4.5,9.5,15.5
"63",3745,1982,4,3,13.1,6,6.9,14
"64",3746,1982,4,4,15.2,2.5,4.8,17.5
"65",3747,1982,4,5,18.7,3.7,1.3,16.3
"66",3748,1982,4,6,19.3,0.7,0.699999999999999,19.3
"67",3749,1982,4,7,19.3,4.8,0.699999999999999,15.2
"68",3750,1982,4,8,18.8,1.5,1.2,18.5
"69",3751,1982,4,9,11,0.9,9,19.1
"70",3752,1982,4,10,15.5,-2.8,4.5,22.8
"71",3753,1982,4,11,18.6,-1.8,1.4,21.8
"72",3754,1982,4,12,18.4,2.9,1.6,17.1
"73",3755,1982,4,13,19.5,5,0.5,15
"74",3756,1982,4,14,21.8,4.7,0,15.3
"75",3757,1982,4,15,15.2,3.3,4.8,16.7
"76",3758,1982,4,16,14.6,-1,5.4,21
"77",3759,1982,4,17,14.3,3.5,5.7,16.5
"78",3760,1982,4,18,16.4,-1.5,3.6,21.5
"79",3761,1982,4,19,19.3,-1.1,0.699999999999999,21.1
"80",3762,1982,4,20,16.4,1.9,3.6,18.1
"81",3763,1982,4,21,20,4.5,0,15.5
"82",3764,1982,4,22,23,2.6,1,17.4
"83",3765,1982,4,23,24.3,3.3,2.3,16.7
"84",3766,1982,4,24,26.3,5,4.3,15
"85",3767,1982,4,25,27.4,6,5.4,14
"86",3768,1982,4,26,20,11.4,0,8.6
"87",3769,1982,4,27,17.6,13,2.4,7
"88",3770,1982,4,28,17.6,10.4,2.4,9.6
"89",3771,1982,4,29,20.7,11.6,0,8.4
"90",3772,1982,4,30,22.5,10.7,0.5,9.3
"91",4108,1983,4,1,15.6,5.1,4.4,14.9
"92",4109,1983,4,2,12.5,-0.2,7.5,20.2
"93",4110,1983,4,3,12.2,-4.6,7.8,24.6
