"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3743,1980,4,1,14.2,-0.4,5.8,20.4
"2",3744,1980,4,2,15.6,-1.8,4.4,21.8
"3",3745,1980,4,3,20.2,-2,0,22
"4",3746,1980,4,4,22,2.6,0,17.4
"5",3747,1980,4,5,17,15.2,3,4.8
"6",3748,1980,4,6,18.2,4.8,1.8,15.2
"7",3749,1980,4,7,18.2,1.6,1.8,18.4
"8",3750,1980,4,8,17.2,4,2.8,16
"9",3751,1980,4,9,21.3,7.2,0,12.8
"10",3752,1980,4,10,20.2,1.2,0,18.8
"11",3753,1980,4,11,19.2,2.9,0.800000000000001,17.1
"12",3754,1980,4,12,15.6,12.2,4.4,7.8
"13",3755,1980,4,13,15.7,5.9,4.3,14.1
"14",3756,1980,4,14,7.8,2,12.2,18
"15",3757,1980,4,15,11.2,3.1,8.8,16.9
"16",3758,1980,4,16,9.8,3.6,10.2,16.4
"17",3759,1980,4,17,14.9,3.6,5.1,16.4
"18",3760,1980,4,18,17.7,3.8,2.3,16.2
"19",3761,1980,4,19,21.2,10.8,0,9.2
"20",3762,1980,4,20,17.4,4.2,2.6,15.8
"21",3763,1980,4,21,17.6,1,2.4,19
"22",3764,1980,4,22,20.3,0.8,0,19.2
"23",3765,1980,4,23,15.8,1.6,4.2,18.4
"24",3766,1980,4,24,14.9,0.7,5.1,19.3
"25",3767,1980,4,25,18.6,1,1.4,19
"26",3768,1980,4,26,24,-0.2,2,20.2
"27",3769,1980,4,27,15.7,8.6,4.3,11.4
"28",3770,1980,4,28,19.4,5.8,0.600000000000001,14.2
"29",3771,1980,4,29,22.6,3.7,0.600000000000001,16.3
"30",3772,1980,4,30,24,9.7,2,10.3
"31",4108,1981,4,1,11.8,5.2,8.2,14.8
"32",4109,1981,4,2,14.6,0.6,5.4,19.4
"33",4110,1981,4,3,12.6,-4,7.4,24
"34",4111,1981,4,4,18.2,4.2,1.8,15.8
"35",4112,1981,4,5,13,3.2,7,16.8
"36",4113,1981,4,6,20.6,1,0,19
"37",4114,1981,4,7,24.8,2,2.8,18
"38",4115,1981,4,8,21.8,7.5,0,12.5
