"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3376,1980,4,1,11.9,3.7,8.1,16.3
"2",3377,1980,4,2,13.4,0.6,6.6,19.4
"3",3378,1980,4,3,20.8,2.4,0,17.6
"4",3379,1980,4,4,23.6,6.4,1.6,13.6
"5",3380,1980,4,5,19.8,14.6,0.199999999999999,5.4
"6",3381,1980,4,6,18,5,2,15
"7",3382,1980,4,7,14.1,3.1,5.9,16.9
"8",3383,1980,4,8,15.5,5.1,4.5,14.9
"9",3384,1980,4,9,14.3,5.8,5.7,14.2
"10",3385,1980,4,10,15.1,0.6,4.9,19.4
"11",3386,1980,4,11,21,2.5,0,17.5
"12",3387,1980,4,12,17.8,12.5,2.2,7.5
"13",3388,1980,4,13,14.6,4.8,5.4,15.2
"14",3389,1980,4,14,9.9,3.9,10.1,16.1
"15",3390,1980,4,15,9.9,3.6,10.1,16.4
"16",3391,1980,4,16,10.9,3.8,9.1,16.2
"17",3392,1980,4,17,12.1,3.6,7.9,16.4
"18",3393,1980,4,18,19.9,4.3,0.100000000000001,15.7
"19",3394,1980,4,19,21,9.8,0,10.2
"20",3395,1980,4,20,15.1,6.8,4.9,13.2
"21",3396,1980,4,21,15.5,4,4.5,16
"22",3397,1980,4,22,18.3,1.5,1.7,18.5
"23",3398,1980,4,23,13.6,5,6.4,15
"24",3399,1980,4,24,12.7,3.6,7.3,16.4
"25",3400,1980,4,25,16.1,2.2,3.9,17.8
"26",3401,1980,4,26,22.6,1.8,0.600000000000001,18.2
"27",3402,1980,4,27,13.1,8,6.9,12
"28",3403,1980,4,28,18.3,6.8,1.7,13.2
"29",3404,1980,4,29,21.2,4.4,0,15.6
"30",3405,1980,4,30,19.1,8.8,0.899999999999999,11.2
"31",3741,1981,4,1,13.2,4.1,6.8,15.9
"32",3742,1981,4,2,10.5,1.7,9.5,18.3
"33",3743,1981,4,3,9.2,-3.6,10.8,23.6
"34",3744,1981,4,4,14,3.5,6,16.5
"35",3745,1981,4,5,11.4,2.9,8.6,17.1
"36",3746,1981,4,6,12.9,1,7.1,19
"37",3747,1981,4,7,19.7,0.7,0.300000000000001,19.3
"38",3748,1981,4,8,22.2,3.2,0.199999999999999,16.8
"39",3749,1981,4,9,14.5,9.7,5.5,10.3
"40",3750,1981,4,10,15.3,6,4.7,14
"41",3751,1981,4,11,17.3,5.2,2.7,14.8
"42",3752,1981,4,12,18.7,5.8,1.3,14.2
"43",3753,1981,4,13,12.6,4.3,7.4,15.7
"44",3754,1981,4,14,16,1.6,4,18.4
"45",3755,1981,4,15,17.7,5.1,2.3,14.9
"46",3756,1981,4,16,10.9,6.2,9.1,13.8
"47",3757,1981,4,17,15.2,3,4.8,17
"48",3758,1981,4,18,17.3,5.1,2.7,14.9
