"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3013,1980,4,1,14.3,2.1,5.7,17.9
"2",3014,1980,4,2,16.2,0.6,3.8,19.4
"3",3015,1980,4,3,17.4,-0.7,2.6,20.7
"4",3016,1980,4,4,20.8,0.9,0,19.1
"5",3017,1980,4,5,19.1,14.3,0.899999999999999,5.7
"6",3018,1980,4,6,19.5,6.3,0.5,13.7
"7",3019,1980,4,7,16.5,1.7,3.5,18.3
"8",3020,1980,4,8,20,4.3,0,15.7
"9",3021,1980,4,9,22.3,9.7,0.300000000000001,10.3
"10",3022,1980,4,10,17.8,7,2.2,13
"11",3023,1980,4,11,17.5,2.1,2.5,17.9
"12",3024,1980,4,12,14.7,11,5.3,9
"13",3025,1980,4,13,16.3,8.4,3.7,11.6
"14",3026,1980,4,14,8.8,4,11.2,16
"15",3027,1980,4,15,10,3.2,10,16.8
"16",3028,1980,4,16,8.7,3.1,11.3,16.9
"17",3029,1980,4,17,15.1,2.2,4.9,17.8
"18",3030,1980,4,18,18,3.6,2,16.4
"19",3031,1980,4,19,19.3,11.8,0.699999999999999,8.2
"20",3032,1980,4,20,18.2,9.5,1.8,10.5
"21",3033,1980,4,21,18,6.4,2,13.6
"22",3034,1980,4,22,20.6,2.5,0,17.5
"23",3035,1980,4,23,15.7,5.4,4.3,14.6
"24",3036,1980,4,24,15.1,3.3,4.9,16.7
"25",3037,1980,4,25,19.3,4.6,0.699999999999999,15.4
"26",3038,1980,4,26,22.4,1.8,0.399999999999999,18.2
"27",3039,1980,4,27,14.5,8.8,5.5,11.2
"28",3040,1980,4,28,20.2,7.6,0,12.4
"29",3041,1980,4,29,21.4,5,0,15
"30",3042,1980,4,30,23.9,10.8,1.9,9.2
"31",3378,1981,4,1,11.5,5.6,8.5,14.4
"32",3379,1981,4,2,15.5,4.8,4.5,15.2
"33",3380,1981,4,3,15,-1.4,5,21.4
"34",3381,1981,4,4,19,4.2,1,15.8
"35",3382,1981,4,5,12.6,6.8,7.4,13.2
"36",3383,1981,4,6,21.6,5.1,0,14.9
"37",3384,1981,4,7,23.6,4.6,1.6,15.4
"38",3385,1981,4,8,20.1,5,0,15
"39",3386,1981,4,9,12.8,9.2,7.2,10.8
"40",3387,1981,4,10,21.8,10.6,0,9.4
"41",3388,1981,4,11,25,8.9,3,11.1
"42",3389,1981,4,12,22.4,9.9,0.399999999999999,10.1
"43",3390,1981,4,13,17.9,8.5,2.1,11.5
"44",3391,1981,4,14,20.2,4.1,0,15.9
"45",3392,1981,4,15,13.3,8.2,6.7,11.8
"46",3393,1981,4,16,14.7,7.4,5.3,12.6
"47",3394,1981,4,17,21,4.4,0,15.6
"48",3395,1981,4,18,19.1,6.4,0.899999999999999,13.6
"49",3396,1981,4,19,15.9,9.7,4.1,10.3
"50",3397,1981,4,20,17.9,6.2,2.1,13.8
"51",3398,1981,4,21,22.9,2.8,0.899999999999999,17.2
"52",3399,1981,4,22,23.7,4.4,1.7,15.6
"53",3400,1981,4,23,25.6,6.2,3.6,13.8
"54",3401,1981,4,24,23.4,8.7,1.4,11.3
"55",3402,1981,4,25,21.5,8.1,0,11.9
"56",3403,1981,4,26,26.6,3.7,4.6,16.3
"57",3404,1981,4,27,23.5,5.8,1.5,14.2
"58",3405,1981,4,28,24.3,4.2,2.3,15.8
"59",3406,1981,4,29,20.2,13,0,7
"60",3407,1981,4,30,25.4,10.1,3.4,9.9
"61",3743,1982,4,1,21.1,3.5,0,16.5
"62",3744,1982,4,2,11.8,5,8.2,15
"63",3745,1982,4,3,12.2,3.9,7.8,16.1
"64",3746,1982,4,4,15.6,-0.2,4.4,20.2
"65",3747,1982,4,5,18.1,4,1.9,16
"66",3748,1982,4,6,18.5,4,1.5,16
"67",3749,1982,4,7,19.9,9.5,0.100000000000001,10.5
"68",3750,1982,4,8,23.4,6,1.4,14
"69",3751,1982,4,9,11.7,2,8.3,18
"70",3752,1982,4,10,18.7,-2,1.3,22
"71",3753,1982,4,11,20,0.2,0,19.8
"72",3754,1982,4,12,21.5,3,0,17
"73",3755,1982,4,13,21,6,0,14
"74",3756,1982,4,14,22.7,8.1,0.699999999999999,11.9
"75",3757,1982,4,15,20.5,8,0,12
"76",3758,1982,4,16,16.7,7.1,3.3,12.9
"77",3759,1982,4,17,15.7,7,4.3,13
"78",3760,1982,4,18,19.1,2,0.899999999999999,18
"79",3761,1982,4,19,22.4,0.3,0.399999999999999,19.7
"80",3762,1982,4,20,18.3,2,1.7,18
"81",3763,1982,4,21,17.7,7.2,2.3,12.8
"82",3764,1982,4,22,24.4,3.6,2.4,16.4
"83",3765,1982,4,23,25.2,5.1,3.2,14.9
"84",3766,1982,4,24,27.1,6.6,5.1,13.4
"85",3767,1982,4,25,27.3,8.7,5.3,11.3
"86",3768,1982,4,26,20.4,13.3,0,6.7
"87",3769,1982,4,27,16.7,11.5,3.3,8.5
"88",3770,1982,4,28,17.3,10.7,2.7,9.3
"89",3771,1982,4,29,25.1,13,3.1,7
"90",3772,1982,4,30,18,14.1,2,5.9
"91",4108,1983,4,1,16.9,5.2,3.1,14.8
"92",4109,1983,4,2,13.6,1.3,6.4,18.7
"93",4110,1983,4,3,13.7,-1.8,6.3,21.8
"94",4111,1983,4,4,17.6,2.4,2.4,17.6
"95",4112,1983,4,5,22.4,-0.3,0.399999999999999,20.3
"96",4113,1983,4,6,23.6,2.4,1.6,17.6
"97",4114,1983,4,7,15.8,7.1,4.2,12.9
"98",4115,1983,4,8,25.5,6.2,3.5,13.8
"99",4116,1983,4,9,16.8,8.2,3.2,11.8
"100",4117,1983,4,10,23.6,13,1.6,7
"101",4118,1983,4,11,17.8,13.6,2.2,6.4
"102",4119,1983,4,12,25.2,11.1,3.2,8.9
"103",4120,1983,4,13,19.8,11.2,0.199999999999999,8.8
"104",4121,1983,4,14,19.2,13.2,0.800000000000001,6.8
"105",4122,1983,4,15,18.7,8.4,1.3,11.6
"106",4123,1983,4,16,16.9,4.4,3.1,15.6
"107",4124,1983,4,17,24,1.4,2,18.6
