"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3013,1980,4,1,14.5,5.2,5.5,14.8
"2",3014,1980,4,2,15.1,0.9,4.9,19.1
"3",3015,1980,4,3,20.5,-2.4,0,22.4
"4",3016,1980,4,4,21.8,0.1,0,19.9
"5",3017,1980,4,5,17.1,13.9,2.9,6.1
"6",3018,1980,4,6,20.4,5.1,0,14.9
"7",3019,1980,4,7,16.5,4.6,3.5,15.4
"8",3020,1980,4,8,20.7,3.6,0,16.4
"9",3021,1980,4,9,16.7,6.9,3.3,13.1
"10",3022,1980,4,10,14.7,3.6,5.3,16.4
"11",3023,1980,4,11,19.2,-0.1,0.800000000000001,20.1
"12",3024,1980,4,12,15.3,7.1,4.7,12.9
"13",3025,1980,4,13,11,5.9,9,14.1
"14",3026,1980,4,14,8.8,3.4,11.2,16.6
"15",3027,1980,4,15,11.6,2.6,8.4,17.4
"16",3028,1980,4,16,11.4,2.7,8.6,17.3
"17",3029,1980,4,17,13.9,0.4,6.1,19.6
"18",3030,1980,4,18,17.2,0.9,2.8,19.1
"19",3031,1980,4,19,20.4,8,0,12
"20",3032,1980,4,20,19.6,5.3,0.399999999999999,14.7
"21",3033,1980,4,21,18.5,3.6,1.5,16.4
"22",3034,1980,4,22,19.3,3.4,0.699999999999999,16.6
"23",3035,1980,4,23,16.1,4.9,3.9,15.1
"24",3036,1980,4,24,15.3,0.6,4.7,19.4
"25",3037,1980,4,25,18.8,4,1.2,16
"26",3038,1980,4,26,22.5,3.3,0.5,16.7
"27",3039,1980,4,27,13.7,7.8,6.3,12.2
"28",3040,1980,4,28,18.9,5.9,1.1,14.1
"29",3041,1980,4,29,22.8,3.5,0.800000000000001,16.5
"30",3042,1980,4,30,22.6,9.6,0.600000000000001,10.4
"31",3378,1981,4,1,11.6,2.6,8.4,17.4
"32",3379,1981,4,2,14.6,4.6,5.4,15.4
"33",3380,1981,4,3,15.7,1,4.3,19
"34",3381,1981,4,4,18.7,7,1.3,13
"35",3382,1981,4,5,13.6,5.3,6.4,14.7
"36",3383,1981,4,6,21.5,7.6,0,12.4
"37",3384,1981,4,7,21.3,3.6,0,16.4
"38",3385,1981,4,8,20.3,3,0,17
"39",3386,1981,4,9,14.3,7.8,5.7,12.2
"40",3387,1981,4,10,20.5,10.3,0,9.7
"41",3388,1981,4,11,24,7.7,2,12.3
"42",3389,1981,4,12,19.5,7.9,0.5,12.1
"43",3390,1981,4,13,18.4,6.5,1.6,13.5
"44",3391,1981,4,14,19.8,2.6,0.199999999999999,17.4
"45",3392,1981,4,15,17.9,5.4,2.1,14.6
"46",3393,1981,4,16,15.6,8.3,4.4,11.7
"47",3394,1981,4,17,21.4,3.6,0,16.4
"48",3395,1981,4,18,21,5.5,0,14.5
"49",3396,1981,4,19,15.6,8.4,4.4,11.6
"50",3397,1981,4,20,17.5,5.1,2.5,14.9
"51",3398,1981,4,21,22.7,1.8,0.699999999999999,18.2
"52",3399,1981,4,22,24,6.9,2,13.1
"53",3400,1981,4,23,25.8,5.3,3.8,14.7
"54",3401,1981,4,24,23.8,10.6,1.8,9.4
"55",3402,1981,4,25,21.6,4.4,0,15.6
"56",3403,1981,4,26,28,2.2,6,17.8
"57",3404,1981,4,27,25.3,8.8,3.3,11.2
"58",3405,1981,4,28,26.8,3.3,4.8,16.7
"59",3406,1981,4,29,19.2,13,0.800000000000001,7
"60",3407,1981,4,30,24.3,10.3,2.3,9.7
"61",3743,1982,4,1,22,0.4,0,19.6
"62",3744,1982,4,2,15.3,4.1,4.7,15.9
"63",3745,1982,4,3,10.7,1.2,9.3,18.8
"64",3746,1982,4,4,13.2,-1,6.8,21
"65",3747,1982,4,5,17.2,2.3,2.8,17.7
"66",3748,1982,4,6,20.2,1.4,0,18.6
"67",3749,1982,4,7,18.1,8.2,1.9,11.8
"68",3750,1982,4,8,25,5.8,3,14.2
"69",3751,1982,4,9,12,1.4,8,18.6
"70",3752,1982,4,10,16.8,-1.6,3.2,21.6
"71",3753,1982,4,11,19.7,-1.2,0.300000000000001,21.2
"72",3754,1982,4,12,21.2,4.5,0,15.5
"73",3755,1982,4,13,21.1,5.9,0,14.1
"74",3756,1982,4,14,18,7.8,2,12.2
"75",3757,1982,4,15,20.5,8.2,0,11.8
"76",3758,1982,4,16,17.1,5.4,2.9,14.6
"77",3759,1982,4,17,15.8,1.6,4.2,18.4
"78",3760,1982,4,18,19.1,2.7,0.899999999999999,17.3
"79",3761,1982,4,19,22,3.2,0,16.8
"80",3762,1982,4,20,18.9,3.7,1.1,16.3
"81",3763,1982,4,21,18.5,5.6,1.5,14.4
"82",3764,1982,4,22,23.9,1.7,1.9,18.3
"83",3765,1982,4,23,25.9,6,3.9,14
"84",3766,1982,4,24,26.8,7.3,4.8,12.7
"85",3767,1982,4,25,29.1,6.1,7.1,13.9
"86",3768,1982,4,26,22.2,11,0.199999999999999,9
"87",3769,1982,4,27,15.6,9.8,4.4,10.2
"88",3770,1982,4,28,14.3,9.2,5.7,10.8
"89",3771,1982,4,29,24.1,9.7,2.1,10.3
"90",3772,1982,4,30,19.1,12.3,0.899999999999999,7.7
"91",4108,1983,4,1,15.1,2.8,4.9,17.2
"92",4109,1983,4,2,15.4,-0.2,4.6,20.2
"93",4110,1983,4,3,14.6,-1.7,5.4,21.7
"94",4111,1983,4,4,15.7,1.3,4.3,18.7
"95",4112,1983,4,5,21.3,-0.2,0,20.2
"96",4113,1983,4,6,24.2,2,2.2,18
"97",4114,1983,4,7,18.9,7.3,1.1,12.7
"98",4115,1983,4,8,21.7,5.3,0,14.7
"99",4116,1983,4,9,19.1,5.4,0.899999999999999,14.6
"100",4117,1983,4,10,15.6,8.8,4.4,11.2
"101",4118,1983,4,11,14.9,8.4,5.1,11.6
"102",4119,1983,4,12,22.2,6.6,0.199999999999999,13.4
"103",4120,1983,4,13,18.6,6.8,1.4,13.2
"104",4121,1983,4,14,17.2,11.8,2.8,8.2
"105",4122,1983,4,15,19.8,8.6,0.199999999999999,11.4
"106",4123,1983,4,16,14.6,4.3,5.4,15.7
"107",4124,1983,4,17,22.9,1.5,0.899999999999999,18.5
"108",4125,1983,4,18,25.4,2.9,3.4,17.1
"109",4126,1983,4,19,17.1,11,2.9,9
"110",4127,1983,4,20,18.7,6.8,1.3,13.2
"111",4128,1983,4,21,18.2,3.4,1.8,16.6
"112",4129,1983,4,22,21.4,11,0,9
"113",4130,1983,4,23,23.4,5,1.4,15
"114",4131,1983,4,24,26.3,5.6,4.3,14.4
"115",4132,1983,4,25,28.4,7.6,6.4,12.4
"116",4133,1983,4,26,23.5,15.7,1.5,4.3
"117",4134,1983,4,27,29.4,17.4,7.4,2.6
"118",4135,1983,4,28,23.3,14.4,1.3,5.6
"119",4136,1983,4,29,18.4,6.7,1.6,13.3
"120",4137,1983,4,30,20.2,4.2,0,15.8
"121",4474,1984,4,1,9,-1.1,11,21.1
"122",4475,1984,4,2,13.5,-4.1,6.5,24.1
"123",4476,1984,4,3,10.8,4,9.2,16
"124",4477,1984,4,4,12.5,5,7.5,15
"125",4478,1984,4,5,15.8,9.4,4.2,10.6
"126",4479,1984,4,6,13.7,1.4,6.3,18.6
"127",4480,1984,4,7,17.6,-0.2,2.4,20.2
"128",4481,1984,4,8,11.5,1,8.5,19
"129",4482,1984,4,9,8.3,3.4,11.7,16.6
"130",4483,1984,4,10,17.4,5.1,2.6,14.9
"131",4484,1984,4,11,21.8,1.5,0,18.5
"132",4485,1984,4,12,20,0.6,0,19.4
"133",4486,1984,4,13,24.1,2.4,2.1,17.6
"134",4487,1984,4,14,23.2,2.3,1.2,17.7
"135",4488,1984,4,15,24.4,7.9,2.4,12.1
"136",4489,1984,4,16,26.9,12.3,4.9,7.7
"137",4490,1984,4,17,27.9,14.6,5.9,5.4
"138",4491,1984,4,18,18.7,4.7,1.3,15.3
"139",4492,1984,4,19,8.7,2.3,11.3,17.7
"140",4493,1984,4,20,14.9,-1,5.1,21
"141",4494,1984,4,21,14.2,3.8,5.8,16.2
"142",4495,1984,4,22,22.2,3.5,0.199999999999999,16.5
