"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3378,1980,4,1,11.5,3.9,8.5,16.1
"2",3379,1980,4,2,10.1,2.2,9.9,17.8
"3",3380,1980,4,3,15.4,3.7,4.6,16.3
"4",3381,1980,4,4,20,11.3,0,8.7
"5",3382,1980,4,5,16.9,8.8,3.1,11.2
"6",3383,1980,4,6,9.1,4.4,10.9,15.6
"7",3384,1980,4,7,10.9,2.4,9.1,17.6
"8",3385,1980,4,8,13.4,8.1,6.6,11.9
"9",3386,1980,4,9,10.7,5.6,9.3,14.4
"10",3387,1980,4,10,9.4,5,10.6,15
"11",3388,1980,4,11,20.3,5.9,0,14.1
"12",3389,1980,4,12,14.9,6.1,5.1,13.9
"13",3390,1980,4,13,8.3,5.8,11.7,14.2
"14",3391,1980,4,14,5.8,2.3,14.2,17.7
"15",3392,1980,4,15,8.2,1.5,11.8,18.5
"16",3393,1980,4,16,6.9,3.5,13.1,16.5
"17",3394,1980,4,17,11.2,3.6,8.8,16.4
"18",3395,1980,4,18,13.8,4.7,6.2,15.3
"19",3396,1980,4,19,24.9,8.3,2.9,11.7
"20",3397,1980,4,20,17.8,8.2,2.2,11.8
"21",3398,1980,4,21,18.6,3.6,1.4,16.4
"22",3399,1980,4,22,14.1,6.5,5.9,13.5
"23",3400,1980,4,23,14,5,6,15
"24",3401,1980,4,24,12.4,2.3,7.6,17.7
"25",3402,1980,4,25,13.6,4.7,6.4,15.3
"26",3403,1980,4,26,18.1,5.3,1.9,14.7
"27",3404,1980,4,27,13,8.4,7,11.6
"28",3405,1980,4,28,13.5,6.8,6.5,13.2
"29",3406,1980,4,29,15.3,6.8,4.7,13.2
"30",3407,1980,4,30,18.8,9,1.2,11
"31",3743,1981,4,1,9.6,5,10.4,15
"32",3744,1981,4,2,9.5,2,10.5,18
"33",3745,1981,4,3,13.6,5.7,6.4,14.3
"34",3746,1981,4,4,14.7,5.2,5.3,14.8
"35",3747,1981,4,5,8.6,5,11.4,15
"36",3748,1981,4,6,13.5,5,6.5,15
"37",3749,1981,4,7,13.1,5.8,6.9,14.2
"38",3750,1981,4,8,12.2,5.3,7.8,14.7
"39",3751,1981,4,9,11.6,7.6,8.4,12.4
"40",3752,1981,4,10,15.7,6.7,4.3,13.3
"41",3753,1981,4,11,22.3,12.5,0.300000000000001,7.5
"42",3754,1981,4,12,17.3,6.5,2.7,13.5
"43",3755,1981,4,13,10.4,5.3,9.6,14.7
"44",3756,1981,4,14,15.8,7,4.2,13
"45",3757,1981,4,15,15.5,9.2,4.5,10.8
"46",3758,1981,4,16,12,5.1,8,14.9
"47",3759,1981,4,17,17.2,4.1,2.8,15.9
"48",3760,1981,4,18,18.1,8.3,1.9,11.7
"49",3761,1981,4,19,8.3,5.8,11.7,14.2
