"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3135,1980,4,1,11.8,1.7,8.2,18.3
"2",3136,1980,4,2,12.9,-2.3,7.1,22.3
"3",3137,1980,4,3,20.5,-1.8,0,21.8
"4",3138,1980,4,4,23.1,1,1.1,19
"5",3139,1980,4,5,17.8,14.8,2.2,5.2
"6",3140,1980,4,6,15.4,5.3,4.6,14.7
"7",3141,1980,4,7,15.6,4.5,4.4,15.5
"8",3142,1980,4,8,16.3,5.2,3.7,14.8
"9",3143,1980,4,9,18.3,4.6,1.7,15.4
"10",3144,1980,4,10,17.8,1,2.2,19
"11",3145,1980,4,11,19.2,1.5,0.800000000000001,18.5
"12",3146,1980,4,12,15.4,8,4.6,12
"13",3147,1980,4,13,10.3,7.4,9.7,12.6
"14",3148,1980,4,14,7.8,2,12.2,18
"15",3149,1980,4,15,11.4,-0.6,8.6,20.6
"16",3150,1980,4,16,10.4,2.2,9.6,17.8
"17",3151,1980,4,17,12,3,8,17
"18",3152,1980,4,18,19.9,0.4,0.100000000000001,19.6
"19",3153,1980,4,19,21.3,3.7,0,16.3
"20",3154,1980,4,20,13.6,3,6.4,17
"21",3155,1980,4,21,14.9,0.3,5.1,19.7
"22",3156,1980,4,22,16.4,-0.7,3.6,20.7
"23",3157,1980,4,23,13.5,1.2,6.5,18.8
"24",3158,1980,4,24,14.1,-0.6,5.9,20.6
"25",3159,1980,4,25,17,-0.7,3,20.7
"26",3160,1980,4,26,20.7,-0.2,0,20.2
"27",3161,1980,4,27,15.1,6.6,4.9,13.4
"28",3162,1980,4,28,15.4,3.8,4.6,16.2
"29",3163,1980,4,29,19.2,2.8,0.800000000000001,17.2
"30",3164,1980,4,30,20.7,5.5,0,14.5
"31",3500,1981,4,1,10.1,6.4,9.9,13.6
"32",3501,1981,4,2,13.4,0.7,6.6,19.3
"33",3502,1981,4,3,11.6,-3.4,8.4,23.4
"34",3503,1981,4,4,18.4,2.5,1.6,17.5
"35",3504,1981,4,5,12.9,6,7.1,14
"36",3505,1981,4,6,19.7,6.1,0.300000000000001,13.9
"37",3506,1981,4,7,23.6,1.9,1.6,18.1
"38",3507,1981,4,8,23.9,7.9,1.9,12.1
"39",3508,1981,4,9,22.6,10,0.600000000000001,10
"40",3509,1981,4,10,19.3,8.7,0.699999999999999,11.3
"41",3510,1981,4,11,19.2,7.5,0.800000000000001,12.5
"42",3511,1981,4,12,20.1,5.5,0,14.5
"43",3512,1981,4,13,16.2,4.7,3.8,15.3
"44",3513,1981,4,14,18.9,-0.1,1.1,20.1
"45",3514,1981,4,15,20.4,2.1,0,17.9
"46",3515,1981,4,16,12.3,3.8,7.7,16.2
"47",3516,1981,4,17,17.8,3.6,2.2,16.4
"48",3517,1981,4,18,21.3,3.5,0,16.5
"49",3518,1981,4,19,13.8,5.5,6.2,14.5
"50",3519,1981,4,20,15.2,0.3,4.8,19.7
"51",3520,1981,4,21,20.6,1,0,19
"52",3521,1981,4,22,22.4,1.3,0.399999999999999,18.7
"53",3522,1981,4,23,23.4,4.2,1.4,15.8
"54",3523,1981,4,24,16.6,5.6,3.4,14.4
"55",3524,1981,4,25,19.4,1.7,0.600000000000001,18.3
"56",3525,1981,4,26,24.9,1.3,2.9,18.7
"57",3526,1981,4,27,23.9,3.8,1.9,16.2
"58",3527,1981,4,28,26.5,3.9,4.5,16.1
"59",3528,1981,4,29,15.4,11,4.6,9
"60",3529,1981,4,30,18.4,8.1,1.6,11.9
"61",3865,1982,4,1,19.5,0.2,0.5,19.8
"62",3866,1982,4,2,10.7,2.8,9.3,17.2
"63",3867,1982,4,3,13.9,4.7,6.1,15.3
"64",3868,1982,4,4,15.6,-0.7,4.4,20.7
"65",3869,1982,4,5,18.3,0.1,1.7,19.9
"66",3870,1982,4,6,19.6,-1.2,0.399999999999999,21.2
"67",3871,1982,4,7,20.3,1.3,0,18.7
"68",3872,1982,4,8,15.3,1,4.7,19
"69",3873,1982,4,9,10.6,0.2,9.4,19.8
"70",3874,1982,4,10,15.7,-3.1,4.3,23.1
"71",3875,1982,4,11,19.9,-2.1,0.100000000000001,22.1
"72",3876,1982,4,12,17.7,4,2.3,16
"73",3877,1982,4,13,17.7,3.8,2.3,16.2
"74",3878,1982,4,14,21.7,3.9,0,16.1
"75",3879,1982,4,15,15.5,4.6,4.5,15.4
"76",3880,1982,4,16,13.9,-1.4,6.1,21.4
"77",3881,1982,4,17,13.5,2,6.5,18
"78",3882,1982,4,18,16.6,-1.6,3.4,21.6
"79",3883,1982,4,19,19.7,-1.1,0.300000000000001,21.1
"80",3884,1982,4,20,16.3,2.8,3.7,17.2
"81",3885,1982,4,21,22.4,4.1,0.399999999999999,15.9
"82",3886,1982,4,22,22.8,3.4,0.800000000000001,16.6
"83",3887,1982,4,23,22.6,5,0.600000000000001,15
"84",3888,1982,4,24,25.7,5.2,3.7,14.8
"85",3889,1982,4,25,28.1,5.8,6.1,14.2
"86",3890,1982,4,26,27.1,9.2,5.1,10.8
"87",3891,1982,4,27,18.6,9.4,1.4,10.6
"88",3892,1982,4,28,17.1,8.3,2.9,11.7
"89",3893,1982,4,29,21.2,11.7,0,8.3
"90",3894,1982,4,30,23.6,9.6,1.6,10.4
"91",4230,1983,4,1,16,0.8,4,19.2
"92",4231,1983,4,2,10.6,-0.2,9.4,20.2
"93",4232,1983,4,3,6.9,-3.4,13.1,23.4
"94",4233,1983,4,4,12.3,-2.3,7.7,22.3
"95",4234,1983,4,5,19.1,0.2,0.899999999999999,19.8
"96",4235,1983,4,6,23.4,1.1,1.4,18.9
"97",4236,1983,4,7,22.6,5,0.600000000000001,15
"98",4237,1983,4,8,24.7,3.9,2.7,16.1
"99",4238,1983,4,9,22.8,6.6,0.800000000000001,13.4
"100",4239,1983,4,10,24.4,11.9,2.4,8.1
"101",4240,1983,4,11,22.3,8.3,0.300000000000001,11.7
"102",4241,1983,4,12,22.8,9.1,0.800000000000001,10.9
"103",4242,1983,4,13,23.9,6.4,1.9,13.6
"104",4243,1983,4,14,18.5,13.9,1.5,6.1
"105",4244,1983,4,15,15.2,5,4.8,15
"106",4245,1983,4,16,15.4,-0.4,4.6,20.4
"107",4246,1983,4,17,20.6,-0.2,0,20.2
"108",4247,1983,4,18,23.4,1.8,1.4,18.2
"109",4248,1983,4,19,21.8,9.3,0,10.7
"110",4249,1983,4,20,20.5,5.2,0,14.8
"111",4250,1983,4,21,20.4,3.1,0,16.9
"112",4251,1983,4,22,16.4,5.8,3.6,14.2
"113",4252,1983,4,23,21.7,0.6,0,19.4
"114",4253,1983,4,24,23.6,4.9,1.6,15.1
"115",4254,1983,4,25,26,5.9,4,14.1
"116",4255,1983,4,26,27.9,15.3,5.9,4.7
"117",4256,1983,4,27,25,10.7,3,9.3
"118",4257,1983,4,28,19.6,12.8,0.399999999999999,7.2
"119",4258,1983,4,29,16.1,2.1,3.9,17.9
"120",4259,1983,4,30,17.2,1.6,2.8,18.4
"121",4596,1984,4,1,13.6,0.9,6.4,19.1
"122",4597,1984,4,2,13,-1.5,7,21.5
"123",4598,1984,4,3,19.2,3.3,0.800000000000001,16.7
"124",4599,1984,4,4,21,7.2,0,12.8
"125",4600,1984,4,5,11.1,4.3,8.9,15.7
"126",4601,1984,4,6,10.1,-2.5,9.9,22.5
"127",4602,1984,4,7,14.3,-3.8,5.7,23.8
"128",4603,1984,4,8,17.2,-2.8,2.8,22.8
