"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3375,1980,4,1,13.9,1.4,6.1,18.6
"2",3376,1980,4,2,14.1,-1.4,5.9,21.4
"3",3377,1980,4,3,20.5,-2.8,0,22.8
"4",3378,1980,4,4,22.5,-1,0.5,21
"5",3379,1980,4,5,21,15.5,0,4.5
"6",3380,1980,4,6,21.3,7.1,0,12.9
"7",3381,1980,4,7,16.9,6.3,3.1,13.7
"8",3382,1980,4,8,17.1,4.2,2.9,15.8
"9",3383,1980,4,9,18.1,4.6,1.9,15.4
"10",3384,1980,4,10,16.9,3.3,3.1,16.7
"11",3385,1980,4,11,21.3,0,0,20
"12",3386,1980,4,12,13,9.7,7,10.3
"13",3387,1980,4,13,11.9,8.5,8.1,11.5
"14",3388,1980,4,14,8.5,4.3,11.5,15.7
"15",3389,1980,4,15,11.9,2.8,8.1,17.2
"16",3390,1980,4,16,10.9,3.4,9.1,16.6
"17",3391,1980,4,17,13.7,1.4,6.3,18.6
"18",3392,1980,4,18,18.2,1.2,1.8,18.8
"19",3393,1980,4,19,22.5,7.8,0.5,12.2
"20",3394,1980,4,20,17.1,6,2.9,14
"21",3395,1980,4,21,17.3,0.7,2.7,19.3
"22",3396,1980,4,22,18.5,0.1,1.5,19.9
"23",3397,1980,4,23,15.4,2.2,4.6,17.8
"24",3398,1980,4,24,15.3,-0.4,4.7,20.4
"25",3399,1980,4,25,18.5,0.6,1.5,19.4
"26",3400,1980,4,26,22.7,0,0.699999999999999,20
"27",3401,1980,4,27,12.3,6.9,7.7,13.1
"28",3402,1980,4,28,17.5,4.4,2.5,15.6
"29",3403,1980,4,29,22.1,2.2,0.100000000000001,17.8
"30",3404,1980,4,30,22.7,8.8,0.699999999999999,11.2
"31",3740,1981,4,1,13.1,3.2,6.9,16.8
"32",3741,1981,4,2,14.4,1,5.6,19
"33",3742,1981,4,3,13.9,-3.7,6.1,23.7
"34",3743,1981,4,4,18.3,5.7,1.7,14.3
"35",3744,1981,4,5,12.4,4.8,7.6,15.2
"36",3745,1981,4,6,21.4,5.4,0,14.6
"37",3746,1981,4,7,23.4,1.8,1.4,18.2
"38",3747,1981,4,8,21.6,1.5,0,18.5
"39",3748,1981,4,9,16,8.6,4,11.4
"40",3749,1981,4,10,20.2,9.1,0,10.9
"41",3750,1981,4,11,23.3,6.3,1.3,13.7
"42",3751,1981,4,12,23.2,5.1,1.2,14.9
"43",3752,1981,4,13,18.2,5.3,1.8,14.7
"44",3753,1981,4,14,19.8,0.1,0.199999999999999,19.9
"45",3754,1981,4,15,19.8,3.5,0.199999999999999,16.5
"46",3755,1981,4,16,14.6,5.1,5.4,14.9
"47",3756,1981,4,17,20.9,2.1,0,17.9
"48",3757,1981,4,18,20.8,3.7,0,16.3
"49",3758,1981,4,19,14.1,7.7,5.9,12.3
"50",3759,1981,4,20,16.2,1.5,3.8,18.5
