"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3974,1980,4,1,13.4,1.5,6.6,18.5
"2",3975,1980,4,2,14.3,0.6,5.7,19.4
"3",3976,1980,4,3,21.6,1.5,0,18.5
"4",3977,1980,4,4,23.6,8.5,1.6,11.5
"5",3978,1980,4,5,20.3,15.7,0,4.3
"6",3979,1980,4,6,18.7,5,1.3,15
"7",3980,1980,4,7,17.2,2.5,2.8,17.5
"8",3981,1980,4,8,17.2,4.2,2.8,15.8
"9",3982,1980,4,9,17,3,3,17
"10",3983,1980,4,10,18.5,1,1.5,19
"11",3984,1980,4,11,21.2,2.8,0,17.2
"12",3985,1980,4,12,18.2,13.2,1.8,6.8
"13",3986,1980,4,13,15.4,5.1,4.6,14.9
"14",3987,1980,4,14,10.6,4,9.4,16
"15",3988,1980,4,15,10.4,3.4,9.6,16.6
"16",3989,1980,4,16,11,4.4,9,15.6
"17",3990,1980,4,17,14,5.2,6,14.8
"18",3991,1980,4,18,19.8,6.6,0.199999999999999,13.4
"19",3992,1980,4,19,22.1,10.1,0.100000000000001,9.9
"20",3993,1980,4,20,16.4,3.4,3.6,16.6
"21",3994,1980,4,21,16.2,2.2,3.8,17.8
"22",3995,1980,4,22,19.2,1,0.800000000000001,19
"23",3996,1980,4,23,14.9,2.2,5.1,17.8
"24",3997,1980,4,24,14,1.3,6,18.7
"25",3998,1980,4,25,17,2.4,3,17.6
"26",3999,1980,4,26,24.8,2,2.8,18
"27",4000,1980,4,27,13.4,8.6,6.6,11.4
"28",4001,1980,4,28,17.8,6.3,2.2,13.7
"29",4002,1980,4,29,22.8,4.8,0.800000000000001,15.2
"30",4003,1980,4,30,21.6,6.1,0,13.9
"31",4339,1981,4,1,13.5,5.6,6.5,14.4
"32",4340,1981,4,2,12.2,1.4,7.8,18.6
"33",4341,1981,4,3,10,-1.9,10,21.9
"34",4342,1981,4,4,16.9,4.2,3.1,15.8
"35",4343,1981,4,5,13.2,2.6,6.8,17.4
"36",4344,1981,4,6,17.6,1.1,2.4,18.9
"37",4345,1981,4,7,24.8,2.1,2.8,17.9
"38",4346,1981,4,8,22.7,6.8,0.699999999999999,13.2
"39",4347,1981,4,9,17,11.6,3,8.4
"40",4348,1981,4,10,16.4,9.3,3.6,10.7
"41",4349,1981,4,11,20.2,7.8,0,12.2
"42",4350,1981,4,12,18.6,8.2,1.4,11.8
"43",4351,1981,4,13,14.5,4.2,5.5,15.8
"44",4352,1981,4,14,18.6,2.7,1.4,17.3
"45",4353,1981,4,15,17.8,6.9,2.2,13.1
"46",4354,1981,4,16,11.6,7.8,8.4,12.2
"47",4355,1981,4,17,18.1,4.4,1.9,15.6
"48",4356,1981,4,18,18.2,6.4,1.8,13.6
"49",4357,1981,4,19,14.1,8,5.9,12
"50",4358,1981,4,20,16.2,5.2,3.8,14.8
"51",4359,1981,4,21,22.6,3.4,0.600000000000001,16.6
"52",4360,1981,4,22,23.6,5.4,1.6,14.6
"53",4361,1981,4,23,24.7,5.6,2.7,14.4
"54",4362,1981,4,24,22.7,4.9,0.699999999999999,15.1
"55",4363,1981,4,25,21,3.2,0,16.8
"56",4364,1981,4,26,24.6,4.4,2.6,15.6
"57",4365,1981,4,27,23.6,5.2,1.6,14.8
"58",4366,1981,4,28,24.4,4.6,2.4,15.4
"59",4367,1981,4,29,23.1,10.2,1.1,9.8
"60",4368,1981,4,30,22.5,4,0.5,16
"61",4704,1982,4,1,20.3,3.2,0,16.8
"62",4705,1982,4,2,14.8,5.9,5.2,14.1
"63",4706,1982,4,3,14.5,4.6,5.5,15.4
"64",4707,1982,4,4,15.3,2.4,4.7,17.6
"65",4708,1982,4,5,16.3,3.5,3.7,16.5
"66",4709,1982,4,6,17.4,3.4,2.6,16.6
"67",4710,1982,4,7,19,3.2,1,16.8
"68",4711,1982,4,8,16.6,3.2,3.4,16.8
"69",4712,1982,4,9,11.3,1.1,8.7,18.9
"70",4713,1982,4,10,15.6,-0.3,4.4,20.3
"71",4714,1982,4,11,18,0.2,2,19.8
"72",4715,1982,4,12,18.1,2.8,1.9,17.2
"73",4716,1982,4,13,21.4,5.8,0,14.2
"74",4717,1982,4,14,21,5.7,0,14.3
"75",4718,1982,4,15,17.5,4.8,2.5,15.2
"76",4719,1982,4,16,15.6,1.1,4.4,18.9
"77",4720,1982,4,17,15.4,2.6,4.6,17.4
"78",4721,1982,4,18,16.9,1.6,3.1,18.4
"79",4722,1982,4,19,22,1.4,0,18.6
"80",4723,1982,4,20,16.5,3.3,3.5,16.7
"81",4724,1982,4,21,20.6,7.1,0,12.9
"82",4725,1982,4,22,22.8,3.8,0.800000000000001,16.2
"83",4726,1982,4,23,24.9,5.2,2.9,14.8
"84",4727,1982,4,24,25.4,6.7,3.4,13.3
"85",4728,1982,4,25,28.1,10.1,6.1,9.9
"86",4729,1982,4,26,22.5,14.5,0.5,5.5
"87",4730,1982,4,27,22.6,13.9,0.600000000000001,6.1
"88",4731,1982,4,28,16.6,13.7,3.4,6.3
"89",4732,1982,4,29,17.4,10.4,2.6,9.6
"90",4733,1982,4,30,21.7,9.5,0,10.5
"91",5069,1983,4,1,15.9,4,4.1,16
"92",5070,1983,4,2,11.5,0.2,8.5,19.8
"93",5071,1983,4,3,14.1,-1,5.9,21
"94",5072,1983,4,4,15.2,-0.4,4.8,20.4
"95",5073,1983,4,5,21.6,2.8,0,17.2
"96",5074,1983,4,6,24.4,7.1,2.4,12.9
"97",5075,1983,4,7,19.4,11.9,0.600000000000001,8.1
"98",5076,1983,4,8,23.6,10.5,1.6,9.5
"99",5077,1983,4,9,20.8,9.8,0,10.2
"100",5078,1983,4,10,19.6,14,0.399999999999999,6
"101",5079,1983,4,11,22.4,10.7,0.399999999999999,9.3
"102",5080,1983,4,12,21.5,8.4,0,11.6
"103",5081,1983,4,13,22.5,8,0.5,12
"104",5082,1983,4,14,21.2,13,0,7
"105",5083,1983,4,15,13,5.5,7,14.5
"106",5084,1983,4,16,13.6,2.5,6.4,17.5
"107",5085,1983,4,17,20,0.4,0,19.6
"108",5086,1983,4,18,23.8,4,1.8,16
"109",5087,1983,4,19,17.9,7.2,2.1,12.8
"110",5088,1983,4,20,18.7,3.9,1.3,16.1
"111",5089,1983,4,21,18.4,5.5,1.6,14.5
"112",5090,1983,4,22,18.9,6.2,1.1,13.8
"113",5091,1983,4,23,24,3.7,2,16.3
"114",5092,1983,4,24,24.9,7,2.9,13
"115",5093,1983,4,25,26.3,10.2,4.3,9.8
"116",5094,1983,4,26,25.1,16.8,3.1,3.2
"117",5095,1983,4,27,26.1,12.7,4.1,7.3
"118",5096,1983,4,28,19.8,14.4,0.199999999999999,5.6
"119",5097,1983,4,29,17.4,3.8,2.6,16.2
"120",5098,1983,4,30,18,3.2,2,16.8
"121",5435,1984,4,1,15.6,4.8,4.4,15.2
"122",5436,1984,4,2,17.1,0.8,2.9,19.2
"123",5437,1984,4,3,13.6,6.5,6.4,13.5
"124",5438,1984,4,4,20.9,10,0,10
"125",5439,1984,4,5,14,2.4,6,17.6
"126",5440,1984,4,6,11.7,-2.2,8.3,22.2
"127",5441,1984,4,7,16.3,-2.3,3.7,22.3
"128",5442,1984,4,8,20.7,-1.3,0,21.3
"129",5443,1984,4,9,8.9,6.5,11.1,13.5
"130",5444,1984,4,10,19,4.3,1,15.7
"131",5445,1984,4,11,20.1,2.5,0,17.5
"132",5446,1984,4,12,20.6,2.9,0,17.1
"133",5447,1984,4,13,21.7,4.9,0,15.1
"134",5448,1984,4,14,23.1,2,1.1,18
"135",5449,1984,4,15,22.5,10.1,0.5,9.9
"136",5450,1984,4,16,24.9,15.9,2.9,4.1
"137",5451,1984,4,17,25,13.4,3,6.6
"138",5452,1984,4,18,15.2,7.3,4.8,12.7
"139",5453,1984,4,19,17.7,6.5,2.3,13.5
"140",5454,1984,4,20,18.3,3.4,1.7,16.6
"141",5455,1984,4,21,19.4,7.1,0.600000000000001,12.9
"142",5456,1984,4,22,20.7,4,0,16
"143",5457,1984,4,23,21.4,4.9,0,15.1
"144",5458,1984,4,24,24.9,6.3,2.9,13.7
"145",5459,1984,4,25,21.1,10.5,0,9.5
"146",5460,1984,4,26,21.9,12,0,8
"147",5461,1984,4,27,25.6,9.7,3.6,10.3
"148",5462,1984,4,28,20.2,11.8,0,8.2
"149",5463,1984,4,29,20.4,10,0,10
"150",5464,1984,4,30,22,8.2,0,11.8
"151",5800,1985,4,1,15.1,-2.7,4.9,22.7
"152",5801,1985,4,2,17.9,2.6,2.1,17.4
"153",5802,1985,4,3,16.4,6.7,3.6,13.3
"154",5803,1985,4,4,12.4,2,7.6,18
"155",5804,1985,4,5,15.3,-0.3,4.7,20.3
"156",5805,1985,4,6,12.8,1,7.2,19
"157",5806,1985,4,7,21.6,7.5,0,12.5
"158",5807,1985,4,8,22.4,4.5,0.399999999999999,15.5
"159",5808,1985,4,9,26.4,3.7,4.4,16.3
"160",5809,1985,4,10,21.4,7.9,0,12.1
"161",5810,1985,4,11,15,9.7,5,10.3
"162",5811,1985,4,12,15.6,4.3,4.4,15.7
"163",5812,1985,4,13,19.8,0.3,0.199999999999999,19.7
"164",5813,1985,4,14,17.4,6.3,2.6,13.7
"165",5814,1985,4,15,21.3,3.1,0,16.9
"166",5815,1985,4,16,21.6,4.2,0,15.8
"167",5816,1985,4,17,17.4,6.3,2.6,13.7
"168",5817,1985,4,18,20.9,7.1,0,12.9
"169",5818,1985,4,19,16.8,7.6,3.2,12.4
"170",5819,1985,4,20,20.1,6.3,0,13.7
"171",5820,1985,4,21,23.5,6,1.5,14
"172",5821,1985,4,22,19.6,10,0.399999999999999,10
"173",5822,1985,4,23,20.9,5.4,0,14.6
"174",5823,1985,4,24,20.7,3.4,0,16.6
"175",5824,1985,4,25,26.9,5.5,4.9,14.5
"176",5825,1985,4,26,20.7,6.5,0,13.5
"177",5826,1985,4,27,19.1,3.4,0.899999999999999,16.6
"178",5827,1985,4,28,21.7,1.3,0,18.7
"179",5828,1985,4,29,25.3,6.4,3.3,13.6
"180",5829,1985,4,30,26.4,15.1,4.4,4.9
"181",6165,1986,4,1,18.2,-1,1.8,21
"182",6166,1986,4,2,20.6,0.5,0,19.5
"183",6167,1986,4,3,14.2,5.3,5.8,14.7
"184",6168,1986,4,4,19.2,6.1,0.800000000000001,13.9
"185",6169,1986,4,5,19.3,4.3,0.699999999999999,15.7
"186",6170,1986,4,6,16.6,0.7,3.4,19.3
"187",6171,1986,4,7,16.4,-0.8,3.6,20.8
"188",6172,1986,4,8,17.6,2.9,2.4,17.1
"189",6173,1986,4,9,19.9,11.9,0.100000000000001,8.1
"190",6174,1986,4,10,15.9,6.4,4.1,13.6
"191",6175,1986,4,11,14.4,3,5.6,17
"192",6176,1986,4,12,16.4,-1.2,3.6,21.2
"193",6177,1986,4,13,20.7,1,0,19
"194",6178,1986,4,14,23.9,2.9,1.9,17.1
"195",6179,1986,4,15,16.7,5.4,3.3,14.6
"196",6180,1986,4,16,14.2,-0.9,5.8,20.9
"197",6181,1986,4,17,19.7,1.5,0.300000000000001,18.5
"198",6182,1986,4,18,22.9,8.1,0.899999999999999,11.9
"199",6183,1986,4,19,22.8,6.5,0.800000000000001,13.5
"200",6184,1986,4,20,16.8,4.4,3.2,15.6
"201",6185,1986,4,21,18.9,1.6,1.1,18.4
"202",6186,1986,4,22,20.9,7.4,0,12.6
"203",6187,1986,4,23,23.1,3.4,1.1,16.6
"204",6188,1986,4,24,26.4,8.5,4.4,11.5
