"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3013,1980,4,1,12.1,0.6,7.9,19.4
"2",3014,1980,4,2,11.7,-1.7,8.3,21.7
"3",3015,1980,4,3,20.4,-2.7,0,22.7
"4",3016,1980,4,4,23.4,0.2,1.4,19.8
"5",3017,1980,4,5,16,11,4,9
"6",3018,1980,4,6,14.9,4.3,5.1,15.7
"7",3019,1980,4,7,16.4,3.5,3.6,16.5
"8",3020,1980,4,8,15.4,4.9,4.6,15.1
"9",3021,1980,4,9,18.2,3.1,1.8,16.9
"10",3022,1980,4,10,16.9,2.1,3.1,17.9
"11",3023,1980,4,11,19.4,0.5,0.600000000000001,19.5
"12",3024,1980,4,12,13.2,6.8,6.8,13.2
"13",3025,1980,4,13,10.1,5.9,9.9,14.1
"14",3026,1980,4,14,7.6,1.3,12.4,18.7
"15",3027,1980,4,15,11.3,0.5,8.7,19.5
"16",3028,1980,4,16,9.9,0.5,10.1,19.5
"17",3029,1980,4,17,12,2.6,8,17.4
"18",3030,1980,4,18,18,-0.5,2,20.5
"19",3031,1980,4,19,21,4.6,0,15.4
"20",3032,1980,4,20,13.4,1.5,6.6,18.5
"21",3033,1980,4,21,14.1,-0.5,5.9,20.5
"22",3034,1980,4,22,16.2,-1.9,3.8,21.9
"23",3035,1980,4,23,13.2,1.3,6.8,18.7
"24",3036,1980,4,24,13.5,-1.6,6.5,21.6
"25",3037,1980,4,25,17.2,-1.4,2.8,21.4
"26",3038,1980,4,26,21.7,-0.9,0,20.9
"27",3039,1980,4,27,11.8,6.7,8.2,13.3
"28",3040,1980,4,28,14.3,6,5.7,14
"29",3041,1980,4,29,19,1.9,1,18.1
"30",3042,1980,4,30,20.6,5.6,0,14.4
"31",3378,1981,4,1,11.7,4.3,8.3,15.7
"32",3379,1981,4,2,13.8,3.3,6.2,16.7
"33",3380,1981,4,3,11.3,-3.5,8.7,23.5
"34",3381,1981,4,4,18.7,2.6,1.3,17.4
"35",3382,1981,4,5,12.9,5.7,7.1,14.3
"36",3383,1981,4,6,18.6,5.9,1.4,14.1
"37",3384,1981,4,7,23.4,1.7,1.4,18.3
"38",3385,1981,4,8,22.1,3.5,0.100000000000001,16.5
"39",3386,1981,4,9,20,8.7,0,11.3
"40",3387,1981,4,10,18.7,8.1,1.3,11.9
"41",3388,1981,4,11,19.1,6.3,0.899999999999999,13.7
"42",3389,1981,4,12,20,4.2,0,15.8
"43",3390,1981,4,13,14,5.4,6,14.6
"44",3391,1981,4,14,18.7,-0.1,1.3,20.1
"45",3392,1981,4,15,19.4,1.8,0.600000000000001,18.2
"46",3393,1981,4,16,13.6,3.1,6.4,16.9
"47",3394,1981,4,17,16.2,2.7,3.8,17.3
"48",3395,1981,4,18,20.7,2.1,0,17.9
"49",3396,1981,4,19,10.9,2.7,9.1,17.3
"50",3397,1981,4,20,13.4,0.4,6.6,19.6
"51",3398,1981,4,21,20.1,-0.7,0,20.7
"52",3399,1981,4,22,21.7,0.8,0,19.2
"53",3400,1981,4,23,22.9,1.2,0.899999999999999,18.8
"54",3401,1981,4,24,16,2.1,4,17.9
"55",3402,1981,4,25,18.2,0.7,1.8,19.3
"56",3403,1981,4,26,24.7,0.7,2.7,19.3
