"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3378,1980,4,1,13,2.9,7,17.1
"2",3379,1980,4,2,12,-0.4,8,20.4
"3",3380,1980,4,3,21.1,0.8,0,19.2
"4",3381,1980,4,4,22.7,5.5,0.699999999999999,14.5
"5",3382,1980,4,5,18.9,15.3,1.1,4.7
"6",3383,1980,4,6,15.8,4.3,4.2,15.7
"7",3384,1980,4,7,14.5,3.2,5.5,16.8
"8",3385,1980,4,8,15.7,6.9,4.3,13.1
"9",3386,1980,4,9,14.3,4.2,5.7,15.8
"10",3387,1980,4,10,17,0.1,3,19.9
"11",3388,1980,4,11,19.1,2.6,0.899999999999999,17.4
"12",3389,1980,4,12,14,10.7,6,9.3
"13",3390,1980,4,13,10.8,5.6,9.2,14.4
"14",3391,1980,4,14,8.8,4.6,11.2,15.4
"15",3392,1980,4,15,10.7,2.6,9.3,17.4
"16",3393,1980,4,16,10.5,2.7,9.5,17.3
"17",3394,1980,4,17,13.5,3.7,6.5,16.3
"18",3395,1980,4,18,20.6,3.6,0,16.4
"19",3396,1980,4,19,20.3,6.2,0,13.8
"20",3397,1980,4,20,14.9,4,5.1,16
"21",3398,1980,4,21,15.5,1.5,4.5,18.5
"22",3399,1980,4,22,16.9,0.1,3.1,19.9
"23",3400,1980,4,23,13.1,2.6,6.9,17.4
"24",3401,1980,4,24,13.2,2,6.8,18
"25",3402,1980,4,25,16,0.8,4,19.2
"26",3403,1980,4,26,20.6,0.7,0,19.3
"27",3404,1980,4,27,12.5,6.9,7.5,13.1
"28",3405,1980,4,28,16.1,5.4,3.9,14.6
"29",3406,1980,4,29,18.3,3.6,1.7,16.4
"30",3407,1980,4,30,19.5,7.5,0.5,12.5
"31",3743,1981,4,1,10.5,4.8,9.5,15.2
"32",3744,1981,4,2,11.4,0.8,8.6,19.2
"33",3745,1981,4,3,10.9,-2.9,9.1,22.9
"34",3746,1981,4,4,15.7,2.5,4.3,17.5
"35",3747,1981,4,5,10,3,10,17
