"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3104,1980,7,1,26.3,18.6,1.3,3.4
"2",3105,1980,7,2,27.3,19.9,2.3,2.1
"3",3106,1980,7,3,22,18.5,0,3.5
"4",3107,1980,7,4,24.9,18.6,0,3.4
"5",3108,1980,7,5,26.3,18.5,1.3,3.5
"6",3109,1980,7,6,24.7,19.2,0,2.8
"7",3110,1980,7,7,30.5,17.8,5.5,4.2
"8",3111,1980,7,8,29.8,19.4,4.8,2.6
"9",3112,1980,7,9,27.5,21.1,2.5,0.899999999999999
"10",3113,1980,7,10,24.9,19.9,0,2.1
"11",3114,1980,7,11,25.1,20.1,0.100000000000001,1.9
"12",3115,1980,7,12,25.9,19.8,0.899999999999999,2.2
"13",3116,1980,7,13,24.1,19.7,0,2.3
"14",3117,1980,7,14,26.4,20.2,1.4,1.8
"15",3118,1980,7,15,29.3,19.1,4.3,2.9
"16",3119,1980,7,16,25.9,20.6,0.899999999999999,1.4
"17",3120,1980,7,17,21.4,18.3,0.600000000000001,3.7
"18",3121,1980,7,18,23.6,19.6,0,2.4
"19",3122,1980,7,19,29,21.9,4,0.100000000000001
"20",3123,1980,7,20,32.2,23.1,7.2,0
"21",3124,1980,7,21,32.8,22.8,7.8,0
"22",3125,1980,7,22,31.1,22.7,6.1,0
"23",3126,1980,7,23,28.5,21.1,3.5,0.899999999999999
"24",3127,1980,7,24,31.9,17.2,6.9,4.8
"25",3128,1980,7,25,27.3,19.5,2.3,2.5
"26",3129,1980,7,26,30.7,21.8,5.7,0.199999999999999
"27",3130,1980,7,27,30.8,20.5,5.8,1.5
"28",3131,1980,7,28,27.7,21.7,2.7,0.300000000000001
"29",3132,1980,7,29,25.1,22.8,0.100000000000001,0
"30",3133,1980,7,30,23.2,21,0,1
"31",3134,1980,7,31,26.6,19.9,1.6,2.1
"32",3135,1980,8,1,27.9,17.7,2.9,4.3
"33",3136,1980,8,2,27.4,15.8,2.4,6.2
"34",3137,1980,8,3,27.7,17.7,2.7,4.3
"35",3138,1980,8,4,26.7,18.7,1.7,3.3
"36",3139,1980,8,5,23.4,20.3,0,1.7
"37",3140,1980,8,6,24.9,19.1,0,2.9
"38",3141,1980,8,7,22.6,19.2,0,2.8
"39",3142,1980,8,8,24.5,19.2,0,2.8
"40",3143,1980,8,9,28.8,19.9,3.8,2.1
"41",3144,1980,8,10,30.1,18.1,5.1,3.9
"42",3145,1980,8,11,28.8,17.8,3.8,4.2
"43",3146,1980,8,12,26.6,19.8,1.6,2.2
"44",3147,1980,8,13,25.7,22.1,0.699999999999999,0
"45",3148,1980,8,14,26.1,20.3,1.1,1.7
"46",3149,1980,8,15,21.9,20.2,0.100000000000001,1.8
"47",3150,1980,8,16,23.9,20.8,0,1.2
"48",3151,1980,8,17,23.6,20.1,0,1.9
"49",3152,1980,8,18,26.6,20.3,1.6,1.7
"50",3153,1980,8,19,29.2,19.4,4.2,2.6
"51",3154,1980,8,20,29.4,21.2,4.4,0.800000000000001
"52",3155,1980,8,21,29.2,20.6,4.2,1.4
"53",3156,1980,8,22,27.3,20,2.3,2
"54",3157,1980,8,23,30.9,18.8,5.9,3.2
"55",3158,1980,8,24,28.3,19.4,3.3,2.6
"56",3159,1980,8,25,22.2,18.6,0,3.4
"57",3160,1980,8,26,29.3,21.9,4.3,0.100000000000001
"58",3161,1980,8,27,28.1,21.1,3.1,0.899999999999999
"59",3162,1980,8,28,23.5,20.1,0,1.9
"60",3163,1980,8,29,22.4,19.8,0,2.2
"61",3164,1980,8,30,21.7,20.4,0.300000000000001,1.6
"62",3165,1980,8,31,29.6,20.1,4.6,1.9
"63",3469,1981,7,1,26.2,20.7,1.2,1.3
"64",3470,1981,7,2,27.8,21.6,2.8,0.399999999999999
"65",3471,1981,7,3,25.3,22.7,0.300000000000001,0
"66",3472,1981,7,4,28.8,22.2,3.8,0
"67",3473,1981,7,5,29.9,21.8,4.9,0.199999999999999
"68",3474,1981,7,6,25.4,22.4,0.399999999999999,0
"69",3475,1981,7,7,32.8,20.9,7.8,1.1
"70",3476,1981,7,8,31.4,21.3,6.4,0.699999999999999
"71",3477,1981,7,9,26.1,22.4,1.1,0
"72",3478,1981,7,10,24.6,20,0,2
"73",3479,1981,7,11,24.8,19.1,0,2.9
"74",3480,1981,7,12,29.3,23.8,4.3,0
"75",3481,1981,7,13,32.2,23.6,7.2,0
"76",3482,1981,7,14,33.2,24.3,8.2,0
"77",3483,1981,7,15,33.8,23.9,8.8,0
"78",3484,1981,7,16,32.9,24,7.9,0
"79",3485,1981,7,17,34.1,23.9,9.1,0
"80",3486,1981,7,18,35.3,21.9,10.3,0.100000000000001
"81",3487,1981,7,19,36.1,22.6,11.1,0
"82",3488,1981,7,20,35.6,22.9,10.6,0
"83",3489,1981,7,21,35.1,22.2,10.1,0
"84",3490,1981,7,22,35.8,23.7,10.8,0
"85",3491,1981,7,23,32.6,24.2,7.6,0
"86",3492,1981,7,24,33.6,23.3,8.6,0
"87",3493,1981,7,25,30.6,24.2,5.6,0
"88",3494,1981,7,26,33.2,25.2,8.2,0.199999999999999
"89",3495,1981,7,27,29.9,26.1,4.9,1.1
"90",3496,1981,7,28,32.2,25.9,7.2,0.899999999999999
"91",3497,1981,7,29,33.1,25.8,8.1,0.800000000000001
"92",3498,1981,7,30,34.9,24.4,9.9,0
"93",3499,1981,7,31,32,23.4,7,0
"94",3500,1981,8,1,30.4,23.6,5.4,0
"95",3501,1981,8,2,32.6,24.6,7.6,0
"96",3502,1981,8,3,32.8,23.1,7.8,0
"97",3503,1981,8,4,28.5,21.8,3.5,0.199999999999999
"98",3504,1981,8,5,28.4,20.3,3.4,1.7
"99",3505,1981,8,6,28,19.8,3,2.2
"100",3506,1981,8,7,30.9,20.5,5.9,1.5
"101",3507,1981,8,8,33.4,21.6,8.4,0.399999999999999
"102",3508,1981,8,9,34.1,24.9,9.1,0
"103",3509,1981,8,10,27.2,22.8,2.2,0
"104",3510,1981,8,11,31.3,23.2,6.3,0
"105",3511,1981,8,12,32.2,21.4,7.2,0.600000000000001
"106",3512,1981,8,13,28.6,20.5,3.6,1.5
"107",3513,1981,8,14,29.7,18.5,4.7,3.5
"108",3514,1981,8,15,30,17.5,5,4.5
"109",3515,1981,8,16,31,17.9,6,4.1
"110",3516,1981,8,17,31.7,20.8,6.7,1.2
"111",3517,1981,8,18,32.4,23.3,7.4,0
"112",3518,1981,8,19,26.7,21.2,1.7,0.800000000000001
"113",3519,1981,8,20,30.7,24.1,5.7,0
"114",3520,1981,8,21,32.9,20.8,7.9,1.2
"115",3521,1981,8,22,32.6,19.1,7.6,2.9
"116",3522,1981,8,23,32.1,18.4,7.1,3.6
"117",3523,1981,8,24,30.9,18,5.9,4
"118",3524,1981,8,25,29,21.1,4,0.899999999999999
"119",3525,1981,8,26,28.9,23.3,3.9,0
"120",3526,1981,8,27,31.1,17.8,6.1,4.2
"121",3527,1981,8,28,28.9,18.6,3.9,3.4
"122",3528,1981,8,29,28.6,22.2,3.6,0
"123",3529,1981,8,30,31.5,25.4,6.5,0.399999999999999
"124",3530,1981,8,31,31.2,25.1,6.2,0.100000000000001
"125",3834,1982,7,1,28.2,16.9,3.2,5.1
"126",3835,1982,7,2,29.1,14.9,4.1,7.1
"127",3836,1982,7,3,29.6,16.5,4.6,5.5
"128",3837,1982,7,4,28.4,16.4,3.4,5.6
"129",3838,1982,7,5,26.5,17.6,1.5,4.4
"130",3839,1982,7,6,27.4,19.7,2.4,2.3
"131",3840,1982,7,7,32.8,21.9,7.8,0.100000000000001
"132",3841,1982,7,8,34.1,20.8,9.1,1.2
"133",3842,1982,7,9,33.4,20,8.4,2
