"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",6026,1980,7,1,22.2,17.4,0,4.6
"2",6027,1980,7,2,24.4,17.7,0,4.3
"3",6028,1980,7,3,27.2,18.5,2.2,3.5
"4",6029,1980,7,4,22.6,19,0,3
"5",6030,1980,7,5,23.3,19.2,0,2.8
"6",6031,1980,7,6,28.1,18.5,3.1,3.5
"7",6032,1980,7,7,27.9,17.8,2.9,4.2
"8",6033,1980,7,8,26.4,17.8,1.4,4.2
"9",6034,1980,7,9,28.9,18.9,3.9,3.1
"10",6035,1980,7,10,28.5,18.8,3.5,3.2
"11",6036,1980,7,11,29.2,21.4,4.2,0.600000000000001
"12",6037,1980,7,12,29.2,19,4.2,3
"13",6038,1980,7,13,29.4,18.9,4.4,3.1
"14",6039,1980,7,14,23.1,19.2,0,2.8
"15",6040,1980,7,15,27.6,19,2.6,3
"16",6041,1980,7,16,29.7,17.7,4.7,4.3
"17",6042,1980,7,17,28.9,20.4,3.9,1.6
"18",6043,1980,7,18,25.3,19.9,0.300000000000001,2.1
"19",6044,1980,7,19,29.5,20.7,4.5,1.3
"20",6045,1980,7,20,27.3,21.8,2.3,0.199999999999999
"21",6046,1980,7,21,26.5,21.2,1.5,0.800000000000001
"22",6047,1980,7,22,26.5,22.8,1.5,0
"23",6048,1980,7,23,28.2,20.8,3.2,1.2
"24",6049,1980,7,24,29.4,19.4,4.4,2.6
"25",6050,1980,7,25,24.1,20.3,0,1.7
"26",6051,1980,7,26,29.2,21.5,4.2,0.5
"27",6052,1980,7,27,27.3,22.1,2.3,0
"28",6053,1980,7,28,25.7,21.2,0.699999999999999,0.800000000000001
"29",6054,1980,7,29,25.8,21,0.800000000000001,1
"30",6055,1980,7,30,28.9,19.1,3.9,2.9
"31",6056,1980,7,31,29.1,17.3,4.1,4.7
"32",6057,1980,8,1,30,16.1,5,5.9
"33",6058,1980,8,2,29.7,16.2,4.7,5.8
"34",6059,1980,8,3,28,16,3,6
"35",6060,1980,8,4,28.3,19.8,3.3,2.2
"36",6061,1980,8,5,27.7,19.9,2.7,2.1
"37",6062,1980,8,6,27.1,19.5,2.1,2.5
"38",6063,1980,8,7,24.3,17.3,0,4.7
"39",6064,1980,8,8,23.1,17.9,0,4.1
"40",6065,1980,8,9,26.9,19.5,1.9,2.5
"41",6066,1980,8,10,27.1,20.4,2.1,1.6
"42",6067,1980,8,11,28.5,20.5,3.5,1.5
"43",6068,1980,8,12,27.6,19.1,2.6,2.9
"44",6069,1980,8,13,25.3,20.5,0.300000000000001,1.5
"45",6070,1980,8,14,27,21.1,2,0.899999999999999
"46",6071,1980,8,15,29.5,20.6,4.5,1.4
"47",6072,1980,8,16,28.7,20.1,3.7,1.9
"48",6073,1980,8,17,23.6,19.6,0,2.4
"49",6074,1980,8,18,27.3,20.2,2.3,1.8
"50",6075,1980,8,19,28.3,21.5,3.3,0.5
"51",6076,1980,8,20,25.7,20,0.699999999999999,2
"52",6077,1980,8,21,28.3,19.3,3.3,2.7
"53",6078,1980,8,22,30,19.3,5,2.7
"54",6079,1980,8,23,27.7,20.7,2.7,1.3
"55",6080,1980,8,24,28,20.3,3,1.7
"56",6081,1980,8,25,24.1,20.1,0,1.9
"57",6082,1980,8,26,24.4,19.8,0,2.2
"58",6083,1980,8,27,25.8,19.7,0.800000000000001,2.3
"59",6084,1980,8,28,26.1,20.1,1.1,1.9
"60",6085,1980,8,29,21.8,19.3,0.199999999999999,2.7
"61",6086,1980,8,30,26.1,19.9,1.1,2.1
"62",6087,1980,8,31,27.9,19.2,2.9,2.8
"63",6391,1981,7,1,24.6,22.5,0,0
"64",6392,1981,7,2,24.4,22.4,0,0
"65",6393,1981,7,3,23.7,21.8,0,0.199999999999999
"66",6394,1981,7,4,29.4,21,4.4,1
"67",6395,1981,7,5,25.2,23,0.199999999999999,0
"68",6396,1981,7,6,26.4,20.6,1.4,1.4
"69",6397,1981,7,7,27.3,20.2,2.3,1.8
"70",6398,1981,7,8,27,19.7,2,2.3
"71",6399,1981,7,9,25.6,20.1,0.600000000000001,1.9
"72",6400,1981,7,10,28.1,18.7,3.1,3.3
"73",6401,1981,7,11,26.3,19.5,1.3,2.5
