"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3373,1980,7,1,21,16.6,1,5.4
"2",3374,1980,7,2,23.8,17.2,0,4.8
"3",3375,1980,7,3,28.8,15.5,3.8,6.5
"4",3376,1980,7,4,23.4,19.6,0,2.4
"5",3377,1980,7,5,23,18.9,0,3.1
"6",3378,1980,7,6,29.2,18,4.2,4
"7",3379,1980,7,7,29.5,19.6,4.5,2.4
"8",3380,1980,7,8,27.5,18.6,2.5,3.4
"9",3381,1980,7,9,31.4,19.2,6.4,2.8
"10",3382,1980,7,10,29,20.4,4,1.6
"11",3383,1980,7,11,28.4,20.8,3.4,1.2
"12",3384,1980,7,12,30,18,5,4
"13",3385,1980,7,13,28,18.8,3,3.2
"14",3386,1980,7,14,22.5,18.4,0,3.6
"15",3387,1980,7,15,28.6,18.5,3.6,3.5
"16",3388,1980,7,16,30.2,18,5.2,4
"17",3389,1980,7,17,29,18.6,4,3.4
"18",3390,1980,7,18,22.6,19.4,0,2.6
"19",3391,1980,7,19,30.8,20,5.8,2
"20",3392,1980,7,20,29,20.2,4,1.8
"21",3393,1980,7,21,26.6,20.2,1.6,1.8
"22",3394,1980,7,22,26.4,21,1.4,1
"23",3395,1980,7,23,29.2,20.2,4.2,1.8
"24",3396,1980,7,24,30,18.8,5,3.2
"25",3397,1980,7,25,24.4,19.4,0,2.6
"26",3398,1980,7,26,30.2,20.8,5.2,1.2
"27",3399,1980,7,27,29.2,21,4.2,1
"28",3400,1980,7,28,25.4,20.6,0.399999999999999,1.4
"29",3401,1980,7,29,25,20.2,0,1.8
"30",3402,1980,7,30,27.6,18.4,2.6,3.6
"31",3403,1980,7,31,28.9,14.2,3.9,7.8
"32",3404,1980,8,1,29.4,13.2,4.4,8.8
"33",3405,1980,8,2,29.2,13.8,4.2,8.2
"34",3406,1980,8,3,27.2,13.4,2.2,8.6
"35",3407,1980,8,4,27.8,18.2,2.8,3.8
"36",3408,1980,8,5,26.8,19,1.8,3
"37",3409,1980,8,6,28.3,17.8,3.3,4.2
"38",3410,1980,8,7,24,16.4,0,5.6
"39",3411,1980,8,8,22.8,16.8,0,5.2
"40",3412,1980,8,9,26.4,18,1.4,4
"41",3413,1980,8,10,27.6,19.2,2.6,2.8
"42",3414,1980,8,11,28.8,19.2,3.8,2.8
"43",3415,1980,8,12,27.8,18,2.8,4
"44",3416,1980,8,13,24,20,0,2
"45",3417,1980,8,14,26,20.8,1,1.2
"46",3418,1980,8,15,28.8,19.2,3.8,2.8
"47",3419,1980,8,16,28,19.8,3,2.2
"48",3420,1980,8,17,23.5,18.8,0,3.2
"49",3421,1980,8,18,26.8,20,1.8,2
"50",3422,1980,8,19,30.2,20.1,5.2,1.9
"51",3423,1980,8,20,26,20,1,2
"52",3424,1980,8,21,28.9,19.6,3.9,2.4
"53",3425,1980,8,22,30.8,19.8,5.8,2.2
"54",3426,1980,8,23,29.6,19,4.6,3
"55",3427,1980,8,24,28.4,17.6,3.4,4.4
"56",3428,1980,8,25,24.7,19,0,3
"57",3429,1980,8,26,23.8,19.2,0,2.8
"58",3430,1980,8,27,24.8,19.6,0,2.4
"59",3431,1980,8,28,27,19.2,2,2.8
"60",3432,1980,8,29,23.3,18.6,0,3.4
"61",3433,1980,8,30,26,19.2,1,2.8
"62",3434,1980,8,31,28.4,18.2,3.4,3.8
"63",3738,1981,7,1,23.5,21.3,0,0.699999999999999
"64",3739,1981,7,2,26,21.2,1,0.800000000000001
"65",3740,1981,7,3,24.8,20,0,2
"66",3741,1981,7,4,23.4,18,0,4
"67",3742,1981,7,5,24.6,21.6,0,0.399999999999999
"68",3743,1981,7,6,28.8,21.5,3.8,0.5
"69",3744,1981,7,7,28.8,20,3.8,2
"70",3745,1981,7,8,28.4,19.2,3.4,2.8
"71",3746,1981,7,9,26.7,20,1.7,2
"72",3747,1981,7,10,30,18.1,5,3.9
