"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3466,1980,7,1,20.9,16.9,1.1,5.1
"2",3467,1980,7,2,23.2,17.9,0,4.1
"3",3468,1980,7,3,26.2,16,1.2,6
"4",3469,1980,7,4,25.5,17.9,0.5,4.1
"5",3470,1980,7,5,26.5,19.3,1.5,2.7
"6",3471,1980,7,6,26.3,18.9,1.3,3.1
"7",3472,1980,7,7,30.6,18.2,5.6,3.8
"8",3473,1980,7,8,30.3,19.2,5.3,2.8
"9",3474,1980,7,9,30.3,19.3,5.3,2.7
"10",3475,1980,7,10,26.9,19.6,1.9,2.4
"11",3476,1980,7,11,24.1,16.8,0,5.2
"12",3477,1980,7,12,29.2,15.5,4.2,6.5
"13",3478,1980,7,13,28.2,19.6,3.2,2.4
"14",3479,1980,7,14,27.5,18.9,2.5,3.1
"15",3480,1980,7,15,26.3,19.7,1.3,2.3
"16",3481,1980,7,16,27.3,18.5,2.3,3.5
"17",3482,1980,7,17,26.5,15.5,1.5,6.5
"18",3483,1980,7,18,24.1,18.7,0,3.3
"19",3484,1980,7,19,28.4,21.5,3.4,0.5
"20",3485,1980,7,20,32.2,22.1,7.2,0
"21",3486,1980,7,21,30.8,21.3,5.8,0.699999999999999
"22",3487,1980,7,22,26.7,20.6,1.7,1.4
"23",3488,1980,7,23,29.6,18.7,4.6,3.3
"24",3489,1980,7,24,29.4,16.9,4.4,5.1
"25",3490,1980,7,25,25,18.6,0,3.4
"26",3491,1980,7,26,30.4,21,5.4,1
"27",3492,1980,7,27,30,20.7,5,1.3
"28",3493,1980,7,28,25.2,21.8,0.199999999999999,0.199999999999999
"29",3494,1980,7,29,22.7,20.3,0,1.7
"30",3495,1980,7,30,24.8,17.9,0,4.1
"31",3496,1980,7,31,27.2,14,2.2,8
"32",3497,1980,8,1,28.4,15.2,3.4,6.8
"33",3498,1980,8,2,26.7,14.4,1.7,7.6
"34",3499,1980,8,3,25.3,18.3,0.300000000000001,3.7
"35",3500,1980,8,4,24.1,19.7,0,2.3
"36",3501,1980,8,5,22.5,18.6,0,3.4
"37",3502,1980,8,6,23.5,16.6,0,5.4
"38",3503,1980,8,7,21.7,16.4,0.300000000000001,5.6
"39",3504,1980,8,8,21.9,16.6,0.100000000000001,5.4
"40",3505,1980,8,9,21.5,18.1,0.5,3.9
"41",3506,1980,8,10,27.2,18.8,2.2,3.2
"42",3507,1980,8,11,27.8,18.9,2.8,3.1
"43",3508,1980,8,12,28.7,18.1,3.7,3.9
"44",3509,1980,8,13,25.1,20.3,0.100000000000001,1.7
"45",3510,1980,8,14,26.5,21,1.5,1
"46",3511,1980,8,15,25.9,20.3,0.899999999999999,1.7
"47",3512,1980,8,16,25.7,19.9,0.699999999999999,2.1
"48",3513,1980,8,17,25.5,18.2,0.5,3.8
"49",3514,1980,8,18,25.9,19.3,0.899999999999999,2.7
"50",3515,1980,8,19,28.8,19,3.8,3
"51",3516,1980,8,20,26.9,20.3,1.9,1.7
"52",3517,1980,8,21,23.7,20.1,0,1.9
"53",3518,1980,8,22,28.1,19.7,3.1,2.3
"54",3519,1980,8,23,29.9,18.1,4.9,3.9
"55",3520,1980,8,24,28.8,17,3.8,5
"56",3521,1980,8,25,21.9,19.4,0.100000000000001,2.6
"57",3522,1980,8,26,26.3,19.4,1.3,2.6
"58",3523,1980,8,27,26,19.9,1,2.1
"59",3524,1980,8,28,24.7,18.3,0,3.7
"60",3525,1980,8,29,22.7,18.1,0,3.9
"61",3526,1980,8,30,22.8,19.3,0,2.7
"62",3527,1980,8,31,28.6,18.8,3.6,3.2
"63",3831,1981,7,1,26.3,20.9,1.3,1.1
"64",3832,1981,7,2,30.9,21.3,5.9,0.699999999999999
"65",3833,1981,7,3,29.6,21.3,4.6,0.699999999999999
"66",3834,1981,7,4,25.1,20.7,0.100000000000001,1.3
"67",3835,1981,7,5,28.1,20.7,3.1,1.3
"68",3836,1981,7,6,26.8,21.1,1.8,0.899999999999999
"69",3837,1981,7,7,31,18.2,6,3.8
"70",3838,1981,7,8,31.1,19.5,6.1,2.5
"71",3839,1981,7,9,27.2,20.2,2.2,1.8
"72",3840,1981,7,10,26.3,17.6,1.3,4.4
"73",3841,1981,7,11,25,20,0,2
