"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3469,1980,7,1,20.3,17.1,1.7,4.9
"2",3470,1980,7,2,23.8,17.1,0,4.9
"3",3471,1980,7,3,27.1,18.1,2.1,3.9
"4",3472,1980,7,4,23.3,17.8,0,4.2
"5",3473,1980,7,5,24.6,19,0,3
"6",3474,1980,7,6,28.5,18.6,3.5,3.4
"7",3475,1980,7,7,27.4,18,2.4,4
"8",3476,1980,7,8,25.6,17.3,0.600000000000001,4.7
"9",3477,1980,7,9,29.1,18.7,4.1,3.3
"10",3478,1980,7,10,26.9,19.7,1.9,2.3
"11",3479,1980,7,11,27.4,19.6,2.4,2.4
"12",3480,1980,7,12,29.1,17.5,4.1,4.5
"13",3481,1980,7,13,29.5,18.5,4.5,3.5
"14",3482,1980,7,14,23.4,18.3,0,3.7
"15",3483,1980,7,15,27.8,19.1,2.8,2.9
"16",3484,1980,7,16,29.1,18.2,4.1,3.8
"17",3485,1980,7,17,26.6,20.3,1.6,1.7
"18",3486,1980,7,18,25,20.1,0,1.9
"19",3487,1980,7,19,29.2,19.5,4.2,2.5
"20",3488,1980,7,20,30.3,23.1,5.3,0
"21",3489,1980,7,21,27,22,2,0
"22",3490,1980,7,22,26.9,22.8,1.9,0
"23",3491,1980,7,23,28.4,20.9,3.4,1.1
"24",3492,1980,7,24,30.2,18.4,5.2,3.6
"25",3493,1980,7,25,24.5,19.7,0,2.3
"26",3494,1980,7,26,29.6,21.7,4.6,0.300000000000001
"27",3495,1980,7,27,30.1,22.6,5.1,0
"28",3496,1980,7,28,25.1,21.2,0.100000000000001,0.800000000000001
"29",3497,1980,7,29,24,20,0,2
"30",3498,1980,7,30,28.8,19.4,3.8,2.6
"31",3499,1980,7,31,27.6,17.2,2.6,4.8
"32",3500,1980,8,1,28.3,16.7,3.3,5.3
"33",3501,1980,8,2,28.7,17.3,3.7,4.7
"34",3502,1980,8,3,27.1,16.1,2.1,5.9
"35",3503,1980,8,4,28,18.1,3,3.9
"36",3504,1980,8,5,27.4,18.7,2.4,3.3
"37",3505,1980,8,6,24.7,18.2,0,3.8
"38",3506,1980,8,7,23.4,16.8,0,5.2
"39",3507,1980,8,8,23.9,17,0,5
"40",3508,1980,8,9,26.2,18.2,1.2,3.8
"41",3509,1980,8,10,27.5,19.5,2.5,2.5
"42",3510,1980,8,11,29.3,19.4,4.3,2.6
"43",3511,1980,8,12,27.3,19.1,2.3,2.9
"44",3512,1980,8,13,26.1,20.7,1.1,1.3
"45",3513,1980,8,14,28.3,21.1,3.3,0.899999999999999
"46",3514,1980,8,15,26.8,20.9,1.8,1.1
"47",3515,1980,8,16,28.5,21,3.5,1
"48",3516,1980,8,17,26.5,20.6,1.5,1.4
"49",3517,1980,8,18,26.9,20.1,1.9,1.9
"50",3518,1980,8,19,28.8,20.4,3.8,1.6
"51",3519,1980,8,20,25.8,19.8,0.800000000000001,2.2
"52",3520,1980,8,21,25.6,19.4,0.600000000000001,2.6
"53",3521,1980,8,22,29.6,19.3,4.6,2.7
"54",3522,1980,8,23,28.2,20.8,3.2,1.2
"55",3523,1980,8,24,28.9,18.5,3.9,3.5
"56",3524,1980,8,25,23.2,19.6,0,2.4
"57",3525,1980,8,26,26.1,19.8,1.1,2.2
"58",3526,1980,8,27,26.9,19.5,1.9,2.5
"59",3527,1980,8,28,25.6,20,0.600000000000001,2
"60",3528,1980,8,29,26.4,18.6,1.4,3.4
"61",3529,1980,8,30,24.7,19.9,0,2.1
"62",3530,1980,8,31,29,17.2,4,4.8
"63",3834,1981,7,1,24.7,21.6,0,0.399999999999999
"64",3835,1981,7,2,26.4,23,1.4,0
"65",3836,1981,7,3,28.6,22.4,3.6,0
"66",3837,1981,7,4,30.6,22.6,5.6,0
"67",3838,1981,7,5,26.3,23.6,1.3,0
"68",3839,1981,7,6,28.6,20.4,3.6,1.6
"69",3840,1981,7,7,28,17.8,3,4.2
"70",3841,1981,7,8,30.2,19.9,5.2,2.1
"71",3842,1981,7,9,27.8,19.7,2.8,2.3
"72",3843,1981,7,10,28.4,18.6,3.4,3.4
"73",3844,1981,7,11,25,19.4,0,2.6
"74",3845,1981,7,12,27.4,20.2,2.4,1.8
"75",3846,1981,7,13,25.8,19.9,0.800000000000001,2.1
"76",3847,1981,7,14,30.3,22.4,5.3,0
"77",3848,1981,7,15,30.8,23.1,5.8,0
"78",3849,1981,7,16,32.8,22,7.8,0
"79",3850,1981,7,17,32.2,23.9,7.2,0
"80",3851,1981,7,18,32.4,22,7.4,0
"81",3852,1981,7,19,32,23.3,7,0
"82",3853,1981,7,20,31.5,21.1,6.5,0.899999999999999
"83",3854,1981,7,21,30.3,22.8,5.3,0
"84",3855,1981,7,22,31.2,22.8,6.2,0
"85",3856,1981,7,23,32.1,23.9,7.1,0
"86",3857,1981,7,24,32.4,22.7,7.4,0
"87",3858,1981,7,25,34.3,24.1,9.3,0
"88",3859,1981,7,26,35.8,23.7,10.8,0
"89",3860,1981,7,27,30.6,24.1,5.6,0
"90",3861,1981,7,28,32.2,23.1,7.2,0
"91",3862,1981,7,29,32,25.2,7,0.199999999999999
"92",3863,1981,7,30,33.6,23.4,8.6,0
"93",3864,1981,7,31,34.1,22.8,9.1,0
"94",3865,1981,8,1,29.4,24,4.4,0
"95",3866,1981,8,2,31,23.5,6,0
"96",3867,1981,8,3,30,25.3,5,0.300000000000001
"97",3868,1981,8,4,30,20.9,5,1.1
"98",3869,1981,8,5,28.6,16.1,3.6,5.9
"99",3870,1981,8,6,27.6,17.7,2.6,4.3
"100",3871,1981,8,7,27.4,19.5,2.4,2.5
"101",3872,1981,8,8,30.8,20.4,5.8,1.6
"102",3873,1981,8,9,32,21.8,7,0.199999999999999
"103",3874,1981,8,10,27.8,19,2.8,3
"104",3875,1981,8,11,30.2,21.4,5.2,0.600000000000001
"105",3876,1981,8,12,29.3,19.5,4.3,2.5
"106",3877,1981,8,13,30.9,17.3,5.9,4.7
"107",3878,1981,8,14,32,19.8,7,2.2
"108",3879,1981,8,15,30.8,17.3,5.8,4.7
"109",3880,1981,8,16,30.6,17.7,5.6,4.3
"110",3881,1981,8,17,28.8,21.6,3.8,0.399999999999999
"111",3882,1981,8,18,27.4,23.2,2.4,0
"112",3883,1981,8,19,30,22.4,5,0
"113",3884,1981,8,20,28.9,21.6,3.9,0.399999999999999
"114",3885,1981,8,21,27.3,20.9,2.3,1.1
"115",3886,1981,8,22,28.6,19.4,3.6,2.6
"116",3887,1981,8,23,27.6,17.5,2.6,4.5
"117",3888,1981,8,24,29.4,16.4,4.4,5.6
"118",3889,1981,8,25,25.3,19.4,0.300000000000001,2.6
"119",3890,1981,8,26,25.7,19.3,0.699999999999999,2.7
"120",3891,1981,8,27,29.1,15.7,4.1,6.3
"121",3892,1981,8,28,30.1,15.5,5.1,6.5
"122",3893,1981,8,29,29.3,16.5,4.3,5.5
"123",3894,1981,8,30,26.3,21.2,1.3,0.800000000000001
"124",3895,1981,8,31,21.2,17.5,0.800000000000001,4.5
"125",4199,1982,7,1,29.6,16.9,4.6,5.1
"126",4200,1982,7,2,30.7,14.1,5.7,7.9
"127",4201,1982,7,3,30.8,15.6,5.8,6.4
"128",4202,1982,7,4,30.2,17,5.2,5
"129",4203,1982,7,5,30.2,18.9,5.2,3.1
"130",4204,1982,7,6,33,17.1,8,4.9
"131",4205,1982,7,7,31.4,19.3,6.4,2.7
"132",4206,1982,7,8,31.8,18.4,6.8,3.6
"133",4207,1982,7,9,34.2,17.3,9.2,4.7
"134",4208,1982,7,10,32.8,19.7,7.8,2.3
"135",4209,1982,7,11,29.2,20.6,4.2,1.4
"136",4210,1982,7,12,29.2,18,4.2,4
"137",4211,1982,7,13,26.9,19.9,1.9,2.1
"138",4212,1982,7,14,28.2,19.9,3.2,2.1
"139",4213,1982,7,15,30.8,18,5.8,4
"140",4214,1982,7,16,27.6,18.8,2.6,3.2
"141",4215,1982,7,17,29.8,15.3,4.8,6.7
"142",4216,1982,7,18,30.3,15.9,5.3,6.1
"143",4217,1982,7,19,30.6,17.8,5.6,4.2
"144",4218,1982,7,20,30.7,18.4,5.7,3.6
"145",4219,1982,7,21,31.7,17.5,6.7,4.5
"146",4220,1982,7,22,31.6,16.9,6.6,5.1
"147",4221,1982,7,23,25.2,20.5,0.199999999999999,1.5
"148",4222,1982,7,24,29.6,21.1,4.6,0.899999999999999
"149",4223,1982,7,25,24.3,20.7,0,1.3
"150",4224,1982,7,26,31.9,21.3,6.9,0.699999999999999
"151",4225,1982,7,27,29.9,19.4,4.9,2.6
"152",4226,1982,7,28,26,18.4,1,3.6
"153",4227,1982,7,29,28.8,19,3.8,3
"154",4228,1982,7,30,30.8,20.3,5.8,1.7
"155",4229,1982,7,31,32,21.5,7,0.5
"156",4230,1982,8,1,30.4,19.5,5.4,2.5
"157",4231,1982,8,2,28.1,17.4,3.1,4.6
"158",4232,1982,8,3,30.2,18,5.2,4
"159",4233,1982,8,4,33,20.6,8,1.4
"160",4234,1982,8,5,31,22,6,0
"161",4235,1982,8,6,31.4,25,6.4,0
"162",4236,1982,8,7,33,22.4,8,0
"163",4237,1982,8,8,33.4,22.4,8.4,0
"164",4238,1982,8,9,33.6,22.3,8.6,0
"165",4239,1982,8,10,33.4,20.6,8.4,1.4
"166",4240,1982,8,11,34.7,20.8,9.7,1.2
"167",4241,1982,8,12,33,20.9,8,1.1
"168",4242,1982,8,13,25.5,22.7,0.5,0
"169",4243,1982,8,14,27.5,22.7,2.5,0
"170",4244,1982,8,15,27.1,24.6,2.1,0
"171",4245,1982,8,16,30.8,24.4,5.8,0
"172",4246,1982,8,17,31.2,23.4,6.2,0
"173",4247,1982,8,18,31.6,22.4,6.6,0
"174",4248,1982,8,19,32.4,21.7,7.4,0.300000000000001
"175",4249,1982,8,20,29.2,22.9,4.2,0
"176",4250,1982,8,21,26.8,21.6,1.8,0.399999999999999
"177",4251,1982,8,22,27.9,20.2,2.9,1.8
"178",4252,1982,8,23,27.2,20.4,2.2,1.6
"179",4253,1982,8,24,27.4,17.3,2.4,4.7
"180",4254,1982,8,25,24.1,18.6,0,3.4
"181",4255,1982,8,26,28.9,21.1,3.9,0.899999999999999
"182",4256,1982,8,27,24.4,20,0,2
"183",4257,1982,8,28,26.4,19.9,1.4,2.1
"184",4258,1982,8,29,28.8,19.4,3.8,2.6
"185",4259,1982,8,30,29.2,17.2,4.2,4.8
"186",4260,1982,8,31,29.8,18.2,4.8,3.8
"187",4564,1983,7,1,30.1,20.2,5.1,1.8
"188",4565,1983,7,2,25,19.5,0,2.5
"189",4566,1983,7,3,27.9,18.6,2.9,3.4
"190",4567,1983,7,4,30.4,20.2,5.4,1.8
"191",4568,1983,7,5,28.8,19.1,3.8,2.9
"192",4569,1983,7,6,25.6,17.1,0.600000000000001,4.9
"193",4570,1983,7,7,23.9,17.5,0,4.5
"194",4571,1983,7,8,25.4,16.9,0.399999999999999,5.1
"195",4572,1983,7,9,26.9,18.9,1.9,3.1
"196",4573,1983,7,10,28.5,19.3,3.5,2.7
"197",4574,1983,7,11,29.1,18.2,4.1,3.8
"198",4575,1983,7,12,28.4,16.8,3.4,5.2
"199",4576,1983,7,13,29,18.1,4,3.9
"200",4577,1983,7,14,20.9,18.7,1.1,3.3
"201",4578,1983,7,15,29.4,19,4.4,3
"202",4579,1983,7,16,26.8,18,1.8,4
"203",4580,1983,7,17,28,15.4,3,6.6
"204",4581,1983,7,18,28.5,16.7,3.5,5.3
