"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",5295,1980,7,1,20.8,16.7,1.2,5.3
"2",5296,1980,7,2,22.2,16.4,0,5.6
"3",5297,1980,7,3,28.7,15.6,3.7,6.4
"4",5298,1980,7,4,24.8,20,0,2
"5",5299,1980,7,5,24.4,19,0,3
"6",5300,1980,7,6,29.6,18.5,4.6,3.5
"7",5301,1980,7,7,29.9,20.5,4.9,1.5
"8",5302,1980,7,8,28.8,20.6,3.8,1.4
"9",5303,1980,7,9,32.6,20.2,7.6,1.8
"10",5304,1980,7,10,31.1,21.6,6.1,0.399999999999999
"11",5305,1980,7,11,26.5,20.8,1.5,1.2
"12",5306,1980,7,12,30.3,18.6,5.3,3.4
"13",5307,1980,7,13,28.8,19.2,3.8,2.8
"14",5308,1980,7,14,22.9,18.4,0,3.6
"15",5309,1980,7,15,27.5,19.2,2.5,2.8
"16",5310,1980,7,16,29.5,17.4,4.5,4.6
"17",5311,1980,7,17,28.3,18.7,3.3,3.3
"18",5312,1980,7,18,23.7,18.7,0,3.3
"19",5313,1980,7,19,30.8,20.8,5.8,1.2
"20",5314,1980,7,20,26.1,21.6,1.1,0.399999999999999
"21",5315,1980,7,21,27.5,21.4,2.5,0.600000000000001
"22",5316,1980,7,22,28.4,22.4,3.4,0
"23",5317,1980,7,23,29.1,19.9,4.1,2.1
"24",5318,1980,7,24,30.4,19.2,5.4,2.8
"25",5319,1980,7,25,25.5,21,0.5,1
"26",5320,1980,7,26,30.1,21.4,5.1,0.600000000000001
"27",5321,1980,7,27,29.1,20.3,4.1,1.7
"28",5322,1980,7,28,24.5,21.2,0,0.800000000000001
"29",5323,1980,7,29,26.1,19.7,1.1,2.3
"30",5324,1980,7,30,27.5,18.2,2.5,3.8
"31",5325,1980,7,31,27.3,14.6,2.3,7.4
"32",5326,1980,8,1,30.2,14.2,5.2,7.8
"33",5327,1980,8,2,28.3,15.1,3.3,6.9
"34",5328,1980,8,3,25.6,15.4,0.600000000000001,6.6
"35",5329,1980,8,4,25.3,19.3,0.300000000000001,2.7
"36",5330,1980,8,5,25.9,17.6,0.899999999999999,4.4
"37",5331,1980,8,6,26.4,16.2,1.4,5.8
"38",5332,1980,8,7,24.2,16.6,0,5.4
"39",5333,1980,8,8,23.6,16.4,0,5.6
"40",5334,1980,8,9,26.5,17.8,1.5,4.2
"41",5335,1980,8,10,24.1,19.3,0,2.7
"42",5336,1980,8,11,29.5,18.8,4.5,3.2
"43",5337,1980,8,12,28.6,19.5,3.6,2.5
"44",5338,1980,8,13,22.9,19.8,0,2.2
"45",5339,1980,8,14,25.5,20.6,0.5,1.4
"46",5340,1980,8,15,29.4,19.9,4.4,2.1
"47",5341,1980,8,16,27,20.5,2,1.5
"48",5342,1980,8,17,21.8,18.5,0.199999999999999,3.5
"49",5343,1980,8,18,24.7,19.3,0,2.7
"50",5344,1980,8,19,29.8,20.8,4.8,1.2
"51",5345,1980,8,20,28.4,19.8,3.4,2.2
"52",5346,1980,8,21,30.7,20.4,5.7,1.6
"53",5347,1980,8,22,30.5,19.3,5.5,2.7
"54",5348,1980,8,23,29.2,20.3,4.2,1.7
"55",5349,1980,8,24,28.3,19.7,3.3,2.3
"56",5350,1980,8,25,26.7,19.3,1.7,2.7
"57",5351,1980,8,26,26.5,19.1,1.5,2.9
"58",5352,1980,8,27,24.2,20,0,2
"59",5353,1980,8,28,26.9,19,1.9,3
"60",5354,1980,8,29,23,18.1,0,3.9
"61",5355,1980,8,30,27.2,18.7,2.2,3.3
"62",5356,1980,8,31,28.1,19.5,3.1,2.5
"63",5660,1981,7,1,24.4,21.2,0,0.800000000000001
"64",5661,1981,7,2,25.8,20.8,0.800000000000001,1.2
"65",5662,1981,7,3,22.1,17.5,0,4.5
