"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3466,1980,7,1,21.2,17.9,0.800000000000001,4.1
"2",3467,1980,7,2,24.6,19.1,0,2.9
"3",3468,1980,7,3,25,18.5,0,3.5
"4",3469,1980,7,4,24.4,19.4,0,2.6
"5",3470,1980,7,5,26.4,20.3,1.4,1.7
"6",3471,1980,7,6,25.2,19.8,0.199999999999999,2.2
"7",3472,1980,7,7,30.4,18.5,5.4,3.5
"8",3473,1980,7,8,29.9,20.3,4.9,1.7
"9",3474,1980,7,9,29.8,20.7,4.8,1.3
"10",3475,1980,7,10,26.8,19.7,1.8,2.3
"11",3476,1980,7,11,23.4,19.8,0,2.2
"12",3477,1980,7,12,28.3,17.9,3.3,4.1
"13",3478,1980,7,13,26.7,19.9,1.7,2.1
"14",3479,1980,7,14,28.5,19.9,3.5,2.1
"15",3480,1980,7,15,27.9,22.3,2.9,0
"16",3481,1980,7,16,25.9,19.9,0.899999999999999,2.1
"17",3482,1980,7,17,24.1,19.6,0,2.4
"18",3483,1980,7,18,24.2,19.5,0,2.5
"19",3484,1980,7,19,26,21.7,1,0.300000000000001
"20",3485,1980,7,20,30.6,23.4,5.6,0
"21",3486,1980,7,21,31.6,22.6,6.6,0
"22",3487,1980,7,22,30.9,23.6,5.9,0
"23",3488,1980,7,23,29.3,22.1,4.3,0
"24",3489,1980,7,24,32,18.3,7,3.7
"25",3490,1980,7,25,25.3,20.3,0.300000000000001,1.7
"26",3491,1980,7,26,30.3,20.3,5.3,1.7
"27",3492,1980,7,27,30,22.6,5,0
"28",3493,1980,7,28,26.6,22.4,1.6,0
"29",3494,1980,7,29,23.2,20.1,0,1.9
"30",3495,1980,7,30,23.2,19.2,0,2.8
"31",3496,1980,7,31,26.4,17.3,1.4,4.7
"32",3497,1980,8,1,25.7,16.7,0.699999999999999,5.3
"33",3498,1980,8,2,26.4,16.7,1.4,5.3
"34",3499,1980,8,3,25.1,18.2,0.100000000000001,3.8
"35",3500,1980,8,4,23,17.9,0,4.1
"36",3501,1980,8,5,22,19.1,0,2.9
"37",3502,1980,8,6,23.5,19.3,0,2.7
"38",3503,1980,8,7,20.9,17.5,1.1,4.5
"39",3504,1980,8,8,20.7,18.1,1.3,3.9
"40",3505,1980,8,9,23.9,18.5,0,3.5
"41",3506,1980,8,10,28.4,19.5,3.4,2.5
"42",3507,1980,8,11,29,21.3,4,0.699999999999999
"43",3508,1980,8,12,26.5,21.3,1.5,0.699999999999999
"44",3509,1980,8,13,24.6,20.3,0,1.7
"45",3510,1980,8,14,27.4,19.9,2.4,2.1
"46",3511,1980,8,15,22.5,20.5,0,1.5
"47",3512,1980,8,16,24.7,20.3,0,1.7
"48",3513,1980,8,17,24.3,19.9,0,2.1
"49",3514,1980,8,18,25.2,19.5,0.199999999999999,2.5
"50",3515,1980,8,19,28.7,20.3,3.7,1.7
"51",3516,1980,8,20,29.6,21.2,4.6,0.800000000000001
"52",3517,1980,8,21,25.7,21.2,0.699999999999999,0.800000000000001
"53",3518,1980,8,22,26.7,20.8,1.7,1.2
"54",3519,1980,8,23,30.2,20.5,5.2,1.5
"55",3520,1980,8,24,29.6,19.1,4.6,2.9
"56",3521,1980,8,25,22.2,19.5,0,2.5
"57",3522,1980,8,26,26.3,19.8,1.3,2.2
"58",3523,1980,8,27,26.6,21.5,1.6,0.5
"59",3524,1980,8,28,23.5,18.5,0,3.5
"60",3525,1980,8,29,21,18.5,1,3.5
"61",3526,1980,8,30,21,19.4,1,2.6
"62",3527,1980,8,31,27.4,19.5,2.4,2.5
"63",3831,1981,7,1,24.4,21.8,0,0.199999999999999
"64",3832,1981,7,2,28.2,23.7,3.2,0
"65",3833,1981,7,3,28.6,23.9,3.6,0
"66",3834,1981,7,4,24.5,21.4,0,0.600000000000001
"67",3835,1981,7,5,29.2,23.4,4.2,0
"68",3836,1981,7,6,26.9,21.7,1.9,0.300000000000001
"69",3837,1981,7,7,31.5,18.3,6.5,3.7
"70",3838,1981,7,8,31.6,20,6.6,2
"71",3839,1981,7,9,26.2,22.5,1.2,0
"72",3840,1981,7,10,27.4,19.8,2.4,2.2
"73",3841,1981,7,11,23.3,20.8,0,1.2
"74",3842,1981,7,12,29.7,21.6,4.7,0.399999999999999
"75",3843,1981,7,13,29.6,23.8,4.6,0
"76",3844,1981,7,14,31.9,24.4,6.9,0
"77",3845,1981,7,15,32,24,7,0
"78",3846,1981,7,16,31.4,24,6.4,0
"79",3847,1981,7,17,32.7,24.4,7.7,0
"80",3848,1981,7,18,35,24.3,10,0
"81",3849,1981,7,19,35.7,24,10.7,0
"82",3850,1981,7,20,36.5,23.7,11.5,0
"83",3851,1981,7,21,36.4,22.6,11.4,0
"84",3852,1981,7,22,34.1,22.7,9.1,0
"85",3853,1981,7,23,32.2,24.4,7.2,0
"86",3854,1981,7,24,31.7,25.4,6.7,0.399999999999999
"87",3855,1981,7,25,34,23.7,9,0
"88",3856,1981,7,26,34,22.9,9,0
"89",3857,1981,7,27,29,24.5,4,0
"90",3858,1981,7,28,29.5,23.5,4.5,0
"91",3859,1981,7,29,32,24.7,7,0
"92",3860,1981,7,30,34.6,23.6,9.6,0
"93",3861,1981,7,31,30.9,23.6,5.9,0
"94",3862,1981,8,1,31.5,25.7,6.5,0.699999999999999
"95",3863,1981,8,2,32,25,7,0
"96",3864,1981,8,3,32.7,24.7,7.7,0
"97",3865,1981,8,4,29.1,22,4.1,0
"98",3866,1981,8,5,27.1,18.7,2.1,3.3
"99",3867,1981,8,6,27,18.2,2,3.8
"100",3868,1981,8,7,26.5,21.7,1.5,0.300000000000001
"101",3869,1981,8,8,32,20.6,7,1.4
"102",3870,1981,8,9,33.1,21.3,8.1,0.699999999999999
"103",3871,1981,8,10,31.2,22.4,6.2,0
"104",3872,1981,8,11,28,21.6,3,0.399999999999999
"105",3873,1981,8,12,31.2,21.1,6.2,0.899999999999999
"106",3874,1981,8,13,30,22.3,5,0
"107",3875,1981,8,14,30.2,19.5,5.2,2.5
"108",3876,1981,8,15,30.3,16.5,5.3,5.5
"109",3877,1981,8,16,30.6,19,5.6,3
"110",3878,1981,8,17,29.8,21.4,4.8,0.600000000000001
"111",3879,1981,8,18,31.7,25.1,6.7,0.100000000000001
"112",3880,1981,8,19,27.9,23.6,2.9,0
"113",3881,1981,8,20,31.2,22,6.2,0
"114",3882,1981,8,21,32,23,7,0
"115",3883,1981,8,22,30.7,19.1,5.7,2.9
"116",3884,1981,8,23,31.4,16,6.4,6
"117",3885,1981,8,24,30,16.9,5,5.1
"118",3886,1981,8,25,27.9,20.4,2.9,1.6
"119",3887,1981,8,26,27.8,21.3,2.8,0.699999999999999
"120",3888,1981,8,27,28.6,17.6,3.6,4.4
"121",3889,1981,8,28,28.1,15.3,3.1,6.7
"122",3890,1981,8,29,26.1,19.7,1.1,2.3
"123",3891,1981,8,30,26.3,21.5,1.3,0.5
"124",3892,1981,8,31,29,21.3,4,0.699999999999999
"125",4196,1982,7,1,29.7,19.6,4.7,2.4
"126",4197,1982,7,2,30.8,15.2,5.8,6.8
"127",4198,1982,7,3,27.8,16.6,2.8,5.4
"128",4199,1982,7,4,30.4,18.2,5.4,3.8
"129",4200,1982,7,5,30,17.9,5,4.1
"130",4201,1982,7,6,29.6,20.1,4.6,1.9
"131",4202,1982,7,7,31.4,20.2,6.4,1.8
"132",4203,1982,7,8,32.7,19,7.7,3
"133",4204,1982,7,9,33.5,18.6,8.5,3.4
"134",4205,1982,7,10,30.5,22.1,5.5,0
"135",4206,1982,7,11,30.8,23.2,5.8,0
"136",4207,1982,7,12,33.4,18.4,8.4,3.6
"137",4208,1982,7,13,24.9,19.5,0,2.5
"138",4209,1982,7,14,23.2,19.2,0,2.8
"139",4210,1982,7,15,26.4,20.2,1.4,1.8
"140",4211,1982,7,16,30.6,20.3,5.6,1.7
"141",4212,1982,7,17,31,17.1,6,4.9
"142",4213,1982,7,18,28,17.9,3,4.1
"143",4214,1982,7,19,31.6,18.7,6.6,3.3
"144",4215,1982,7,20,30.8,19,5.8,3
"145",4216,1982,7,21,35,19.4,10,2.6
"146",4217,1982,7,22,30,20.6,5,1.4
"147",4218,1982,7,23,22.4,20.7,0,1.3
"148",4219,1982,7,24,25.5,21.3,0.5,0.699999999999999
"149",4220,1982,7,25,25.8,22.2,0.800000000000001,0
"150",4221,1982,7,26,30.4,22.1,5.4,0
"151",4222,1982,7,27,31.1,22.7,6.1,0
"152",4223,1982,7,28,29.3,24.5,4.3,0
"153",4224,1982,7,29,24.7,20.6,0,1.4
"154",4225,1982,7,30,31,20.4,6,1.6
"155",4226,1982,7,31,31.6,21.1,6.6,0.899999999999999
"156",4227,1982,8,1,27.8,20.4,2.8,1.6
"157",4228,1982,8,2,29.5,18.1,4.5,3.9
"158",4229,1982,8,3,33,19.2,8,2.8
"159",4230,1982,8,4,33.1,22.1,8.1,0
"160",4231,1982,8,5,30.9,22.5,5.9,0
"161",4232,1982,8,6,32.1,23.9,7.1,0
"162",4233,1982,8,7,34.4,24,9.4,0
"163",4234,1982,8,8,35,24.9,10,0
"164",4235,1982,8,9,33.9,23.2,8.9,0
"165",4236,1982,8,10,33.6,21.4,8.6,0.600000000000001
"166",4237,1982,8,11,34.2,23.1,9.2,0
"167",4238,1982,8,12,30.4,22.7,5.4,0
"168",4239,1982,8,13,25.4,23.8,0.399999999999999,0
"169",4240,1982,8,14,26.6,23.4,1.6,0
"170",4241,1982,8,15,32.4,25,7.4,0
"171",4242,1982,8,16,33.4,24.4,8.4,0
"172",4243,1982,8,17,33,22.8,8,0
"173",4244,1982,8,18,34,23.1,9,0
"174",4245,1982,8,19,33.4,24,8.4,0
"175",4246,1982,8,20,29.2,23.8,4.2,0
"176",4247,1982,8,21,27.8,23.4,2.8,0
"177",4248,1982,8,22,25.3,21.3,0.300000000000001,0.699999999999999
"178",4249,1982,8,23,24.5,20.2,0,1.8
"179",4250,1982,8,24,23.1,19.6,0,2.4
"180",4251,1982,8,25,25.7,21.1,0.699999999999999,0.899999999999999
"181",4252,1982,8,26,25.9,21.6,0.899999999999999,0.399999999999999
"182",4253,1982,8,27,25.3,23.3,0.300000000000001,0
"183",4254,1982,8,28,26.1,22.1,1.1,0
"184",4255,1982,8,29,29.8,19.3,4.8,2.7
"185",4256,1982,8,30,30.6,15.6,5.6,6.4
"186",4257,1982,8,31,30.6,16.3,5.6,5.7
"187",4561,1983,7,1,29.5,19,4.5,3
"188",4562,1983,7,2,24.9,21,0,1
"189",4563,1983,7,3,30.7,22.8,5.7,0
"190",4564,1983,7,4,30.4,22.3,5.4,0
"191",4565,1983,7,5,31.3,20.1,6.3,1.9
"192",4566,1983,7,6,26.5,19.7,1.5,2.3
"193",4567,1983,7,7,19.7,18.1,2.3,3.9
"194",4568,1983,7,8,24.9,16.9,0,5.1
"195",4569,1983,7,9,28,20,3,2
"196",4570,1983,7,10,26.7,19.4,1.7,2.6
"197",4571,1983,7,11,27.3,18.1,2.3,3.9
"198",4572,1983,7,12,28,16.7,3,5.3
"199",4573,1983,7,13,27.1,18,2.1,4
"200",4574,1983,7,14,23.5,19.4,0,2.6
"201",4575,1983,7,15,30.4,20.9,5.4,1.1
"202",4576,1983,7,16,27.4,20,2.4,2
"203",4577,1983,7,17,25.9,19.1,0.899999999999999,2.9
"204",4578,1983,7,18,31.5,17.5,6.5,4.5
"205",4579,1983,7,19,25.8,19.7,0.800000000000001,2.3
"206",4580,1983,7,20,27.3,20,2.3,2
"207",4581,1983,7,21,25,19.6,0,2.4
"208",4582,1983,7,22,24.6,20.4,0,1.6
"209",4583,1983,7,23,22.3,20.9,0,1.1
"210",4584,1983,7,24,29.1,21.7,4.1,0.300000000000001
"211",4585,1983,7,25,31.5,24,6.5,0
"212",4586,1983,7,26,34.1,24.4,9.1,0
"213",4587,1983,7,27,34,23.6,9,0
"214",4588,1983,7,28,31.9,24.3,6.9,0
"215",4589,1983,7,29,32,24.5,7,0
"216",4590,1983,7,30,32.2,24.3,7.2,0
"217",4591,1983,7,31,33,26,8,1
"218",4592,1983,8,1,34.8,25.3,9.8,0.300000000000001
"219",4593,1983,8,2,36.4,25.1,11.4,0.100000000000001
"220",4594,1983,8,3,36.9,24.7,11.9,0
"221",4595,1983,8,4,36.4,22.9,11.4,0
"222",4596,1983,8,5,36.2,23.2,11.2,0
"223",4597,1983,8,6,36,23.3,11,0
"224",4598,1983,8,7,34.5,23.8,9.5,0
"225",4599,1983,8,8,31.3,23.6,6.3,0
"226",4600,1983,8,9,28.6,23.2,3.6,0
"227",4601,1983,8,10,29.9,23.7,4.9,0
"228",4602,1983,8,11,30.6,23.5,5.6,0
"229",4603,1983,8,12,28.8,22.4,3.8,0
"230",4604,1983,8,13,30.7,21,5.7,1
"231",4605,1983,8,14,29.7,23.6,4.7,0
"232",4606,1983,8,15,30.8,23.1,5.8,0
"233",4607,1983,8,16,29.1,21.4,4.1,0.600000000000001
"234",4608,1983,8,17,33.6,24.2,8.6,0
"235",4609,1983,8,18,31.3,21.6,6.3,0.399999999999999
"236",4610,1983,8,19,29.8,18.3,4.8,3.7
"237",4611,1983,8,20,29.3,17,4.3,5
"238",4612,1983,8,21,28,20.4,3,1.6
"239",4613,1983,8,22,25.8,19.6,0.800000000000001,2.4
"240",4614,1983,8,23,24.5,19.6,0,2.4
"241",4615,1983,8,24,22.9,19.7,0,2.3
"242",4616,1983,8,25,28.3,21.4,3.3,0.600000000000001
"243",4617,1983,8,26,26.3,20.8,1.3,1.2
