"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3288,1980,7,1,20.7,15.9,1.3,6.1
"2",3289,1980,7,2,23.6,15.4,0,6.6
"3",3290,1980,7,3,29.7,15,4.7,7
"4",3291,1980,7,4,24.4,19.4,0,2.6
"5",3292,1980,7,5,23.5,18.2,0,3.8
"6",3293,1980,7,6,30.2,18,5.2,4
"7",3294,1980,7,7,30.5,19.5,5.5,2.5
"8",3295,1980,7,8,28.4,19.7,3.4,2.3
"9",3296,1980,7,9,32.9,19.4,7.9,2.6
"10",3297,1980,7,10,30.8,20.4,5.8,1.6
"11",3298,1980,7,11,27.4,21,2.4,1
"12",3299,1980,7,12,31,17.9,6,4.1
"13",3300,1980,7,13,29.5,18.9,4.5,3.1
"14",3301,1980,7,14,22.4,18.2,0,3.8
"15",3302,1980,7,15,27.4,18,2.4,4
"16",3303,1980,7,16,31.1,15.2,6.1,6.8
"17",3304,1980,7,17,30.3,17.6,5.3,4.4
"18",3305,1980,7,18,23.2,17.5,0,4.5
"19",3306,1980,7,19,31.4,19.5,6.4,2.5
"20",3307,1980,7,20,29.8,21,4.8,1
"21",3308,1980,7,21,27.2,20.8,2.2,1.2
"22",3309,1980,7,22,27,20.8,2,1.2
"23",3310,1980,7,23,30.2,20,5.2,2
"24",3311,1980,7,24,29.8,18.3,4.8,3.7
"25",3312,1980,7,25,24.5,19.7,0,2.3
"26",3313,1980,7,26,31,20.3,6,1.7
"27",3314,1980,7,27,29.6,19.5,4.6,2.5
"28",3315,1980,7,28,24.6,20,0,2
"29",3316,1980,7,29,25,18.9,0,3.1
"30",3317,1980,7,30,28.2,16.8,3.2,5.2
"31",3318,1980,7,31,28.3,12.7,3.3,9.3
"32",3319,1980,8,1,29.9,12.5,4.9,9.5
"33",3320,1980,8,2,28.7,12.4,3.7,9.6
"34",3321,1980,8,3,26.7,13.4,1.7,8.6
"35",3322,1980,8,4,26.6,17.9,1.6,4.1
"36",3323,1980,8,5,26.1,16.4,1.1,5.6
"37",3324,1980,8,6,27.4,15.2,2.4,6.8
"38",3325,1980,8,7,23.5,15.8,0,6.2
"39",3326,1980,8,8,24.4,15.8,0,6.2
"40",3327,1980,8,9,27.3,17.1,2.3,4.9
"41",3328,1980,8,10,26.9,18.8,1.9,3.2
"42",3329,1980,8,11,29.1,18.6,4.1,3.4
"43",3330,1980,8,12,27.9,17.7,2.9,4.3
"44",3331,1980,8,13,24,19.5,0,2.5
"45",3332,1980,8,14,25.3,20.5,0.300000000000001,1.5
"46",3333,1980,8,15,30.3,19.2,5.3,2.8
"47",3334,1980,8,16,28.4,19,3.4,3
"48",3335,1980,8,17,22,18.3,0,3.7
"49",3336,1980,8,18,26.6,18.6,1.6,3.4
"50",3337,1980,8,19,30.4,19.8,5.4,2.2
"51",3338,1980,8,20,26,19.5,1,2.5
"52",3339,1980,8,21,30,19.4,5,2.6
"53",3340,1980,8,22,30.7,18.8,5.7,3.2
"54",3341,1980,8,23,30.2,20,5.2,2
"55",3342,1980,8,24,28.8,18.6,3.8,3.4
"56",3343,1980,8,25,26.3,19,1.3,3
"57",3344,1980,8,26,25.7,18.9,0.699999999999999,3.1
"58",3345,1980,8,27,25.1,18.8,0.100000000000001,3.2
"59",3346,1980,8,28,28,18.5,3,3.5
"60",3347,1980,8,29,23.2,17.5,0,4.5
"61",3348,1980,8,30,25.6,17.8,0.600000000000001,4.2
"62",3349,1980,8,31,27.9,18,2.9,4
"63",3653,1981,7,1,25.2,20.7,0.199999999999999,1.3
"64",3654,1981,7,2,27.4,20.5,2.4,1.5
"65",3655,1981,7,3,23.1,17.6,0,4.4
"66",3656,1981,7,4,21.6,17.1,0.399999999999999,4.9
"67",3657,1981,7,5,26.9,20.3,1.9,1.7
"68",3658,1981,7,6,30.7,22.4,5.7,0
"69",3659,1981,7,7,29.4,20.7,4.4,1.3
"70",3660,1981,7,8,29.9,20.1,4.9,1.9
"71",3661,1981,7,9,26.8,20.1,1.8,1.9
"72",3662,1981,7,10,29.5,18.6,4.5,3.4
