"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",6999,1980,3,1,9.5,-2.2,8.5,20.2
"2",7000,1980,3,2,9.8,-2.3,8.2,20.3
"3",7001,1980,3,3,13.9,2.8,4.1,15.2
"4",7002,1980,3,4,6.4,0,11.6,18
"5",7003,1980,3,5,10.4,-1.3,7.6,19.3
"6",7004,1980,3,6,12.6,-0.2,5.4,18.2
"7",7005,1980,3,7,10,2.7,8,15.3
"8",7006,1980,3,8,14.4,2.2,3.6,15.8
"9",7007,1980,3,9,8.7,2.9,9.3,15.1
"10",7008,1980,3,10,4.6,1.9,13.4,16.1
"11",7009,1980,3,11,3.6,-1.2,14.4,19.2
"12",7010,1980,3,12,6.3,-2.4,11.7,20.4
"13",7011,1980,3,13,8.8,-2.3,9.2,20.3
"14",7012,1980,3,14,7.4,0.8,10.6,17.2
"15",7013,1980,3,15,11.2,0,6.8,18
"16",7014,1980,3,16,13.4,2.3,4.6,15.7
"17",7015,1980,3,17,13.5,3.8,4.5,14.2
"18",7016,1980,3,18,4.1,0.2,13.9,17.8
"19",7017,1980,3,19,14.6,-0.3,3.4,18.3
"20",7018,1980,3,20,11.7,5,6.3,13
"21",7019,1980,3,21,6.3,2.8,11.7,15.2
"22",7020,1980,3,22,4.2,0.4,13.8,17.6
"23",7021,1980,3,23,6.5,0.2,11.5,17.8
"24",7022,1980,3,24,9.5,-0.1,8.5,18.1
"25",7023,1980,3,25,11.6,2.2,6.4,15.8
"26",7024,1980,3,26,11.1,4.3,6.9,13.7
"27",7025,1980,3,27,14.9,3.8,3.1,14.2
"28",7026,1980,3,28,19.7,7,0,11
"29",7027,1980,3,29,17.8,5.5,0.199999999999999,12.5
"30",7028,1980,3,30,19.7,5.6,0,12.4
"31",7029,1980,3,31,10,4.2,8,13.8
"32",7364,1981,3,1,4.6,-2.5,13.4,20.5
"33",7365,1981,3,2,10.6,-3.9,7.4,21.9
"34",7366,1981,3,3,12,2.8,6,15.2
"35",7367,1981,3,4,12.8,4.3,5.2,13.7
"36",7368,1981,3,5,10,1,8,17
"37",7369,1981,3,6,6.9,-1.6,11.1,19.6
"38",7370,1981,3,7,12.5,-0.8,5.5,18.8
"39",7371,1981,3,8,6.6,-2.3,11.4,20.3
"40",7372,1981,3,9,0.1,-5.7,17.9,23.7
"41",7373,1981,3,10,6.4,-7.1,11.6,25.1
"42",7374,1981,3,11,14.4,-0.1,3.6,18.1
"43",7375,1981,3,12,19.7,6.4,0,11.6
"44",7376,1981,3,13,13.4,2.5,4.6,15.5
"45",7377,1981,3,14,11.8,2.1,6.2,15.9
"46",7378,1981,3,15,10.1,2.9,7.9,15.1
"47",7379,1981,3,16,11.1,0.6,6.9,17.4
"48",7380,1981,3,17,13.4,2.1,4.6,15.9
"49",7381,1981,3,18,21.1,1.7,0.100000000000001,16.3
"50",7382,1981,3,19,22.8,10.2,1.8,7.8
"51",7383,1981,3,20,12.1,0.9,5.9,17.1
"52",7384,1981,3,21,7.7,-0.8,10.3,18.8
"53",7385,1981,3,22,4.9,2.2,13.1,15.8
"54",7386,1981,3,23,11.2,0.6,6.8,17.4
"55",7387,1981,3,24,6.2,-0.2,11.8,18.2
"56",7388,1981,3,25,4.7,1.8,13.3,16.2
"57",7389,1981,3,26,7.1,1.2,10.9,16.8
"58",7390,1981,3,27,11.3,2,6.7,16
"59",7391,1981,3,28,15,4.4,3,13.6
"60",7392,1981,3,29,10.1,2.7,7.9,15.3
"61",7393,1981,3,30,8.6,0.5,9.4,17.5
"62",7394,1981,3,31,9.3,3,8.7,15
"63",7729,1982,3,1,6.8,-0.1,11.2,18.1
"64",7730,1982,3,2,6.8,-1,11.2,19
"65",7731,1982,3,3,11.7,1,6.3,17
"66",7732,1982,3,4,9.6,1.2,8.4,16.8
"67",7733,1982,3,5,11.2,1.6,6.8,16.4
"68",7734,1982,3,6,6.9,-0.7,11.1,18.7
"69",7735,1982,3,7,6,-4.2,12,22.2
"70",7736,1982,3,8,10.4,-0.8,7.6,18.8
"71",7737,1982,3,9,13.2,2,4.8,16
"72",7738,1982,3,10,15.6,5.4,2.4,12.6
"73",7739,1982,3,11,12.1,4,5.9,14
"74",7740,1982,3,12,13.4,2.7,4.6,15.3
"75",7741,1982,3,13,8.7,2.7,9.3,15.3
"76",7742,1982,3,14,13.6,0.4,4.4,17.6
"77",7743,1982,3,15,11.9,6.1,6.1,11.9
"78",7744,1982,3,16,11.9,1.4,6.1,16.6
"79",7745,1982,3,17,5.8,1.1,12.2,16.9
