"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",2982,1980,3,1,12.1,1.4,5.9,16.6
"2",2983,1980,3,2,13.7,-3.2,4.3,21.2
"3",2984,1980,3,3,13.8,1.1,4.2,16.9
"4",2985,1980,3,4,11.4,1.5,6.6,16.5
"5",2986,1980,3,5,11.2,1.6,6.8,16.4
"6",2987,1980,3,6,14.4,-0.2,3.6,18.2
"7",2988,1980,3,7,18.2,5.5,0,12.5
"8",2989,1980,3,8,13.2,2.8,4.8,15.2
"9",2990,1980,3,9,11,6.5,7,11.5
"10",2991,1980,3,10,13,5.4,5,12.6
"11",2992,1980,3,11,10.8,1.6,7.2,16.4
"12",2993,1980,3,12,13.9,-3.2,4.1,21.2
"13",2994,1980,3,13,14.1,2.3,3.9,15.7
"14",2995,1980,3,14,8.9,1.6,9.1,16.4
"15",2996,1980,3,15,12.2,-0.4,5.8,18.4
"16",2997,1980,3,16,15,-0.9,3,18.9
"17",2998,1980,3,17,18.7,0.4,0,17.6
"18",2999,1980,3,18,12.5,1.5,5.5,16.5
"19",3000,1980,3,19,15.6,-0.3,2.4,18.3
"20",3001,1980,3,20,16.7,-0.5,1.3,18.5
"21",3002,1980,3,21,10.6,1.9,7.4,16.1
"22",3003,1980,3,22,8.3,1.7,9.7,16.3
"23",3004,1980,3,23,6.8,0.3,11.2,17.7
"24",3005,1980,3,24,10.4,-0.2,7.6,18.2
"25",3006,1980,3,25,12.7,-1.3,5.3,19.3
"26",3007,1980,3,26,13.4,1.2,4.6,16.8
"27",3008,1980,3,27,16.2,-2.1,1.8,20.1
"28",3009,1980,3,28,18,-1.9,0,19.9
"29",3010,1980,3,29,11.8,6,6.2,12
"30",3011,1980,3,30,20.2,3.4,0,14.6
"31",3012,1980,3,31,11.6,7.9,6.4,10.1
"32",3347,1981,3,1,6.5,-1.1,11.5,19.1
"33",3348,1981,3,2,11.1,-3.9,6.9,21.9
"34",3349,1981,3,3,8.1,-1.1,9.9,19.1
"35",3350,1981,3,4,11.9,1.6,6.1,16.4
"36",3351,1981,3,5,13.1,-3.1,4.9,21.1
"37",3352,1981,3,6,8.9,-3.8,9.1,21.8
"38",3353,1981,3,7,14.9,-4.6,3.1,22.6
"39",3354,1981,3,8,14.3,-3.1,3.7,21.1
"40",3355,1981,3,9,6.4,0.5,11.6,17.5
"41",3356,1981,3,10,12.9,-1.6,5.1,19.6
"42",3357,1981,3,11,14.4,-3.9,3.6,21.9
"43",3358,1981,3,12,13.1,-1.9,4.9,19.9
"44",3359,1981,3,13,13.5,9.2,4.5,8.8
"45",3360,1981,3,14,12.2,5.1,5.8,12.9
"46",3361,1981,3,15,9.1,1.3,8.9,16.7
"47",3362,1981,3,16,14.1,-1.7,3.9,19.7
"48",3363,1981,3,17,17.4,-2.4,0.600000000000001,20.4
"49",3364,1981,3,18,21.7,-0.9,0.699999999999999,18.9
"50",3365,1981,3,19,18.9,3.6,0,14.4
"51",3366,1981,3,20,22.7,0.3,1.7,17.7
"52",3367,1981,3,21,21.3,3.8,0.300000000000001,14.2
"53",3368,1981,3,22,23.9,2.9,2.9,15.1
"54",3369,1981,3,23,14.9,1.5,3.1,16.5
"55",3370,1981,3,24,11.6,6.7,6.4,11.3
"56",3371,1981,3,25,12.3,8.3,5.7,9.7
"57",3372,1981,3,26,9.9,2.4,8.1,15.6
"58",3373,1981,3,27,14.6,0.3,3.4,17.7
"59",3374,1981,3,28,14.9,5.6,3.1,12.4
"60",3375,1981,3,29,17.1,4.9,0.899999999999999,13.1
"61",3376,1981,3,30,15.4,6.1,2.6,11.9
"62",3377,1981,3,31,16.3,3.9,1.7,14.1
"63",3712,1982,3,1,8.6,-0.2,9.4,18.2
"64",3713,1982,3,2,10.8,-1.4,7.2,19.4
"65",3714,1982,3,3,12.5,-5.8,5.5,23.8
"66",3715,1982,3,4,14.7,1.8,3.3,16.2
"67",3716,1982,3,5,13.2,4.2,4.8,13.8
"68",3717,1982,3,6,8.9,-0.1,9.1,18.1
"69",3718,1982,3,7,8.5,-3.2,9.5,21.2
"70",3719,1982,3,8,10.5,-4.4,7.5,22.4
"71",3720,1982,3,9,14.2,-0.1,3.8,18.1
"72",3721,1982,3,10,17.1,-1.4,0.899999999999999,19.4
"73",3722,1982,3,11,18.1,-1.7,0,19.7
"74",3723,1982,3,12,13.1,2.2,4.9,15.8
"75",3724,1982,3,13,17.4,-0.7,0.600000000000001,18.7
"76",3725,1982,3,14,13.8,6.2,4.2,11.8
"77",3726,1982,3,15,17.3,7.8,0.699999999999999,10.2
"78",3727,1982,3,16,14.6,2.8,3.4,15.2
"79",3728,1982,3,17,8.9,1.7,9.1,16.3
"80",3729,1982,3,18,14.2,-0.9,3.8,18.9
"81",3730,1982,3,19,11.6,6.8,6.4,11.2
"82",3731,1982,3,20,17.8,7.2,0.199999999999999,10.8
"83",3732,1982,3,21,17.9,6.7,0.100000000000001,11.3
"84",3733,1982,3,22,19.5,1.3,0,16.7
"85",3734,1982,3,23,21.2,9.2,0.199999999999999,8.8
"86",3735,1982,3,24,14.9,3.8,3.1,14.2
"87",3736,1982,3,25,13.9,0.4,4.1,17.6
"88",3737,1982,3,26,16.1,-2.3,1.9,20.3
"89",3738,1982,3,27,17.3,-0.6,0.699999999999999,18.6
"90",3739,1982,3,28,17.4,-1.3,0.600000000000001,19.3
"91",3740,1982,3,29,19,0.6,0,17.4
"92",3741,1982,3,30,14.1,7.5,3.9,10.5
"93",3742,1982,3,31,20,6.6,0,11.4
"94",4077,1983,3,1,7.8,2.1,10.2,15.9
"95",4078,1983,3,2,12.6,5.6,5.4,12.4
"96",4079,1983,3,3,11.9,4.6,6.1,13.4
"97",4080,1983,3,4,10.2,-0.4,7.8,18.4
"98",4081,1983,3,5,9.8,-1.7,8.2,19.7
"99",4082,1983,3,6,12.1,-0.4,5.9,18.4
"100",4083,1983,3,7,9.9,-2.4,8.1,20.4
"101",4084,1983,3,8,8.7,-3.2,9.3,21.2
"102",4085,1983,3,9,10.1,3.8,7.9,14.2
"103",4086,1983,3,10,14.5,3.9,3.5,14.1
"104",4087,1983,3,11,16.1,-1.7,1.9,19.7
"105",4088,1983,3,12,16.2,2.8,1.8,15.2
"106",4089,1983,3,13,8.9,2.3,9.1,15.7
"107",4090,1983,3,14,11.4,-1.7,6.6,19.7
"108",4091,1983,3,15,12.9,-3.1,5.1,21.1
"109",4092,1983,3,16,16.1,2.2,1.9,15.8
"110",4093,1983,3,17,7.2,1.5,10.8,16.5
"111",4094,1983,3,18,13.6,1.2,4.4,16.8
"112",4095,1983,3,19,16.4,-3.2,1.6,21.2
"113",4096,1983,3,20,13.1,1.7,4.9,16.3
"114",4097,1983,3,21,19.9,9.4,0,8.6
"115",4098,1983,3,22,17.8,5.3,0.199999999999999,12.7
"116",4099,1983,3,23,15.2,9.1,2.8,8.9
"117",4100,1983,3,24,9.7,7.7,8.3,10.3
"118",4101,1983,3,25,15.3,7.3,2.7,10.7
"119",4102,1983,3,26,13.8,6.9,4.2,11.1
