"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3165,1980,3,1,2.2,-4.2,15.8,22.2
"2",3166,1980,3,2,5.6,-11.2,12.4,29.2
"3",3167,1980,3,3,6.2,-4.8,11.8,22.8
"4",3168,1980,3,4,-0.7,-5.8,18.7,23.8
"5",3169,1980,3,5,4.4,-8.6,13.6,26.6
"6",3170,1980,3,6,6,-6,12,24
"7",3171,1980,3,7,5.5,-4.6,12.5,22.6
"8",3172,1980,3,8,7.4,-7,10.6,25
"9",3173,1980,3,9,1.3,-1.4,16.7,19.4
"10",3174,1980,3,10,0.5,-4.9,17.5,22.9
"11",3175,1980,3,11,-2.4,-11.1,20.4,29.1
"12",3176,1980,3,12,-0.2,-16.5,18.2,34.5
"13",3177,1980,3,13,2.6,-10.9,15.4,28.9
"14",3178,1980,3,14,0.8,-3.7,17.2,21.7
"15",3179,1980,3,15,2.2,-8.1,15.8,26.1
"16",3180,1980,3,16,4.3,-6,13.7,24
"17",3181,1980,3,17,7.1,-3.8,10.9,21.8
"18",3182,1980,3,18,-1.5,-8.1,19.5,26.1
"19",3183,1980,3,19,6.9,-8.4,11.1,26.4
"20",3184,1980,3,20,6,-1.1,12,19.1
"21",3185,1980,3,21,-0.1,-3.2,18.1,21.2
"22",3186,1980,3,22,-0.8,-4.3,18.8,22.3
"23",3187,1980,3,23,1,-5.1,17,23.1
"24",3188,1980,3,24,0.6,-9.6,17.4,27.6
"25",3189,1980,3,25,2.6,-6.5,15.4,24.5
"26",3190,1980,3,26,4.2,-2.8,13.8,20.8
"27",3191,1980,3,27,9.5,-7.4,8.5,25.4
"28",3192,1980,3,28,13.5,-0.1,4.5,18.1
"29",3193,1980,3,29,10.5,-1.4,7.5,19.4
"30",3194,1980,3,30,15,2.1,3,15.9
"31",3195,1980,3,31,4.8,-1.1,13.2,19.1
"32",3530,1981,3,1,-2.2,-13.2,20.2,31.2
"33",3531,1981,3,2,2.8,-16.5,15.2,34.5
"34",3532,1981,3,3,5.8,-5.7,12.2,23.7
"35",3533,1981,3,4,5.8,-4,12.2,22
"36",3534,1981,3,5,0.9,-7.2,17.1,25.2
"37",3535,1981,3,6,-0.8,-9.8,18.8,27.8
"38",3536,1981,3,7,4.6,-6.2,13.4,24.2
"39",3537,1981,3,8,1,-10.1,17,28.1
"40",3538,1981,3,9,-2.2,-13.9,20.2,31.9
"41",3539,1981,3,10,2.1,-9.3,15.9,27.3
"42",3540,1981,3,11,6.6,-8.2,11.4,26.2
"43",3541,1981,3,12,13.8,-2.6,4.2,20.6
"44",3542,1981,3,13,11.3,-5.3,6.7,23.3
"45",3543,1981,3,14,8,-2.7,10,20.7
"46",3544,1981,3,15,0.5,-5.1,17.5,23.1
"47",3545,1981,3,16,6.4,-8,11.6,26
"48",3546,1981,3,17,10.2,-3.3,7.8,21.3
"49",3547,1981,3,18,14.3,-0.1,3.7,18.1
"50",3548,1981,3,19,15.5,-2.5,2.5,20.5
"51",3549,1981,3,20,11.5,-4.4,6.5,22.4
"52",3550,1981,3,21,14.8,-3.7,3.2,21.7
"53",3551,1981,3,22,12.8,-1.1,5.2,19.1
"54",3552,1981,3,23,4.6,-3.2,13.4,21.2
"55",3553,1981,3,24,1.9,-4.1,16.1,22.1
"56",3554,1981,3,25,5.6,-1,12.4,19
"57",3555,1981,3,26,0.4,-6.2,17.6,24.2
"58",3556,1981,3,27,5.4,-4.7,12.6,22.7
"59",3557,1981,3,28,10.9,-2.1,7.1,20.1
"60",3558,1981,3,29,6.2,-2.5,11.8,20.5
"61",3559,1981,3,30,4.2,-5.7,13.8,23.7
"62",3560,1981,3,31,6.7,-3.1,11.3,21.1
"63",3895,1982,3,1,0.8,-6.5,17.2,24.5
"64",3896,1982,3,2,0.4,-12.9,17.6,30.9
"65",3897,1982,3,3,3.7,-7.2,14.3,25.2
"66",3898,1982,3,4,5.1,-0.9,12.9,18.9
"67",3899,1982,3,5,4.6,-2.8,13.4,20.8
"68",3900,1982,3,6,-2,-8.1,20,26.1
"69",3901,1982,3,7,-2,-12.2,20,30.2
"70",3902,1982,3,8,1.8,-8.2,16.2,26.2
"71",3903,1982,3,9,4.8,-5.3,13.2,23.3
"72",3904,1982,3,10,7.8,0.4,10.2,17.6
"73",3905,1982,3,11,10.5,0.1,7.5,17.9
"74",3906,1982,3,12,13.3,-1,4.7,19
"75",3907,1982,3,13,2.8,-3.4,15.2,21.4
"76",3908,1982,3,14,12.4,-4.6,5.6,22.6
"77",3909,1982,3,15,7.6,2.2,10.4,15.8
"78",3910,1982,3,16,4.5,-3.5,13.5,21.5
"79",3911,1982,3,17,1,-4.3,17,22.3
"80",3912,1982,3,18,7.4,-12.6,10.6,30.6
"81",3913,1982,3,19,8,-2.5,10,20.5
"82",3914,1982,3,20,7.7,-0.2,10.3,18.2
"83",3915,1982,3,21,12.7,0.4,5.3,17.6
