"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",2982,1980,3,1,6.3,-1.7,11.7,19.7
"2",2983,1980,3,2,7.8,-4.6,10.2,22.6
"3",2984,1980,3,3,10.1,-2.5,7.9,20.5
"4",2985,1980,3,4,9.3,-0.8,8.7,18.8
"5",2986,1980,3,5,9,-1.6,9,19.6
"6",2987,1980,3,6,11.1,-4.1,6.9,22.1
"7",2988,1980,3,7,14.5,3.2,3.5,14.8
"8",2989,1980,3,8,15.6,0,2.4,18
"9",2990,1980,3,9,11.3,3.1,6.7,14.9
"10",2991,1980,3,10,8.6,0.7,9.4,17.3
"11",2992,1980,3,11,5.3,-2.5,12.7,20.5
"12",2993,1980,3,12,7.7,-5.6,10.3,23.6
"13",2994,1980,3,13,9.2,-4.2,8.8,22.2
"14",2995,1980,3,14,6.6,0.4,11.4,17.6
"15",2996,1980,3,15,7.7,-3.3,10.3,21.3
"16",2997,1980,3,16,9.6,-2.2,8.4,20.2
"17",2998,1980,3,17,12.5,-1.3,5.5,19.3
"18",2999,1980,3,18,12.6,0.3,5.4,17.7
"19",3000,1980,3,19,13.6,-2.9,4.4,20.9
"20",3001,1980,3,20,12.2,1,5.8,17
"21",3002,1980,3,21,12,-1.4,6,19.4
"22",3003,1980,3,22,6.5,0.4,11.5,17.6
"23",3004,1980,3,23,4.9,-0.5,13.1,18.5
"24",3005,1980,3,24,7.1,-3.3,10.9,21.3
"25",3006,1980,3,25,8.5,-2.4,9.5,20.4
"26",3007,1980,3,26,9.5,-0.3,8.5,18.3
"27",3008,1980,3,27,11.6,-2.5,6.4,20.5
"28",3009,1980,3,28,13.7,-2.6,4.3,20.6
"29",3010,1980,3,29,15.4,3.3,2.6,14.7
"30",3011,1980,3,30,15.8,0.1,2.2,17.9
"31",3012,1980,3,31,10.3,2.8,7.7,15.2
"32",3347,1981,3,1,4.8,-4.2,13.2,22.2
"33",3348,1981,3,2,7.7,-4.3,10.3,22.3
"34",3349,1981,3,3,7,-1.5,11,19.5
"35",3350,1981,3,4,8,-2.9,10,20.9
"36",3351,1981,3,5,6.4,-4.8,11.6,22.8
"37",3352,1981,3,6,3.6,-3.1,14.4,21.1
"38",3353,1981,3,7,10,-1.6,8,19.6
"39",3354,1981,3,8,12.6,-3.4,5.4,21.4
"40",3355,1981,3,9,6.8,-1.6,11.2,19.6
"41",3356,1981,3,10,7.3,-5.3,10.7,23.3
"42",3357,1981,3,11,11.8,-3.6,6.2,21.6
"43",3358,1981,3,12,16.7,-2,1.3,20
"44",3359,1981,3,13,18.2,8.5,0,9.5
"45",3360,1981,3,14,12.5,2.7,5.5,15.3
"46",3361,1981,3,15,5.2,0.6,12.8,17.4
"47",3362,1981,3,16,8.4,-3.4,9.6,21.4
"48",3363,1981,3,17,11.3,0.7,6.7,17.3
"49",3364,1981,3,18,14.2,-0.5,3.8,18.5
"50",3365,1981,3,19,20.2,0.8,0,17.2
"51",3366,1981,3,20,22.2,-0.4,1.2,18.4
"52",3367,1981,3,21,21.4,3.1,0.399999999999999,14.9
"53",3368,1981,3,22,16.2,2.5,1.8,15.5
"54",3369,1981,3,23,21,2.3,0,15.7
"55",3370,1981,3,24,14.3,8.7,3.7,9.3
"56",3371,1981,3,25,13.3,4.3,4.7,13.7
"57",3372,1981,3,26,4.7,1.5,13.3,16.5
"58",3373,1981,3,27,7,0.7,11,17.3
"59",3374,1981,3,28,12.5,2,5.5,16
"60",3375,1981,3,29,15.4,2.4,2.6,15.6
"61",3376,1981,3,30,14,-0.3,4,18.3
"62",3377,1981,3,31,15.5,2.2,2.5,15.8
"63",3712,1982,3,1,7.6,-1,10.4,19
"64",3713,1982,3,2,8.2,-4.7,9.8,22.7
"65",3714,1982,3,3,9.9,-3.2,8.1,21.2
"66",3715,1982,3,4,9.8,4,8.2,14
"67",3716,1982,3,5,9.4,-0.4,8.6,18.4
"68",3717,1982,3,6,4.5,-1.4,13.5,19.4
"69",3718,1982,3,7,3.5,-4.6,14.5,22.6
"70",3719,1982,3,8,5.8,-4,12.2,22
"71",3720,1982,3,9,10.7,-1,7.3,19
"72",3721,1982,3,10,11.5,3.7,6.5,14.3
"73",3722,1982,3,11,14.8,3,3.2,15
"74",3723,1982,3,12,17.2,3.8,0.800000000000001,14.2
"75",3724,1982,3,13,13.8,-0.7,4.2,18.7
"76",3725,1982,3,14,16.1,0.9,1.9,17.1
"77",3726,1982,3,15,13.1,3.9,4.9,14.1
"78",3727,1982,3,16,7.2,0.4,10.8,17.6
"79",3728,1982,3,17,7.3,-0.2,10.7,18.2
"80",3729,1982,3,18,11.2,-3,6.8,21
"81",3730,1982,3,19,11.7,4,6.3,14
"82",3731,1982,3,20,14.1,2.2,3.9,15.8
"83",3732,1982,3,21,12.6,1,5.4,17
"84",3733,1982,3,22,15.2,0.5,2.8,17.5
"85",3734,1982,3,23,15.3,4.4,2.7,13.6
"86",3735,1982,3,24,7.4,0,10.6,18
"87",3736,1982,3,25,8.1,-2.8,9.9,20.8
"88",3737,1982,3,26,9.5,-4,8.5,22
"89",3738,1982,3,27,11.9,-3.4,6.1,21.4
"90",3739,1982,3,28,15.3,1.2,2.7,16.8
"91",3740,1982,3,29,15.6,-1.5,2.4,19.5
"92",3741,1982,3,30,7.3,4,10.7,14
"93",3742,1982,3,31,14.7,2.7,3.3,15.3
"94",4077,1983,3,1,9.2,0,8.8,18
"95",4078,1983,3,2,8,2.9,10,15.1
"96",4079,1983,3,3,6.8,0,11.2,18
"97",4080,1983,3,4,4.6,-2.7,13.4,20.7
"98",4081,1983,3,5,5.4,-4.7,12.6,22.7
"99",4082,1983,3,6,6.9,-2.8,11.1,20.8
"100",4083,1983,3,7,6,-1.7,12,19.7
