"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",2982,1980,3,1,8.6,-2.3,9.4,20.3
"2",2983,1980,3,2,10.1,-3.5,7.9,21.5
"3",2984,1980,3,3,13.2,-1.4,4.8,19.4
"4",2985,1980,3,4,6.6,2.8,11.4,15.2
"5",2986,1980,3,5,6.5,-1.1,11.5,19.1
"6",2987,1980,3,6,12.4,-2.3,5.6,20.3
"7",2988,1980,3,7,11.2,1.7,6.8,16.3
"8",2989,1980,3,8,12.4,-0.4,5.6,18.4
"9",2990,1980,3,9,9.1,5.5,8.9,12.5
"10",2991,1980,3,10,10.8,1.3,7.2,16.7
"11",2992,1980,3,11,5.5,0.7,12.5,17.3
"12",2993,1980,3,12,8,-0.9,10,18.9
"13",2994,1980,3,13,12,-0.5,6,18.5
"14",2995,1980,3,14,11.2,2.8,6.8,15.2
"15",2996,1980,3,15,11.1,-1,6.9,19
"16",2997,1980,3,16,13.9,-0.5,4.1,18.5
"17",2998,1980,3,17,12.7,-0.4,5.3,18.4
"18",2999,1980,3,18,6.6,2.7,11.4,15.3
"19",3000,1980,3,19,13.1,0.8,4.9,17.2
"20",3001,1980,3,20,18.1,2.1,0,15.9
"21",3002,1980,3,21,11.2,1.1,6.8,16.9
"22",3003,1980,3,22,7.2,0.6,10.8,17.4
"23",3004,1980,3,23,7.8,0.6,10.2,17.4
"24",3005,1980,3,24,11.2,-0.5,6.8,18.5
"25",3006,1980,3,25,12.2,0.5,5.8,17.5
"26",3007,1980,3,26,14,1.6,4,16.4
"27",3008,1980,3,27,13.1,1.5,4.9,16.5
"28",3009,1980,3,28,18.9,1.1,0,16.9
"29",3010,1980,3,29,11.2,5.7,6.8,12.3
"30",3011,1980,3,30,21,5.7,0,12.3
"31",3012,1980,3,31,13,6.1,5,11.9
"32",3347,1981,3,1,5,-4.7,13,22.7
"33",3348,1981,3,2,7.8,-5.6,10.2,23.6
"34",3349,1981,3,3,12.4,-1,5.6,19
"35",3350,1981,3,4,14,2.3,4,15.7
"36",3351,1981,3,5,10.9,-0.3,7.1,18.3
"37",3352,1981,3,6,7.1,-2.4,10.9,20.4
"38",3353,1981,3,7,15.2,-5.6,2.8,23.6
"39",3354,1981,3,8,6.8,-3.4,11.2,21.4
"40",3355,1981,3,9,7.5,-1.9,10.5,19.9
"41",3356,1981,3,10,7.8,-2.5,10.2,20.5
"42",3357,1981,3,11,13.8,-4.6,4.2,22.6
"43",3358,1981,3,12,16.8,1,1.2,17
"44",3359,1981,3,13,13.3,2.5,4.7,15.5
"45",3360,1981,3,14,10.5,5,7.5,13
"46",3361,1981,3,15,10,1.3,8,16.7
"47",3362,1981,3,16,12.5,-1.2,5.5,19.2
"48",3363,1981,3,17,15.4,0.1,2.6,17.9
"49",3364,1981,3,18,21.8,-0.9,0.800000000000001,18.9
"50",3365,1981,3,19,19.2,4.1,0,13.9
"51",3366,1981,3,20,15.4,1.8,2.6,16.2
"52",3367,1981,3,21,8.5,0.8,9.5,17.2
"53",3368,1981,3,22,12.9,2.3,5.1,15.7
"54",3369,1981,3,23,10.6,0.4,7.4,17.6
"55",3370,1981,3,24,7.8,-2.1,10.2,20.1
"56",3371,1981,3,25,8.6,3.6,9.4,14.4
"57",3372,1981,3,26,8.8,2,9.2,16
"58",3373,1981,3,27,10,1.3,8,16.7
"59",3374,1981,3,28,15,4.6,3,13.4
"60",3375,1981,3,29,11.3,4.1,6.7,13.9
"61",3376,1981,3,30,11,0.5,7,17.5
"62",3377,1981,3,31,11.6,1.6,6.4,16.4
"63",3712,1982,3,1,6.9,2.3,11.1,15.7
"64",3713,1982,3,2,7.6,-2.4,10.4,20.4
"65",3714,1982,3,3,14,-2.6,4,20.6
"66",3715,1982,3,4,9,4.2,9,13.8
"67",3716,1982,3,5,10,4.9,8,13.1
"68",3717,1982,3,6,8.1,-0.1,9.9,18.1
"69",3718,1982,3,7,6.9,-3,11.1,21
"70",3719,1982,3,8,10.1,-3.2,7.9,21.2
"71",3720,1982,3,9,12.5,-0.8,5.5,18.8
"72",3721,1982,3,10,17.9,-0.8,0.100000000000001,18.8
"73",3722,1982,3,11,15.8,1.5,2.2,16.5
"74",3723,1982,3,12,14.2,4.5,3.8,13.5
"75",3724,1982,3,13,11,2.5,7,15.5
"76",3725,1982,3,14,14.7,1.3,3.3,16.7
"77",3726,1982,3,15,10.1,7.9,7.9,10.1
"78",3727,1982,3,16,13.7,3.8,4.3,14.2
"79",3728,1982,3,17,8,3.4,10,14.6
"80",3729,1982,3,18,11.1,0.1,6.9,17.9
"81",3730,1982,3,19,11.5,1.2,6.5,16.8
"82",3731,1982,3,20,13.5,6.8,4.5,11.2
"83",3732,1982,3,21,16.1,6.2,1.9,11.8
"84",3733,1982,3,22,20,3.5,0,14.5
"85",3734,1982,3,23,21,3.3,0,14.7
"86",3735,1982,3,24,10.1,1.8,7.9,16.2
"87",3736,1982,3,25,7,0.7,11,17.3
"88",3737,1982,3,26,9.7,-2.3,8.3,20.3
"89",3738,1982,3,27,12.9,-1,5.1,19
"90",3739,1982,3,28,10.6,1.9,7.4,16.1
"91",3740,1982,3,29,20.2,0,0,18
"92",3741,1982,3,30,13.9,7.5,4.1,10.5
"93",3742,1982,3,31,13,2.5,5,15.5
"94",4077,1983,3,1,8.2,-1.4,9.8,19.4
"95",4078,1983,3,2,8.3,5.6,9.7,12.4
"96",4079,1983,3,3,8.3,1.4,9.7,16.6
"97",4080,1983,3,4,8.5,-1.3,9.5,19.3
"98",4081,1983,3,5,10.2,-2.9,7.8,20.9
"99",4082,1983,3,6,10.9,1.3,7.1,16.7
"100",4083,1983,3,7,6.1,-2.1,11.9,20.1
"101",4084,1983,3,8,5.1,-5.1,12.9,23.1
"102",4085,1983,3,9,10.7,-3,7.3,21
"103",4086,1983,3,10,15.5,1.9,2.5,16.1
"104",4087,1983,3,11,12.4,1.4,5.6,16.6
