"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",6999,1980,3,1,7.4,-0.8,10.6,18.8
"2",7000,1980,3,2,8.8,-4,9.2,22
"3",7001,1980,3,3,11.7,-1.6,6.3,19.6
"4",7002,1980,3,4,9,1.5,9,16.5
"5",7003,1980,3,5,10.5,1.1,7.5,16.9
"6",7004,1980,3,6,12.2,-1.9,5.8,19.9
"7",7005,1980,3,7,16.1,4.6,1.9,13.4
"8",7006,1980,3,8,15.1,1.9,2.9,16.1
"9",7007,1980,3,9,11.1,5.3,6.9,12.7
"10",7008,1980,3,10,10,2.4,8,15.6
"11",7009,1980,3,11,6.8,-1.2,11.2,19.2
"12",7010,1980,3,12,9,-3.7,9,21.7
"13",7011,1980,3,13,12.3,-1.5,5.7,19.5
"14",7012,1980,3,14,6.6,-0.3,11.4,18.3
"15",7013,1980,3,15,8.6,-3.9,9.4,21.9
"16",7014,1980,3,16,11.8,-0.8,6.2,18.8
"17",7015,1980,3,17,14.8,-0.6,3.2,18.6
"18",7016,1980,3,18,13.8,0.5,4.2,17.5
"19",7017,1980,3,19,16.6,2,1.4,16
"20",7018,1980,3,20,14.5,4.6,3.5,13.4
"21",7019,1980,3,21,10.5,1.4,7.5,16.6
"22",7020,1980,3,22,7.1,1,10.9,17
"23",7021,1980,3,23,4.2,0.1,13.8,17.9
"24",7022,1980,3,24,7.6,-2.8,10.4,20.8
"25",7023,1980,3,25,9.8,-1.6,8.2,19.6
"26",7024,1980,3,26,11,0.7,7,17.3
"27",7025,1980,3,27,14.2,-2.5,3.8,20.5
"28",7026,1980,3,28,16.9,0.1,1.1,17.9
"29",7027,1980,3,29,12.9,5.7,5.1,12.3
"30",7028,1980,3,30,19.9,2.6,0,15.4
"31",7029,1980,3,31,12.4,5.8,5.6,12.2
"32",7364,1981,3,1,5,-4.7,13,22.7
"33",7365,1981,3,2,8.6,-4.3,9.4,22.3
"34",7366,1981,3,3,6.9,-1.3,11.1,19.3
"35",7367,1981,3,4,7.8,-3,10.2,21
"36",7368,1981,3,5,9.4,-3.9,8.6,21.9
"37",7369,1981,3,6,5.6,-2.7,12.4,20.7
"38",7370,1981,3,7,12,-2.7,6,20.7
"39",7371,1981,3,8,15.9,-0.8,2.1,18.8
"40",7372,1981,3,9,6.3,-0.8,11.7,18.8
"41",7373,1981,3,10,8.9,-3.8,9.1,21.8
"42",7374,1981,3,11,14.3,-3.5,3.7,21.5
"43",7375,1981,3,12,18.6,-0.5,0,18.5
"44",7376,1981,3,13,16.9,7.4,1.1,10.6
"45",7377,1981,3,14,13.2,3.6,4.8,14.4
"46",7378,1981,3,15,6.2,-0.9,11.8,18.9
"47",7379,1981,3,16,9.6,-3.5,8.4,21.5
"48",7380,1981,3,17,15.9,-0.7,2.1,18.7
"49",7381,1981,3,18,18.5,1.9,0,16.1
"50",7382,1981,3,19,21.9,4.1,0.899999999999999,13.9
"51",7383,1981,3,20,19.3,1.5,0,16.5
"52",7384,1981,3,21,22.2,3.7,1.2,14.3
"53",7385,1981,3,22,20,4.2,0,13.8
"54",7386,1981,3,23,21.2,4.1,0.199999999999999,13.9
"55",7387,1981,3,24,14,10,4,8
"56",7388,1981,3,25,13.9,6.2,4.1,11.8
"57",7389,1981,3,26,7.2,1.5,10.8,16.5
"58",7390,1981,3,27,10.2,1.2,7.8,16.8
"59",7391,1981,3,28,15.1,3.4,2.9,14.6
"60",7392,1981,3,29,17.2,1.8,0.800000000000001,16.2
"61",7393,1981,3,30,16.7,2.9,1.3,15.1
"62",7394,1981,3,31,20,5.2,0,12.8
"63",7729,1982,3,1,7.2,-1,10.8,19
"64",7730,1982,3,2,8.5,-4.4,9.5,22.4
"65",7731,1982,3,3,12.9,-4,5.1,22
"66",7732,1982,3,4,11.6,2.8,6.4,15.2
"67",7733,1982,3,5,10.2,0.2,7.8,17.8
"68",7734,1982,3,6,5.9,-2.5,12.1,20.5
"69",7735,1982,3,7,4.5,-5.1,13.5,23.1
"70",7736,1982,3,8,8.8,-3.4,9.2,21.4
"71",7737,1982,3,9,12.9,1.8,5.1,16.2
"72",7738,1982,3,10,15.2,2.4,2.8,15.6
"73",7739,1982,3,11,17,0.9,1,17.1
"74",7740,1982,3,12,16.9,5.1,1.1,12.9
"75",7741,1982,3,13,17.6,0.2,0.399999999999999,17.8
"76",7742,1982,3,14,17.4,4.7,0.600000000000001,13.3
"77",7743,1982,3,15,11.7,5.5,6.3,12.5
"78",7744,1982,3,16,8.2,1,9.8,17
"79",7745,1982,3,17,6.3,0.2,11.7,17.8
"80",7746,1982,3,18,14.3,-1.2,3.7,19.2
"81",7747,1982,3,19,11.7,2.6,6.3,15.4
"82",7748,1982,3,20,16.6,4.5,1.4,13.5
"83",7749,1982,3,21,14.8,4.1,3.2,13.9
"84",7750,1982,3,22,19.3,1.1,0,16.9
"85",7751,1982,3,23,15,5.8,3,12.2
"86",7752,1982,3,24,10.1,1.7,7.9,16.3
"87",7753,1982,3,25,9.9,-2,8.1,20
"88",7754,1982,3,26,12,-3.9,6,21.9
"89",7755,1982,3,27,15.2,-1.8,2.8,19.8
"90",7756,1982,3,28,15.3,-0.8,2.7,18.8
"91",7757,1982,3,29,16.4,1.5,1.6,16.5
"92",7758,1982,3,30,12.3,5.7,5.7,12.3
"93",7759,1982,3,31,15.9,5.8,2.1,12.2
"94",8094,1983,3,1,10.9,1,7.1,17
"95",8095,1983,3,2,11.7,3.2,6.3,14.8
"96",8096,1983,3,3,8.8,2.4,9.2,15.6
"97",8097,1983,3,4,7.1,-1.4,10.9,19.4
"98",8098,1983,3,5,7.2,-4.7,10.8,22.7
"99",8099,1983,3,6,9.4,-1.4,8.6,19.4
"100",8100,1983,3,7,7.2,-2,10.8,20
"101",8101,1983,3,8,9.8,-4.8,8.2,22.8
"102",8102,1983,3,9,11.7,3.2,6.3,14.8
"103",8103,1983,3,10,11.5,1.4,6.5,16.6
"104",8104,1983,3,11,14.2,-1.2,3.8,19.2
"105",8105,1983,3,12,16.2,1.9,1.8,16.1
"106",8106,1983,3,13,7.6,1.4,10.4,16.6
"107",8107,1983,3,14,8.3,-2.8,9.7,20.8
"108",8108,1983,3,15,11.7,-3,6.3,21
"109",8109,1983,3,16,15.7,1.1,2.3,16.9
"110",8110,1983,3,17,4.6,0.4,13.4,17.6
"111",8111,1983,3,18,10.3,-1.5,7.7,19.5
"112",8112,1983,3,19,15.6,-1.2,2.4,19.2
"113",8113,1983,3,20,16.6,6.9,1.4,11.1
"114",8114,1983,3,21,20.8,8.8,0,9.2
"115",8115,1983,3,22,21.7,7.5,0.699999999999999,10.5
"116",8116,1983,3,23,15,9,3,9
"117",8117,1983,3,24,9.7,7.4,8.3,10.6
"118",8118,1983,3,25,15.2,6.3,2.8,11.7
"119",8119,1983,3,26,14.6,6.2,3.4,11.8
"120",8120,1983,3,27,15.6,6.2,2.4,11.8
"121",8121,1983,3,28,18,2.7,0,15.3
"122",8122,1983,3,29,18.3,3.5,0,14.5
"123",8123,1983,3,30,18.2,4,0,14
"124",8124,1983,3,31,15,4.5,3,13.5
"125",8460,1984,3,1,5.7,-5.3,12.3,23.3
"126",8461,1984,3,2,4.6,-2.3,13.4,20.3
"127",8462,1984,3,3,3.1,-4.3,14.9,22.3
"128",8463,1984,3,4,2.6,-4.9,15.4,22.9
"129",8464,1984,3,5,4,-6.7,14,24.7
"130",8465,1984,3,6,5.7,-2.4,12.3,20.4
"131",8466,1984,3,7,5.7,-5.4,12.3,23.4
"132",8467,1984,3,8,8.3,-4.6,9.7,22.6
"133",8468,1984,3,9,10.8,-2.2,7.2,20.2
"134",8469,1984,3,10,4.7,-2.9,13.3,20.9
"135",8470,1984,3,11,10,-4.9,8,22.9
"136",8471,1984,3,12,10,0.6,8,17.4
"137",8472,1984,3,13,8.6,-1.6,9.4,19.6
"138",8473,1984,3,14,11.6,1.8,6.4,16.2
"139",8474,1984,3,15,8.8,1.8,9.2,16.2
"140",8475,1984,3,16,9.2,1.6,8.8,16.4
"141",8476,1984,3,17,8.6,-0.8,9.4,18.8
"142",8477,1984,3,18,12.4,-3.1,5.6,21.1
"143",8478,1984,3,19,11.6,2,6.4,16
"144",8479,1984,3,20,9.6,-2.6,8.4,20.6
"145",8480,1984,3,21,6.1,-1.7,11.9,19.7
"146",8481,1984,3,22,9.8,-3,8.2,21
"147",8482,1984,3,23,14.3,-2.4,3.7,20.4
"148",8483,1984,3,24,10.3,0.2,7.7,17.8
"149",8484,1984,3,25,12.2,-2.7,5.8,20.7
"150",8485,1984,3,26,13.2,-4,4.8,22
"151",8486,1984,3,27,11,0,7,18
"152",8487,1984,3,28,14.8,-1.5,3.2,19.5
"153",8488,1984,3,29,20.2,5.2,0,12.8
"154",8489,1984,3,30,21.5,8.8,0.5,9.2
"155",8490,1984,3,31,10,7.4,8,10.6
"156",8825,1985,3,1,11.3,5.1,6.7,12.9
"157",8826,1985,3,2,7.5,2.4,10.5,15.6
"158",8827,1985,3,3,9,-0.2,9,18.2
"159",8828,1985,3,4,7.8,-1.8,10.2,19.8
"160",8829,1985,3,5,6,-1.9,12,19.9
"161",8830,1985,3,6,5.4,-3.7,12.6,21.7
"162",8831,1985,3,7,8.2,0,9.8,18
"163",8832,1985,3,8,6.9,3.3,11.1,14.7
"164",8833,1985,3,9,4.9,-3.2,13.1,21.2
"165",8834,1985,3,10,3.8,-5.8,14.2,23.8
"166",8835,1985,3,11,6.6,-1.8,11.4,19.8
"167",8836,1985,3,12,8.9,-4.9,9.1,22.9
"168",8837,1985,3,13,10,-0.8,8,18.8
"169",8838,1985,3,14,9.4,-2,8.6,20
"170",8839,1985,3,15,13.4,-1.8,4.6,19.8
"171",8840,1985,3,16,9.6,0.3,8.4,17.7
"172",8841,1985,3,17,13.3,2.9,4.7,15.1
"173",8842,1985,3,18,13.5,0.8,4.5,17.2
"174",8843,1985,3,19,16.3,4.4,1.7,13.6
"175",8844,1985,3,20,15.7,4,2.3,14
"176",8845,1985,3,21,14,0,4,18
"177",8846,1985,3,22,14.4,-1.6,3.6,19.6
"178",8847,1985,3,23,17.7,2.4,0.300000000000001,15.6
"179",8848,1985,3,24,21.1,4,0.100000000000001,14
"180",8849,1985,3,25,15.9,5.7,2.1,12.3
"181",8850,1985,3,26,16.1,4.3,1.9,13.7
"182",8851,1985,3,27,12.1,5.3,5.9,12.7
"183",8852,1985,3,28,11.6,3.3,6.4,14.7
"184",8853,1985,3,29,8.8,0,9.2,18
"185",8854,1985,3,30,9.5,-2.8,8.5,20.8
"186",8855,1985,3,31,10.6,-2.1,7.4,20.1
"187",9190,1986,3,1,2.3,-4.6,15.7,22.6
"188",9191,1986,3,2,4.2,-5.4,13.8,23.4
"189",9192,1986,3,3,9,-4.2,9,22.2
"190",9193,1986,3,4,12.7,-3.6,5.3,21.6
"191",9194,1986,3,5,13.8,0,4.2,18
"192",9195,1986,3,6,15.3,-0.8,2.7,18.8
"193",9196,1986,3,7,15.4,2,2.6,16
"194",9197,1986,3,8,16.8,2.1,1.2,15.9
"195",9198,1986,3,9,15.1,2.7,2.9,15.3
"196",9199,1986,3,10,7.2,0.2,10.8,17.8
"197",9200,1986,3,11,9.9,-0.5,8.1,18.5
"198",9201,1986,3,12,11.2,-2.6,6.8,20.6
"199",9202,1986,3,13,11.1,1.7,6.9,16.3
"200",9203,1986,3,14,15.2,6.6,2.8,11.4
"201",9204,1986,3,15,10.7,0.3,7.3,17.7
"202",9205,1986,3,16,8.7,-2,9.3,20
"203",9206,1986,3,17,11.7,-2.7,6.3,20.7
"204",9207,1986,3,18,6.6,4,11.4,14
"205",9208,1986,3,19,6.6,1.9,11.4,16.1
"206",9209,1986,3,20,9.6,-0.2,8.4,18.2
"207",9210,1986,3,21,13.4,2.4,4.6,15.6
"208",9211,1986,3,22,7.4,4.7,10.6,13.3
"209",9212,1986,3,23,9.7,2.9,8.3,15.1
"210",9213,1986,3,24,12.6,0.2,5.4,17.8
"211",9214,1986,3,25,14.1,-1.3,3.9,19.3
"212",9215,1986,3,26,15.3,1.7,2.7,16.3
"213",9216,1986,3,27,18.3,1.7,0,16.3
"214",9217,1986,3,28,19.5,5.6,0,12.4
"215",9218,1986,3,29,18.3,5.2,0,12.8
"216",9219,1986,3,30,11.7,3.6,6.3,14.4
"217",9220,1986,3,31,13.8,-0.4,4.2,18.4
"218",9555,1987,3,1,2.2,-4.3,15.8,22.3
"219",9556,1987,3,2,4.5,-7.4,13.5,25.4
"220",9557,1987,3,3,10,-5.3,8,23.3
"221",9558,1987,3,4,10.5,1.3,7.5,16.7
"222",9559,1987,3,5,13.4,1.7,4.6,16.3
"223",9560,1987,3,6,6.7,-2.2,11.3,20.2
"224",9561,1987,3,7,6.2,1.4,11.8,16.6
"225",9562,1987,3,8,10.7,1.7,7.3,16.3
"226",9563,1987,3,9,11.5,0.6,6.5,17.4
"227",9564,1987,3,10,8.4,0.1,9.6,17.9
"228",9565,1987,3,11,9.8,0.9,8.2,17.1
"229",9566,1987,3,12,14.7,1,3.3,17
"230",9567,1987,3,13,13.4,6.3,4.6,11.7
"231",9568,1987,3,14,8.7,-0.7,9.3,18.7
"232",9569,1987,3,15,6.7,-3.5,11.3,21.5
"233",9570,1987,3,16,12.5,-0.5,5.5,18.5
"234",9571,1987,3,17,13.8,2.5,4.2,15.5
"235",9572,1987,3,18,14.3,3.6,3.7,14.4
"236",9573,1987,3,19,7.8,5,10.2,13
"237",9574,1987,3,20,16.3,2.3,1.7,15.7
"238",9575,1987,3,21,13.9,4.4,4.1,13.6
"239",9576,1987,3,22,15.9,5.1,2.1,12.9
"240",9577,1987,3,23,16.2,8.8,1.8,9.2
"241",9578,1987,3,24,10.6,0,7.4,18
"242",9579,1987,3,25,1.8,-3.2,16.2,21.2
"243",9580,1987,3,26,7.2,-5,10.8,23
"244",9581,1987,3,27,10.1,-2.1,7.9,20.1
"245",9582,1987,3,28,12.2,-0.8,5.8,18.8
"246",9583,1987,3,29,17.7,-0.5,0.300000000000001,18.5
"247",9584,1987,3,30,10.4,3.5,7.6,14.5
"248",9585,1987,3,31,10.9,1.8,7.1,16.2
"249",9921,1988,3,1,9.3,1.1,8.7,16.9
"250",9922,1988,3,2,5.7,-3.8,12.3,21.8
"251",9923,1988,3,3,3.3,-6.8,14.7,24.8
"252",9924,1988,3,4,4.9,-7.1,13.1,25.1
"253",9925,1988,3,5,4.7,-4.4,13.3,22.4
"254",9926,1988,3,6,7,-5.5,11,23.5
"255",9927,1988,3,7,2.7,-5.9,15.3,23.9
"256",9928,1988,3,8,5.4,-5,12.6,23
"257",9929,1988,3,9,10,-4.6,8,22.6
"258",9930,1988,3,10,14.6,-2.4,3.4,20.4
"259",9931,1988,3,11,12.3,2.7,5.7,15.3
"260",9932,1988,3,12,11.1,3.7,6.9,14.3
"261",9933,1988,3,13,17.9,2,0.100000000000001,16
"262",9934,1988,3,14,11.7,5.9,6.3,12.1
"263",9935,1988,3,15,8.5,1.3,9.5,16.7
"264",9936,1988,3,16,7.6,1.5,10.4,16.5
"265",9937,1988,3,17,9.7,1.9,8.3,16.1
"266",9938,1988,3,18,8.6,-0.9,9.4,18.9
"267",9939,1988,3,19,9.4,-0.2,8.6,18.2
"268",9940,1988,3,20,11.9,-1.3,6.1,19.3
"269",9941,1988,3,21,10.5,4.9,7.5,13.1
"270",9942,1988,3,22,11.9,3.2,6.1,14.8
"271",9943,1988,3,23,11,0.5,7,17.5
"272",9944,1988,3,24,15.4,-3.7,2.6,21.7
"273",9945,1988,3,25,15.3,4.1,2.7,13.9
"274",9946,1988,3,26,12.3,1.9,5.7,16.1
"275",9947,1988,3,27,15.6,-0.3,2.4,18.3
"276",9948,1988,3,28,12.5,0.9,5.5,17.1
"277",9949,1988,3,29,16.5,1.1,1.5,16.9
"278",9950,1988,3,30,16.8,4.8,1.2,13.2
"279",9951,1988,3,31,16.5,1.6,1.5,16.4
"280",10286,1989,3,1,15.1,-1.1,2.9,19.1
"281",10287,1989,3,2,11.9,0.7,6.1,17.3
"282",10288,1989,3,3,15.3,5.8,2.7,12.2
"283",10289,1989,3,4,6.8,1.9,11.2,16.1
"284",10290,1989,3,5,5.7,-0.7,12.3,18.7
"285",10291,1989,3,6,2.4,-1.6,15.6,19.6
"286",10292,1989,3,7,2.3,-3.6,15.7,21.6
"287",10293,1989,3,8,5.1,-7.3,12.9,25.3
"288",10294,1989,3,9,8.9,-3.9,9.1,21.9
"289",10295,1989,3,10,13.9,-0.2,4.1,18.2
"290",10296,1989,3,11,14.1,2,3.9,16
"291",10297,1989,3,12,13.5,1.3,4.5,16.7
"292",10298,1989,3,13,16.7,6,1.3,12
"293",10299,1989,3,14,14,4.1,4,13.9
"294",10300,1989,3,15,12.3,-0.7,5.7,18.7
"295",10301,1989,3,16,11.9,0.6,6.1,17.4
"296",10302,1989,3,17,13,-2.8,5,20.8
"297",10303,1989,3,18,12.9,-1.2,5.1,19.2
"298",10304,1989,3,19,17.3,0.1,0.699999999999999,17.9
"299",10305,1989,3,20,15.1,3.2,2.9,14.8
"300",10306,1989,3,21,12.9,2.1,5.1,15.9
"301",10307,1989,3,22,16,-0.9,2,18.9
"302",10308,1989,3,23,13.6,3.8,4.4,14.2
"303",10309,1989,3,24,6.2,3.8,11.8,14.2
"304",10310,1989,3,25,12.4,3.9,5.6,14.1
"305",10311,1989,3,26,15.2,2.6,2.8,15.4
"306",10312,1989,3,27,12.4,4.8,5.6,13.2
"307",10313,1989,3,28,13.6,2,4.4,16
"308",10314,1989,3,29,15.4,0.6,2.6,17.4
"309",10315,1989,3,30,19.3,2.4,0,15.6
"310",10316,1989,3,31,18.6,7.5,0,10.5
"311",10651,1990,3,1,10,2.5,8,15.5
"312",10652,1990,3,2,12.8,4.2,5.2,13.8
"313",10653,1990,3,3,13,3.7,5,14.3
"314",10654,1990,3,4,8.8,1.6,9.2,16.4
"315",10655,1990,3,5,9.9,-2.1,8.1,20.1
"316",10656,1990,3,6,10.7,-0.2,7.3,18.2
"317",10657,1990,3,7,9.1,-0.3,8.9,18.3
"318",10658,1990,3,8,10.9,-3.6,7.1,21.6
"319",10659,1990,3,9,12.7,-3,5.3,21
"320",10660,1990,3,10,17.9,0.2,0.100000000000001,17.8
"321",10661,1990,3,11,13.7,6.1,4.3,11.9
"322",10662,1990,3,12,8.4,0.6,9.6,17.4
"323",10663,1990,3,13,14.4,-1.8,3.6,19.8
"324",10664,1990,3,14,11.4,3.9,6.6,14.1
"325",10665,1990,3,15,10.2,3.4,7.8,14.6
"326",10666,1990,3,16,11.5,-0.1,6.5,18.1
"327",10667,1990,3,17,12.8,-0.4,5.2,18.4
"328",10668,1990,3,18,11,-0.8,7,18.8
"329",10669,1990,3,19,13.6,-1.7,4.4,19.7
"330",10670,1990,3,20,15.7,0.1,2.3,17.9
"331",10671,1990,3,21,19.3,4.3,0,13.7
"332",10672,1990,3,22,21.2,6.7,0.199999999999999,11.3
"333",10673,1990,3,23,17.4,12.4,0.600000000000001,5.6
"334",10674,1990,3,24,16.9,8.4,1.1,9.6
"335",10675,1990,3,25,15,5.2,3,12.8
"336",10676,1990,3,26,17.4,2.1,0.600000000000001,15.9
"337",10677,1990,3,27,14.7,3.5,3.3,14.5
"338",10678,1990,3,28,11.6,8.6,6.4,9.4
"339",10679,1990,3,29,10.6,7.8,7.4,10.2
"340",10680,1990,3,30,11.7,7.8,6.3,10.2
"341",10681,1990,3,31,15.3,7.4,2.7,10.6
"342",11016,1991,3,1,7.5,-3.6,10.5,21.6
"343",11017,1991,3,2,8.7,-5.1,9.3,23.1
"344",11018,1991,3,3,11.6,-2.9,6.4,20.9
"345",11019,1991,3,4,12.4,-1.8,5.6,19.8
"346",11020,1991,3,5,15.3,-1.7,2.7,19.7
"347",11021,1991,3,6,15.3,-0.3,2.7,18.3
"348",11022,1991,3,7,12.6,0.8,5.4,17.2
"349",11023,1991,3,8,7.6,4.6,10.4,13.4
"350",11024,1991,3,9,5.5,3,12.5,15
"351",11025,1991,3,10,5.2,-0.3,12.8,18.3
"352",11026,1991,3,11,9,3,9,15
"353",11027,1991,3,12,12.1,2,5.9,16
"354",11028,1991,3,13,11.2,-2.2,6.8,20.2
"355",11029,1991,3,14,6,-2,12,20
"356",11030,1991,3,15,9.7,-4.3,8.3,22.3
"357",11031,1991,3,16,6.2,0.5,11.8,17.5
"358",11032,1991,3,17,9.4,-2.4,8.6,20.4
"359",11033,1991,3,18,14.4,-2.7,3.6,20.7
"360",11034,1991,3,19,20.7,2.4,0,15.6
"361",11035,1991,3,20,15.2,8,2.8,10
"362",11036,1991,3,21,12.9,6.7,5.1,11.3
"363",11037,1991,3,22,7.7,3.9,10.3,14.1
"364",11038,1991,3,23,16.4,2.5,1.6,15.5
"365",11039,1991,3,24,17.4,1.2,0.600000000000001,16.8
"366",11040,1991,3,25,16.8,6.7,1.2,11.3
"367",11041,1991,3,26,18.3,6.2,0,11.8
"368",11042,1991,3,27,9.9,7.2,8.1,10.8
"369",11043,1991,3,28,12.6,4.1,5.4,13.9
"370",11044,1991,3,29,13.3,3.3,4.7,14.7
"371",11045,1991,3,30,11.7,2.8,6.3,15.2
"372",11046,1991,3,31,8.4,-1.3,9.6,19.3
"373",11382,1992,3,1,14.5,8.6,3.5,9.4
"374",11383,1992,3,2,10,6.7,8,11.3
"375",11384,1992,3,3,12.9,4.1,5.1,13.9
"376",11385,1992,3,4,11.1,1,6.9,17
"377",11386,1992,3,5,5.1,2.6,12.9,15.4
"378",11387,1992,3,6,7.1,-0.4,10.9,18.4
"379",11388,1992,3,7,9.7,-3.4,8.3,21.4
"380",11389,1992,3,8,11.5,-1.2,6.5,19.2
"381",11390,1992,3,9,13.3,-1.3,4.7,19.3
"382",11391,1992,3,10,11.3,-0.7,6.7,18.7
"383",11392,1992,3,11,16.8,0.8,1.2,17.2
"384",11393,1992,3,12,14,1.9,4,16.1
"385",11394,1992,3,13,15.9,0.3,2.1,17.7
"386",11395,1992,3,14,20.5,2.3,0,15.7
"387",11396,1992,3,15,19.4,8.2,0,9.8
"388",11397,1992,3,16,12.3,4.6,5.7,13.4
"389",11398,1992,3,17,9.6,3.5,8.4,14.5
"390",11399,1992,3,18,7.3,1.6,10.7,16.4
"391",11400,1992,3,19,12,4.6,6,13.4
"392",11401,1992,3,20,9.5,0.9,8.5,17.1
"393",11402,1992,3,21,10.3,0.6,7.7,17.4
"394",11403,1992,3,22,13,-2.2,5,20.2
"395",11404,1992,3,23,10,4.7,8,13.3
"396",11405,1992,3,24,10,5.8,8,12.2
"397",11406,1992,3,25,13.8,2.8,4.2,15.2
"398",11407,1992,3,26,17.1,6,0.899999999999999,12
"399",11408,1992,3,27,20.2,7.2,0,10.8
"400",11409,1992,3,28,18.1,7.4,0,10.6
"401",11410,1992,3,29,18.5,6.7,0,11.3
"402",11411,1992,3,30,19.3,2.6,0,15.4
"403",11412,1992,3,31,20.5,4.9,0,13.1
"404",11747,1993,3,1,1,-4.2,17,22.2
"405",11748,1993,3,2,5.5,-7.2,12.5,25.2
"406",11749,1993,3,3,9.7,-3.1,8.3,21.1
"407",11750,1993,3,4,12,1.1,6,16.9
"408",11751,1993,3,5,16.3,-0.6,1.7,18.6
"409",11752,1993,3,6,11.8,4.6,6.2,13.4
"410",11753,1993,3,7,5.9,3.8,12.1,14.2
"411",11754,1993,3,8,10.3,0.8,7.7,17.2
"412",11755,1993,3,9,9.3,-2.1,8.7,20.1
"413",11756,1993,3,10,8.6,-1.8,9.4,19.8
"414",11757,1993,3,11,12.8,-0.7,5.2,18.7
"415",11758,1993,3,12,12.3,-0.8,5.7,18.8
"416",11759,1993,3,13,15.2,-1.5,2.8,19.5
"417",11760,1993,3,14,15,3.3,3,14.7
"418",11761,1993,3,15,14.4,5.6,3.6,12.4
"419",11762,1993,3,16,10.8,-0.5,7.2,18.5
"420",11763,1993,3,17,11,1.2,7,16.8
"421",11764,1993,3,18,10.4,-1.9,7.6,19.9
"422",11765,1993,3,19,10.8,-0.8,7.2,18.8
"423",11766,1993,3,20,12.6,-2.4,5.4,20.4
"424",11767,1993,3,21,12,-1.3,6,19.3
"425",11768,1993,3,22,15.4,-1.4,2.6,19.4
"426",11769,1993,3,23,14.5,3,3.5,15
"427",11770,1993,3,24,8.2,5.2,9.8,12.8
"428",11771,1993,3,25,14.4,1.6,3.6,16.4
"429",11772,1993,3,26,16.4,3.8,1.6,14.2
"430",11773,1993,3,27,18.4,0.9,0,17.1
"431",11774,1993,3,28,15.8,4.3,2.2,13.7
"432",11775,1993,3,29,13.4,0.3,4.6,17.7
"433",11776,1993,3,30,13.8,3.3,4.2,14.7
"434",11777,1993,3,31,16.4,7.2,1.6,10.8
"435",12112,1994,3,1,5.3,-6.2,12.7,24.2
"436",12113,1994,3,2,8.4,-5.2,9.6,23.2
"437",12114,1994,3,3,8.5,0.7,9.5,17.3
"438",12115,1994,3,4,8.4,2.5,9.6,15.5
"439",12116,1994,3,5,10.6,1.6,7.4,16.4
"440",12117,1994,3,6,16.3,0.3,1.7,17.7
"441",12118,1994,3,7,13.8,8.6,4.2,9.4
"442",12119,1994,3,8,13.4,2.5,4.6,15.5
"443",12120,1994,3,9,5.1,-1.9,12.9,19.9
"444",12121,1994,3,10,4.8,-4.3,13.2,22.3
"445",12122,1994,3,11,8.3,-2.2,9.7,20.2
"446",12123,1994,3,12,8,0.7,10,17.3
"447",12124,1994,3,13,5.3,-0.8,12.7,18.8
"448",12125,1994,3,14,6.2,-3.6,11.8,21.6
"449",12126,1994,3,15,7.5,-1.4,10.5,19.4
"450",12127,1994,3,16,9.6,-3,8.4,21
"451",12128,1994,3,17,10.5,-0.8,7.5,18.8
