,강릉,강화,거제,거창,고흥,광주,구미,군산,금산,남원,남해,대관령,대구,대전,목포,문경,밀양,보령,보은,부산,부안,부여,산청,서귀포,서산,서울,성산,속초,수원,양평,여수,영덕,영주,영천,완도,울산,울진,원주,의성,이천,인제,인천,임실,장흥,전주,정읍,제주,제천,진주,천안,청주,추풍령,춘천,충주,통영,포항,합천,해남,홍천
1981,73.72,84.31,71.19,74.57,77.08,49.03,62.49,73.34,72.96,68.1,48.9,83.72,47.53,55.87,68.31,68.44,61.23,77.68,75.34,64.72,59.0,64.76,63.15,57.08,80.19,51.17,65.01,76.4,58.56,69.91,64.8,77.76,73.56,67.02,66.52,48.34,76.03,67.8,80.04,66.91,92.52,74.23,77.44,79.68,54.2,58.12,58.18,81.41,59.38,65.21,57.36,66.82,68.2,67.56,66.18,68.59,62.08,76.96,77.55
1982,71.9,82.23,69.34,71.96,74.69,46.75,62.3,70.85,70.2,65.49,46.71,86.17,47.5,53.17,66.11,66.68,60.85,75.85,72.31,62.44,56.2,61.87,60.76,53.1,78.5,48.56,61.0,74.59,55.54,66.54,62.6,76.04,71.4,67.06,64.38,68.91,74.34,64.61,77.71,63.73,89.79,72.48,74.38,77.16,51.62,55.6,56.32,91.04,59.24,62.13,54.6,81.14,65.16,64.4,64.14,66.57,62.04,74.44,74.3
1983,71.85,82.65,68.96,84.46,73.94,47.28,62.4,70.81,84.34,65.75,68.28,60.93,47.6,76.05,65.94,81.88,60.82,76.09,87.28,62.34,75.74,62.3,77.31,54.1,78.68,73.51,61.84,74.48,78.06,84.95,62.4,75.88,85.35,66.79,64.04,68.68,74.26,84.02,80.91,83.21,89.84,72.86,86.41,76.36,52.36,56.4,55.96,91.0,59.06,81.85,58.0,80.84,84.3,83.54,63.96,66.4,61.96,73.78,89.61
1984,71.03,83.54,68.24,85.75,75.4,48.37,59.66,71.78,72.09,67.2,69.36,87.02,44.98,54.77,66.94,64.3,58.44,76.74,74.16,61.68,76.89,63.76,62.34,52.56,79.34,50.4,60.26,73.94,57.54,68.96,63.48,75.17,69.28,64.46,65.11,67.9,73.62,66.7,75.32,65.68,76.39,73.72,87.88,77.78,53.5,57.34,56.9,76.92,56.63,63.94,56.18,80.09,67.11,66.36,63.35,65.62,59.36,75.09,76.53
1985,43.43,79.52,41.48,61.03,46.38,37.5,53.28,40.21,59.64,54.41,38.06,100.0,38.94,47.26,34.72,58.27,51.76,49.7,65.69,60.34,47.24,51.99,50.52,17.84,52.64,42.97,30.14,71.4,49.86,60.22,59.93,52.17,62.82,57.46,34.04,40.26,71.14,58.1,68.21,57.73,69.9,69.9,63.29,48.91,41.83,46.0,21.74,70.13,50.08,56.24,48.4,58.08,59.08,58.12,62.02,36.3,52.75,44.8,67.7
1986,71.18,82.56,68.56,71.05,75.06,46.02,58.46,71.56,69.31,64.2,46.18,86.38,44.0,54.81,66.6,65.6,57.16,76.09,87.38,62.08,55.84,61.24,59.68,53.84,78.7,73.24,61.7,73.95,78.04,68.66,63.16,75.26,70.46,62.99,64.82,45.1,73.64,66.58,76.56,83.28,89.48,72.54,73.61,77.57,50.9,54.97,56.64,90.68,55.38,81.82,56.16,63.18,84.15,66.4,63.7,65.96,58.08,74.85,76.16
1987,73.58,83.68,71.5,87.99,77.34,51.1,65.12,73.59,88.12,70.82,71.01,64.3,49.6,55.54,68.34,69.88,63.56,77.26,75.26,64.92,79.11,67.3,80.56,56.03,79.94,50.44,64.32,76.2,58.36,69.93,64.8,77.75,74.82,69.46,66.54,71.3,75.98,67.38,81.46,66.5,92.14,73.47,90.45,80.02,56.26,60.12,58.3,93.68,61.88,65.0,57.14,83.73,67.78,67.34,66.4,68.97,64.49,77.23,76.9
1988,40.92,77.18,37.97,60.48,45.62,36.45,49.87,38.87,58.45,53.45,37.09,100.0,35.18,44.68,33.64,56.24,48.5,47.33,62.7,28.66,45.9,50.83,49.94,15.24,50.34,40.48,28.11,69.64,47.34,57.26,28.89,50.08,60.86,53.85,33.08,36.52,69.46,55.24,66.06,54.99,67.38,67.64,62.05,48.08,40.68,44.88,21.12,67.76,46.63,53.61,45.83,54.54,56.21,55.36,31.56,32.08,49.36,43.82,64.41
1989,70.53,79.47,67.7,68.31,52.86,43.76,60.62,68.2,66.42,61.72,43.46,100.0,45.84,49.9,63.6,64.98,59.24,73.1,68.44,60.92,52.84,58.25,57.08,52.62,75.74,45.54,60.82,73.24,52.4,62.9,59.88,74.66,69.79,65.15,61.8,67.32,73.02,60.92,75.79,60.36,88.52,69.9,70.66,55.94,48.23,52.27,53.96,77.25,57.42,58.85,51.09,79.39,61.74,60.82,62.66,64.98,60.22,71.31,70.42
1990,66.6,78.04,40.98,60.62,45.76,36.8,52.79,39.36,58.84,53.85,37.52,100.0,38.28,45.9,34.02,58.15,51.48,48.4,64.63,58.48,46.42,51.1,50.11,50.94,51.28,41.8,58.41,69.69,48.62,59.36,58.52,70.95,62.81,57.02,60.24,39.6,69.5,57.14,68.34,56.7,69.85,68.59,62.7,48.37,41.09,45.33,21.28,70.04,49.6,54.93,47.18,57.51,58.06,57.26,60.43,35.47,52.2,44.18,66.5
1991,42.28,56.0,35.67,55.0,40.41,32.0,47.0,34.92,52.88,47.81,32.88,100.0,32.78,44.1,30.02,56.88,45.34,46.7,62.02,55.2,41.33,45.58,45.06,17.9,49.52,39.99,52.92,67.97,46.62,56.5,54.46,50.8,61.18,50.71,29.18,34.1,67.61,54.53,65.9,54.21,67.99,41.53,56.48,42.82,35.75,40.12,18.76,67.74,43.36,52.8,45.1,51.84,55.68,54.6,29.61,30.0,45.99,38.77,63.83
