,강릉,강화,거제,거창,고흥,광주,구미,군산,금산,남원,남해,대관령,대구,대전,목포,문경,밀양,보령,보은,부산,부안,부여,산청,서귀포,서산,서울,성산,속초,수원,양평,여수,영덕,영주,영천,완도,울산,울진,원주,의성,이천,인제,인천,임실,장흥,전주,정읍,제주,제천,진주,천안,청주,추풍령,춘천,충주,통영,포항,합천,해남,홍천
1981,97.52,91.72,97.42,96.82,97.2,97.38,97.04,97.54,96.87,96.88,97.43,0.0,97.32,97.28,97.57,97.05,96.98,97.34,96.86,97.64,97.26,97.02,97.07,88.58,97.28,97.51,97.6,73.79,97.32,96.97,97.75,97.28,96.92,96.96,97.68,97.42,85.85,97.04,96.58,97.06,93.11,94.47,96.79,97.11,97.26,97.2,91.94,96.5,97.07,97.09,97.22,97.12,97.05,97.03,97.58,97.57,96.98,97.23,96.77
1982,97.5,97.2,97.39,96.82,97.16,97.32,97.04,97.52,96.88,96.88,97.36,0.0,97.29,97.21,97.51,97.07,96.96,97.28,96.84,97.6,97.24,97.02,97.03,75.98,97.22,97.44,97.59,83.98,97.26,96.93,97.7,97.28,96.95,96.96,97.62,97.39,89.19,97.0,96.62,97.02,96.86,97.54,96.82,97.08,97.22,97.16,86.08,96.78,97.05,97.04,97.16,97.12,97.02,96.98,97.55,97.54,96.96,97.21,96.74
1983,95.76,95.34,97.43,96.9,97.24,97.4,97.07,97.56,96.95,96.96,97.44,0.0,97.33,97.3,97.58,97.08,97.01,97.36,96.91,97.64,97.31,97.09,97.12,79.11,97.3,97.52,97.62,77.57,97.34,97.02,97.76,97.3,96.96,97.0,97.7,97.42,84.44,97.08,96.65,97.1,96.87,97.62,96.89,97.17,97.3,97.23,84.9,96.78,97.1,97.12,97.24,97.16,97.1,97.06,97.59,97.57,97.0,97.28,96.82
1984,97.52,97.22,97.44,96.85,97.2,97.36,97.08,97.54,96.9,96.92,97.41,0.0,97.31,97.24,97.55,97.09,97.0,97.32,96.86,97.64,97.27,97.04,97.08,73.48,97.26,97.47,97.59,91.94,97.29,96.94,97.74,97.3,96.97,97.0,97.66,97.42,96.79,97.02,96.65,97.04,96.89,97.57,96.84,97.13,97.26,97.2,87.89,96.8,97.1,97.08,97.19,97.16,97.04,97.01,97.58,97.56,97.0,97.24,96.76
1985,97.54,97.29,97.44,96.9,97.21,97.33,97.08,97.54,96.96,96.95,97.37,10.21,97.27,97.27,97.52,97.12,97.0,97.37,96.96,97.62,97.29,97.06,97.06,59.62,97.3,97.5,94.32,97.6,97.34,97.03,97.62,97.32,97.02,97.02,97.64,97.4,97.51,97.1,96.72,97.1,96.96,97.6,96.94,97.16,97.25,97.18,73.65,96.88,97.1,97.13,97.22,97.18,97.1,97.08,97.58,97.52,97.0,97.27,96.86
1986,97.54,97.21,97.44,96.86,97.22,97.36,97.08,97.56,96.92,96.93,97.42,0.0,97.32,97.23,97.56,97.1,97.02,97.3,96.84,97.65,97.28,97.06,97.08,78.31,97.24,97.47,97.61,85.1,97.28,96.94,97.74,97.32,96.98,97.02,97.67,97.44,89.78,97.02,96.66,97.03,96.89,97.57,96.86,97.14,97.27,97.2,87.07,96.8,97.1,97.06,97.18,97.17,97.04,97.0,97.59,97.58,97.02,97.26,96.76
1987,97.48,97.2,97.39,96.77,97.15,97.34,97.0,97.51,96.82,96.84,97.39,0.0,97.29,97.23,97.54,97.0,96.94,97.29,96.82,97.62,97.22,96.98,97.02,85.24,97.22,97.48,97.59,79.37,97.28,96.92,97.72,97.23,96.87,96.92,97.65,97.38,88.14,97.01,96.52,97.03,96.86,97.57,96.74,97.06,97.22,97.16,92.34,96.66,97.02,97.05,97.18,97.08,97.02,96.99,97.56,97.54,96.94,97.18,96.74
1988,97.49,97.29,97.4,96.88,97.18,97.3,97.04,97.52,96.94,96.93,97.34,21.82,97.22,97.25,97.5,97.1,96.96,97.36,96.96,91.74,97.27,97.05,97.03,53.6,97.29,97.48,90.26,97.58,97.32,97.02,92.28,97.28,97.0,96.98,97.62,97.34,97.48,97.1,96.7,97.1,96.96,97.58,96.93,97.12,97.22,97.16,70.98,96.88,97.07,97.12,97.2,97.16,97.1,97.06,97.54,97.48,96.96,97.24,96.87
1989,97.54,97.28,97.43,96.9,97.22,97.35,97.08,97.56,96.96,96.95,97.4,0.0,97.32,97.28,97.54,97.11,97.0,97.36,96.96,97.63,97.3,97.08,97.08,74.13,97.3,97.5,97.56,84.79,97.34,97.03,97.44,97.32,96.99,97.02,97.66,97.42,90.02,97.1,96.68,97.11,96.9,97.6,96.91,97.14,97.26,97.2,78.53,96.82,97.1,97.13,97.24,97.17,97.11,97.08,97.58,97.57,97.01,97.26,96.86
1990,97.54,97.32,97.42,96.9,97.2,97.32,97.07,97.52,96.96,96.94,97.35,16.73,97.26,97.29,97.5,97.12,96.99,97.4,96.99,93.16,97.28,97.06,97.04,64.32,97.33,97.52,92.88,97.6,97.36,97.06,93.15,97.32,97.03,97.01,97.62,97.38,97.52,97.14,96.72,97.13,96.98,97.62,96.94,97.15,97.23,97.17,68.74,96.9,97.1,97.16,97.24,97.18,97.12,97.1,97.56,97.52,96.99,97.26,96.9
